family,ligand_id,x,y,z,dx,dy,dz
Acceptor,Z285136922,-1.013,-1.194,0.032,-0.519,-0.855,0.01
Acceptor,Z285136922,-1.003,1.199,0.094,-0.512,0.857,0.054
Aromatic,Z285136922,-0.314,0.001,0.02,0.062,-0.026,0.998
Acceptor,Z285136922,-1.047,-1.202,0.034,-0.525,-0.851,0.01
Acceptor,Z285136922,-1.019,1.19,0.095,-0.505,0.861,0.054
Aromatic,Z285136922,-0.339,-0.013,0.021,0.062,-0.026,0.998
Acceptor,Z415645016,-1.199,1.414,0.112,0.001,1.0,0.026
Acceptor,Z415645016,-1.205,-1.423,0.038,-0.006,-1.0,-0.026
Aromatic,Z415645016,-1.201,-0.006,0.075,-0.063,0.026,-0.998
Donor,STK505526,-1.251,1.935,0.129,-0.995,-0.086,0.06
Acceptor,STK505526,-0.963,-1.732,0.015,-0.574,-0.819,0.014
Acceptor,STK505526,-1.251,1.935,0.129,-0.383,0.922,0.048
Aromatic,STK505526,-0.154,-0.584,-0.006,-0.062,0.026,-0.998
Donor,OSSL_255068,-1.251,1.935,0.129,-0.995,-0.086,0.06
Acceptor,OSSL_255068,-0.963,-1.732,0.015,-0.574,-0.819,0.014
Acceptor,OSSL_255068,-1.251,1.935,0.129,-0.383,0.922,0.048
Aromatic,OSSL_255068,-0.154,-0.584,-0.006,-0.062,0.026,-0.998
Acceptor,Z800213196,-1.047,-1.199,0.034,-0.525,-0.851,0.01
Acceptor,Z800213196,-1.021,1.187,0.095,-0.503,0.862,0.054
Aromatic,Z800213196,-0.342,-0.016,0.021,0.062,-0.026,0.998
Acceptor,Z1259106172,-1.019,1.189,0.095,-0.505,0.861,0.054
Acceptor,Z1259106172,-1.047,-1.202,0.034,-0.526,-0.851,0.01
Aromatic,Z1259106172,-0.339,-0.013,0.021,-0.062,0.026,-0.998
Acceptor,Z415645012,-1.05,-1.2,0.034,-0.519,-0.855,0.01
Acceptor,Z415645012,-1.023,1.187,0.095,-0.499,0.865,0.054
Aromatic,Z415645012,-0.347,-0.013,0.021,-0.062,0.026,-0.998
Acceptor,Z997724396,-1.238,1.913,0.127,-0.402,0.914,0.049
Acceptor,Z997724396,-0.963,-1.713,0.015,-0.582,-0.813,0.015
Aromatic,Z997724396,-0.141,-0.576,-0.006,-0.062,0.026,-0.998
Acceptor,Z1235940810,-1.199,1.414,0.112,0.0,1.0,0.026
Acceptor,Z1235940810,-1.205,-1.422,0.038,-0.007,-1.0,-0.026
Aromatic,Z1235940810,-1.201,-0.006,0.075,-0.056,0.026,-0.998
Acceptor,Z425821176,-0.91,0.672,0.074,-0.843,0.534,0.067
Acceptor,Z425821176,-0.944,-0.695,0.041,-0.87,-0.492,0.041
Aromatic,Z425821176,0.258,-0.041,-0.017,-0.062,0.026,-0.998
Acceptor,Z1198182209,-1.2,1.418,0.112,0.002,1.0,0.026
Acceptor,Z1198182209,-1.205,-1.427,0.038,-0.007,-1.0,-0.026
Aromatic,Z1198182209,-1.201,-0.006,0.075,-0.05,0.026,-0.998
Acceptor,Z1255438320,-1.019,1.185,0.095,-0.507,0.86,0.054
Acceptor,Z1255438320,-1.045,-1.198,0.034,-0.529,-0.848,0.011
Aromatic,Z1255438320,-0.336,-0.014,0.021,-0.062,0.026,-0.998
Acceptor,Z1255362476,-1.197,1.413,0.112,-0.004,1.0,0.026
Acceptor,Z1255362476,-1.202,-1.422,0.038,-0.012,-1.0,-0.025
Aromatic,Z1255362476,-1.196,-0.005,0.074,-0.062,0.026,-0.998
Acceptor,Z1269153298,-1.226,1.904,0.126,-0.425,0.904,0.05
Acceptor,Z1269153298,-0.957,-1.702,0.015,-0.6,-0.8,0.016
Aromatic,Z1269153298,-0.115,-0.582,-0.008,-0.062,0.026,-0.998
Acceptor,Z1198179757,-1.206,-1.426,0.038,-0.006,-1.0,-0.026
Acceptor,Z1198179757,-1.199,1.417,0.112,0.0,1.0,0.026
Aromatic,Z1198179757,-1.201,-0.005,0.075,-0.06,0.026,-0.998
Acceptor,Z1079255426,-1.021,1.185,0.095,-0.504,0.862,0.054
Acceptor,Z1079255426,-1.046,-1.197,0.034,-0.527,-0.85,0.011
Aromatic,Z1079255426,-0.338,-0.016,0.021,-0.062,0.026,-0.998
Donor,Z56785971,1.132,5.813,0.596,-0.827,0.095,-0.554
Acceptor,Z56785971,1.597,7.967,0.053,-0.264,0.842,-0.47
Acceptor,Z56785971,1.797,2.742,-0.852,0.663,0.218,-0.716
Acceptor,Z56785971,-1.02,1.2,0.093,-0.506,0.861,0.056
Acceptor,Z56785971,-3.795,1.026,1.165,-0.261,0.684,0.681
Acceptor,Z56785971,-3.924,0.103,-1.184,-0.35,0.049,-0.936
Acceptor,Z56785971,-1.047,-1.211,0.031,-0.527,-0.85,0.013
Aromatic,Z56785971,4.333,6.668,2.128,0.479,-0.297,-0.826
Aromatic,Z56785971,-0.334,-0.015,0.022,0.052,-0.027,0.998
LumpedHydrophobe,Z56785971,4.333,6.668,2.128,,,
Acceptor,Z1238548161,-1.257,1.129,0.108,-0.689,0.722,0.062
Acceptor,Z1238548161,-0.792,-1.113,0.02,-0.977,-0.208,0.055
Aromatic,Z1238548161,0.579,-0.824,-0.058,0.062,-0.026,0.998
Donor,Z1746259343,5.396,0.087,-0.265,-0.604,0.587,0.539
Acceptor,Z1746259343,8.906,2.881,1.631,0.984,0.135,0.116
Acceptor,Z1746259343,5.411,-1.682,-1.762,0.497,-0.632,-0.595
Acceptor,Z1746259343,3.083,0.917,0.505,0.454,0.738,0.5
Acceptor,Z1746259343,-1.057,-1.2,0.027,-0.507,-0.862,0.017
Acceptor,Z1746259343,-1.031,1.188,0.093,-0.486,0.872,0.055
Aromatic,Z1746259343,8.117,0.746,0.04,0.051,-0.611,0.79
Aromatic,Z1746259343,-0.354,-0.015,0.027,-0.036,0.031,-0.999
LumpedHydrophobe,Z1746259343,8.117,0.746,0.04,,,
Donor,Z104527752,0.94,5.808,-0.129,-0.705,-0.097,-0.703
Acceptor,Z104527752,1.418,7.823,-1.057,-0.204,0.698,-0.686
Acceptor,Z104527752,1.888,2.667,-0.852,0.758,0.161,-0.632
Acceptor,Z104527752,-1.025,1.168,0.097,-0.497,0.866,0.052
Acceptor,Z104527752,-1.05,-1.179,0.039,-0.518,-0.855,0.006
Aromatic,Z104527752,3.771,7.214,1.696,-0.634,0.436,0.638
Aromatic,Z104527752,-0.345,-0.017,0.018,-0.078,0.024,-0.997
LumpedHydrophobe,Z104527752,3.771,7.214,1.696,,,
Donor,Z56771527,-4.387,1.226,2.902,0.09,-0.951,-0.295
Acceptor,Z56771527,1.317,1.707,-2.983,-0.83,-0.543,0.131
Acceptor,Z56771527,1.756,2.739,0.96,0.614,0.229,0.756
Acceptor,Z56771527,-1.026,1.183,0.088,-0.498,0.865,0.06
Acceptor,Z56771527,-1.049,-1.195,0.033,-0.521,-0.853,0.011
Acceptor,Z56771527,-4.387,1.226,2.902,-0.573,-0.548,0.61
PosIonizable,Z56771527,2.304,2.342,-3.114,,,
Aromatic,Z56771527,2.304,2.342,-3.114,-0.46,0.601,-0.654
Aromatic,Z56771527,3.456,1.515,-4.721,-0.471,0.605,-0.642
Aromatic,Z56771527,-0.341,-0.017,0.024,0.045,-0.021,0.999
Donor,Z1291126473,-8.655,3.361,-0.8,0.693,0.721,-0.01
Acceptor,Z1291126473,-1.092,1.136,0.097,-0.291,0.956,0.044
Acceptor,Z1291126473,-1.085,-1.153,0.037,-0.331,-0.944,-0.004
Acceptor,Z1291126473,-5.554,3.489,-0.079,0.423,0.794,-0.437
Acceptor,Z1291126473,-9.299,1.425,0.329,-0.602,-0.791,0.107
Aromatic,Z1291126473,-0.73,-0.007,0.046,0.056,-0.026,0.998
Aromatic,Z1291126473,-4.699,-0.027,0.253,0.048,-0.047,0.998
Aromatic,Z1291126473,-10.521,3.573,-2.9,-0.621,0.497,0.606
LumpedHydrophobe,Z1291126473,-4.699,-0.027,0.253,,,
LumpedHydrophobe,Z1291126473,-10.521,3.573,-2.9,,,
Donor,Z56785999,0.831,2.936,-0.849,,,
Donor,Z56785999,1.135,5.793,-0.27,-0.704,0.007,0.71
Acceptor,Z56785999,1.435,0.879,0.041,0.692,-0.671,0.266
Acceptor,Z56785999,-3.737,0.224,1.655,-0.225,0.134,0.965
Acceptor,Z56785999,-3.923,0.931,-0.768,-0.352,0.62,-0.701
Acceptor,Z56785999,-1.047,-1.212,0.034,-0.527,-0.85,0.01
Acceptor,Z56785999,-1.021,1.2,0.097,-0.506,0.861,0.052
Acceptor,Z56785999,1.899,2.692,0.787,0.745,0.178,0.643
Acceptor,Z56785999,1.755,7.84,0.494,-0.148,0.761,0.631
Aromatic,Z56785999,-0.334,-0.016,0.019,0.069,-0.027,0.997
Aromatic,Z56785999,4.029,6.862,-2.216,0.617,-0.406,0.674
LumpedHydrophobe,Z56785999,4.029,6.862,-2.216,,,
