ligand_id,source,n_conformers,conformer,n_matched,rmsd,aligned
Z285136922,seed,0,-1,0,,True
Z285136922,aligned,1,0,3,0.169,True
Z415645016,aligned,1,0,3,0.520,True
STK505526,aligned,1,0,3,0.522,True
OSSL_255068,aligned,1,0,3,0.522,True
Z800213196,aligned,1,0,3,0.170,True
Z57160165,aligned,1,-1,0,,False
STK802248,aligned,1,-1,0,,False
OSSL_330991,aligned,1,-1,0,,False
OSSL_330996,aligned,1,-1,0,,False
Z104472812,aligned,1,-1,0,,False
STK802249,aligned,1,-1,0,,False
Z1259106172,aligned,1,0,3,0.170,True
OSSL_331371,aligned,1,-1,0,,False
STK803405,aligned,1,-1,0,,False
Z415645012,aligned,1,0,3,0.167,True
Z997724396,aligned,1,0,3,0.503,True
STK801371,aligned,1,-1,0,,False
OSSL_331210,aligned,1,-1,0,,False
Z1235940810,aligned,1,0,3,0.520,True
Z425821176,aligned,1,0,3,0.974,True
Z1198182209,aligned,1,0,3,0.521,True
Z1255438320,aligned,1,0,3,0.175,True
Y022-0425,aligned,30,-1,0,,False
Z1255362476,aligned,1,0,3,0.516,True
STL583184,aligned,34,-1,0,,False
Z1416282441,aligned,1,-1,0,,False
Z1269153298,aligned,1,0,3,0.496,True
OSSL_673722,aligned,1,-1,0,,False
STL433100,aligned,1,-1,0,,False
Z1198179757,aligned,1,0,3,0.521,True
Z637289610,aligned,40,-1,0,,False
Z1079255426,aligned,1,0,3,0.173,True
J023-0024,aligned,37,-1,0,,False
Z56785971,aligned,15,11,3,0.164,True
Z2708759799,aligned,40,-1,0,,False
Z56347198,aligned,1,-1,0,,False
Z1238548161,aligned,1,0,3,0.888,True
Y022-0423,aligned,31,-1,0,,False
STL583183,aligned,21,-1,0,,False
Z1746259343,aligned,38,37,3,0.159,True
Z104527752,aligned,7,5,3,0.180,True
STL583182,aligned,30,-1,0,,False
Z384833298,aligned,40,-1,0,,False
M980-0177,aligned,40,-1,0,,False
STL583187,aligned,33,-1,0,,False
Z637460690,aligned,40,-1,0,,False
Y022-0424,aligned,21,-1,0,,False
Z56771527,aligned,39,15,3,0.170,True
Z1291126473,aligned,40,33,3,0.225,True
Z56785999,aligned,40,39,3,0.163,True
