family,ligand_id,x,y,z,cluster,kept
Acceptor,Z285136922,-1.048,-1.202,0.034,0,1
Acceptor,Z285136922,-1.02,1.19,0.095,0,1
Acceptor,Z415645016,-1.199,1.414,0.112,0,1
Acceptor,Z415645016,-1.205,-1.423,0.038,0,1
Acceptor,STK505526,-0.963,-1.732,0.015,0,1
Acceptor,STK505526,-1.251,1.935,0.129,0,1
Acceptor,OSSL_255068,-0.963,-1.732,0.015,0,1
Acceptor,OSSL_255068,-1.251,1.935,0.129,0,1
Acceptor,Z800213196,-1.047,-1.199,0.034,0,1
Acceptor,Z800213196,-1.021,1.187,0.095,0,1
Acceptor,Z1259106172,-1.019,1.189,0.095,0,1
Acceptor,Z1259106172,-1.047,-1.202,0.034,0,1
Acceptor,Z415645012,-1.05,-1.2,0.034,0,1
Acceptor,Z415645012,-1.023,1.187,0.095,0,1
Acceptor,Z997724396,-1.238,1.913,0.127,0,1
Acceptor,Z997724396,-0.963,-1.713,0.015,0,1
Acceptor,Z1235940810,-1.199,1.413,0.112,0,1
Acceptor,Z1235940810,-1.205,-1.422,0.038,0,1
Acceptor,Z425821176,-0.91,0.672,0.074,0,1
Acceptor,Z425821176,-0.944,-0.695,0.041,0,1
Acceptor,Z1198182209,-1.2,1.418,0.112,0,1
Acceptor,Z1198182209,-1.205,-1.427,0.038,0,1
Acceptor,Z1255438320,-1.019,1.185,0.095,0,1
Acceptor,Z1255438320,-1.045,-1.198,0.034,0,1
Acceptor,Z1255362476,-1.198,1.413,0.112,0,1
Acceptor,Z1255362476,-1.202,-1.422,0.038,0,1
Acceptor,Z1269153298,-1.226,1.904,0.126,0,1
Acceptor,Z1269153298,-0.957,-1.702,0.015,0,1
Acceptor,Z1198179757,-1.206,-1.426,0.038,0,1
Acceptor,Z1198179757,-1.199,1.417,0.112,0,1
Acceptor,Z1079255426,-1.021,1.185,0.095,0,1
Acceptor,Z1079255426,-1.046,-1.197,0.034,0,1
Acceptor,Z56785971,1.597,7.967,0.053,1,0
Acceptor,Z56785971,2.564,4.487,1.891,1,0
Acceptor,Z56785971,1.797,2.742,-0.853,0,1
Acceptor,Z56785971,-1.02,1.2,0.093,0,1
Acceptor,Z56785971,-3.795,1.026,1.165,0,1
Acceptor,Z56785971,-3.924,0.103,-1.185,0,1
Acceptor,Z56785971,-1.047,-1.211,0.031,0,1
Acceptor,Z1238548161,-1.257,1.129,0.108,0,1
Acceptor,Z1238548161,-0.792,-1.113,0.02,0,1
