family,ligand_id,x,y,z,dx,dy,dz
Donor,Z4912279979,2.652,3.184,0.839,-0.267,0.807,0.527
Donor,Z4912279979,-1.223,3.004,-0.957,0.336,0.636,-0.695
Acceptor,Z4912279979,4.047,3.676,-1.183,0.825,0.501,-0.261
Acceptor,Z4912279979,1.569,3.209,-1.42,-0.888,0.177,-0.424
Acceptor,Z4912279979,-2.436,-4.164,-1.293,-0.013,-0.814,-0.58
Acceptor,Z4912279979,-0.125,3.511,1.229,0.913,0.151,0.38
Acceptor,Z4912279979,-2.5,4.276,0.77,-0.73,0.681,0.063
Aromatic,Z4912279979,3.395,-0.16,-0.928,-0.029,-0.033,0.999
Aromatic,Z4912279979,-0.106,-2.695,-1.072,-0.305,0.584,-0.753
Aromatic,Z4912279979,-2.427,-3.03,-0.483,0.264,-0.56,0.785
Aromatic,Z4912279979,-2.46,0.561,1.91,0.952,-0.192,0.238
LumpedHydrophobe,Z4912279979,3.395,-0.16,-0.928,,,
LumpedHydrophobe,Z4912279979,-0.106,-2.695,-1.072,,,
LumpedHydrophobe,Z4912279979,-2.46,0.561,1.91,,,
Donor,Z4912279979,2.516,3.131,0.757,-0.249,0.809,0.532
Donor,Z4912279979,-1.347,3.074,-1.074,0.359,0.633,-0.686
Acceptor,Z4912279979,3.941,3.602,-1.248,0.841,0.48,-0.25
Acceptor,Z4912279979,1.453,3.206,-1.511,-0.879,0.205,-0.43
Acceptor,Z4912279979,-2.754,-4.054,-1.485,-0.031,-0.809,-0.588
Acceptor,Z4912279979,-0.255,3.532,1.126,0.913,0.122,0.389
Acceptor,Z4912279979,-2.604,4.366,0.654,-0.711,0.7,0.063
Aromatic,Z4912279979,3.182,-0.216,-1.034,-0.038,-0.041,0.998
Aromatic,Z4912279979,-0.386,-2.652,-1.23,-0.282,0.599,-0.75
Aromatic,Z4912279979,-2.721,-2.928,-0.664,0.241,-0.574,0.782
Aromatic,Z4912279979,-2.676,0.641,1.761,0.944,-0.221,0.244
LumpedHydrophobe,Z4912279979,3.182,-0.216,-1.034,,,
LumpedHydrophobe,Z4912279979,-0.386,-2.652,-1.23,,,
LumpedHydrophobe,Z4912279979,-2.676,0.641,1.761,,,
Donor,D266-0160,1.116,1.153,-2.742,0.517,0.136,-0.845
Donor,D266-0160,-0.94,4.307,-0.764,0.245,-0.017,-0.969
Donor,D266-0160,-2.332,10.248,1.582,0.878,0.238,-0.416
Acceptor,D266-0160,0.919,3.394,-2.499,0.181,0.919,-0.35
Acceptor,D266-0160,-0.445,3.204,1.216,0.059,-0.021,0.998
Acceptor,D266-0160,-4.541,9.075,2.01,-0.637,-0.207,0.742
Acceptor,D266-0160,-4.019,10.09,-0.252,-0.276,0.496,-0.824
Aromatic,D266-0160,-0.707,-3.01,-0.779,0.792,-0.344,-0.504
Aromatic,D266-0160,-2.299,0.197,1.648,0.146,-0.977,-0.158
Aromatic,D266-0160,-2.193,6.683,0.073,0.887,0.394,0.239
LumpedHydrophobe,D266-0160,-0.707,-3.01,-0.779,,,
LumpedHydrophobe,D266-0160,-2.299,0.197,1.648,,,
LumpedHydrophobe,D266-0160,-2.193,6.683,0.073,,,
Donor,MCULE-4193810350,-0.826,4.557,6.049,0.116,-0.002,0.993
Donor,MCULE-4193810350,2.284,3.513,0.605,0.095,0.316,0.944
Acceptor,MCULE-4193810350,0.609,3.744,-1.044,0.655,-0.22,-0.723
Acceptor,MCULE-4193810350,0.152,4.069,1.247,0.337,0.012,0.941
Acceptor,MCULE-4193810350,-3.304,5.053,1.779,-0.307,0.052,-0.95
Acceptor,MCULE-4193810350,4.408,3.811,-2.384,0.72,-0.354,-0.597
NegIonizable,MCULE-4193810350,-1.941,4.814,6.241,,,
PosIonizable,MCULE-4193810350,3.956,6.421,-0.011,,,
Aromatic,MCULE-4193810350,-0.28,4.048,-0.047,0.23,0.969,-0.092
Aromatic,MCULE-4193810350,-2.899,4.986,3.104,0.295,0.955,-0.041
Donor,OSSM_270778,-2.855,-1.877,2.788,-0.362,0.48,0.799
Donor,OSSM_270778,-2.363,-3.111,2.963,,,
Donor,OSSM_270778,-1.834,-1.416,-1.345,0.095,0.839,0.535
Donor,OSSM_270778,2.608,3.63,0.349,0.194,0.863,0.466
Acceptor,OSSM_270778,-5.027,3.597,0.161,0.312,0.776,0.548
Acceptor,OSSM_270778,-2.948,3.411,1.884,0.7,0.556,-0.448
Acceptor,OSSM_270778,-2.363,-3.111,2.963,0.094,-0.52,0.849
Acceptor,OSSM_270778,-1.814,-3.694,-1.192,0.134,-0.891,-0.433
Acceptor,OSSM_270778,4.044,1.841,1.308,0.27,-0.36,0.893
Acceptor,OSSM_270778,4.613,2.862,-0.942,0.663,0.346,-0.664
Aromatic,OSSM_270778,-2.467,-2.476,1.945,-0.914,-0.376,-0.149
Aromatic,OSSM_270778,-3.962,1.099,0.767,-0.645,-0.09,0.759
Aromatic,OSSM_270778,1.807,0.264,-1.458,0.82,-0.416,-0.392
LumpedHydrophobe,OSSM_270778,-3.962,1.099,0.767,,,
LumpedHydrophobe,OSSM_270778,1.807,0.264,-1.458,,,
Donor,STL191246,-2.418,-4.03,-2.011,,,
Donor,STL191246,-3.551,-2.981,1.189,,,
Donor,STL191246,-3.697,-3.279,-0.114,-0.898,0.103,-0.428
Donor,STL191246,2.025,-3.562,0.324,-0.022,0.53,-0.847
Donor,STL191246,2.406,4.172,0.067,0.596,0.196,0.779
Acceptor,STL191246,-2.418,-4.03,-2.011,-0.765,0.041,-0.643
Acceptor,STL191246,-3.551,-2.981,1.189,-0.693,0.335,0.639
Acceptor,STL191246,0.707,-4.519,1.943,-0.114,-0.351,0.929
Acceptor,STL191246,3.82,3.265,-1.779,0.878,0.18,-0.443
Acceptor,STL191246,1.308,2.956,-1.87,-0.861,-0.034,-0.507
Aromatic,STL191246,-2.725,-3.376,0.412,0.226,0.945,-0.235
Aromatic,STL191246,-0.881,-5.183,-5.154,-0.776,-0.625,0.085
Aromatic,STL191246,-1.348,-4.061,-1.074,-0.222,-0.947,0.231
Aromatic,STL191246,2.796,0.348,0.559,0.079,0.54,0.838
LumpedHydrophobe,STL191246,-0.881,-5.183,-5.154,,,
LumpedHydrophobe,STL191246,2.796,0.348,0.559,,,
Donor,OSSM_364966,2.869,3.378,0.527,0.301,0.827,0.475
Donor,OSSM_364966,-0.695,-3.193,0.482,,,
Donor,OSSM_364966,-3.302,-5.919,0.999,0.084,-0.851,-0.518
Acceptor,OSSM_364966,1.801,4.049,-1.626,-0.68,0.649,-0.342
Acceptor,OSSM_364966,4.152,3.094,-1.608,0.944,-0.01,-0.329
Acceptor,OSSM_364966,-1.88,-4.426,-1.041,0.001,-0.578,-0.816
