ligand_id,source,n_conformers,conformer,n_matched,rmsd,aligned
Z4912279979,seed,0,-1,0,,True
Z4912279979,aligned,30,0,14,0.755,True
D266-0160,aligned,12,7,7,0.804,True
MCULE-4193810350,aligned,33,23,5,0.927,True
OSSM_270778,aligned,40,1,8,1.290,True
STL191246,aligned,35,5,7,0.919,True
OSSM_364966,aligned,40,33,8,0.820,True
STL568539,aligned,40,33,8,0.820,True
Z8803916048,aligned,4,1,7,1.126,True
MCULE-1966235308,aligned,32,7,6,0.593,True
Z8315143560,aligned,27,4,7,0.780,True
Z221505664,aligned,16,-1,0,,False
MCULE-1528614132,aligned,40,14,6,0.787,True
MCULE-3438514248,aligned,40,21,8,0.716,True
Z7684145496,aligned,40,29,7,1.246,True
MCULE-8219326142,aligned,31,22,4,0.437,True
Z5612752744,aligned,38,24,7,0.578,True
MCULE-1390089024,aligned,40,36,6,0.674,True
MCULE-5517028926,aligned,40,39,6,0.661,True
STL184866,aligned,40,1,8,1.290,True
STL184928,aligned,40,8,7,0.925,True
Z9304515688,aligned,40,26,7,0.677,True
OSSM_270823,aligned,40,8,7,0.925,True
MCULE-2752453438,aligned,33,13,4,0.429,True
Z9304513756,aligned,34,30,7,0.683,True
MCULE-3368426694,aligned,40,26,6,0.686,True
MCULE-9373509363,aligned,40,8,6,0.710,True
MCULE-4134263693,aligned,40,13,8,0.710,True
MCULE-6110905834,aligned,33,31,4,0.434,True
Z1636501544,aligned,40,26,7,0.938,True
Z5379192500,aligned,40,12,7,0.480,True
MCULE-2334703321,aligned,40,3,6,0.601,True
MCULE-4920035048,aligned,40,16,6,0.610,True
MCULE-2687269303,aligned,40,27,6,1.076,True
Z9061388696,aligned,40,36,7,1.124,True
Z7151946903,aligned,40,14,8,0.937,True
Z1279774550,aligned,40,0,8,1.252,True
Z3015156460,aligned,40,37,6,0.789,True
MCULE-9624909007,aligned,40,37,7,0.931,True
Z9304513747,aligned,40,28,7,0.656,True
Z3772051645,aligned,34,33,7,0.721,True
MCULE-2683983486,aligned,27,20,6,0.665,True
Z8803916050,aligned,8,6,8,1.103,True
Z6319026856,aligned,40,3,7,1.415,True
Z3772051641,aligned,40,11,7,0.616,True
Z8462111514,aligned,40,30,7,0.998,True
Z9061997611,aligned,40,10,6,0.808,True
Z3220602606,aligned,15,12,7,0.697,True
MCULE-1747195129,aligned,40,5,6,0.672,True
MCULE-3957554977,aligned,40,31,6,1.300,True
MCULE-9139726948,aligned,37,0,6,0.921,True
