family,ligand_id,x,y,z,cluster,kept
Donor,Z4912279979,2.516,3.131,0.757,0,1
Donor,Z4912279979,-1.347,3.074,-1.074,1,0
Donor,D266-0160,0.783,-0.123,-2.439,1,0
Donor,D266-0160,1.116,1.153,-2.742,0,1
Donor,D266-0160,-0.94,4.307,-0.764,1,0
Donor,D266-0160,-2.332,10.248,1.582,7,0
Donor,MCULE-4193810350,-0.826,4.556,6.049,4,0
Donor,MCULE-4193810350,2.284,3.514,0.605,0,1
Donor,OSSM_270778,-2.856,-1.877,2.788,3,0
Donor,OSSM_270778,-2.363,-3.111,2.963,3,0
Donor,OSSM_270778,-1.834,-1.416,-1.345,2,0
Donor,OSSM_270778,2.608,3.63,0.349,0,1
Donor,STL191246,-2.418,-4.03,-2.011,3,0
Donor,STL191246,-3.551,-2.981,1.189,3,0
Donor,STL191246,-3.697,-3.28,-0.114,3,0
Donor,STL191246,2.025,-3.562,0.324,2,0
Donor,STL191246,2.405,4.172,0.067,0,1
Donor,OSSM_364966,2.869,3.377,0.527,0,1
Donor,OSSM_364966,-0.696,-3.193,0.482,2,0
Donor,OSSM_364966,-3.302,-5.92,0.999,3,0
Donor,STL568539,2.869,3.377,0.527,0,1
Donor,STL568539,-0.696,-3.193,0.482,2,0
Donor,STL568539,-3.302,-5.92,0.999,3,0
Donor,Z8803916048,3.046,3.807,0.209,0,1
Donor,MCULE-1966235308,-0.271,-5.301,-2.497,2,0
Donor,Z8315143560,0.318,-0.773,0.322,1,0
Donor,Z8315143560,-0.101,-5.355,-2.922,2,0
Donor,Z8315143560,2.738,3.662,0.53,0,1
Donor,MCULE-1528614132,-1.861,3.205,-0.91,1,0
Donor,MCULE-3438514248,-4.274,-5.266,-1.525,3,0
Donor,Z7684145496,2.448,2.881,0.798,0,1
Donor,Z7684145496,-2.782,-3.433,-3.635,3,0
Donor,Z7684145496,-3.561,-3.89,-6.219,3,0
Donor,MCULE-8219326142,-1.304,2.885,-1.26,1,0
Donor,MCULE-8219326142,3.32,-2.873,-2.278,2,0
Donor,Z5612752744,8.044,4.633,-10.468,6,0
Donor,Z5612752744,-0.566,2.547,-1.237,1,0
