family,ligand_id,x,y,z,dx,dy,dz
Donor,Z1912620065,-4.103,-2.472,-0.807,0.772,0.121,0.624
Donor,Z1912620065,5.379,2.983,-0.83,0.551,-0.741,-0.383
Acceptor,Z1912620065,-4.103,-2.472,-0.807,0.213,-0.924,0.316
Acceptor,Z1912620065,5.379,2.983,-0.83,0.726,0.481,-0.492
Acceptor,Z1912620065,5.351,0.301,-0.836,0.709,0.521,-0.474
PosIonizable,Z1912620065,-2.736,-0.39,0.449,,,
PosIonizable,Z1912620065,-0.108,0.622,1.401,,,
Aromatic,Z1912620065,3.379,1.677,0.527,-0.565,0.005,-0.825
Aromatic,Z1912620065,4.363,-0.418,-0.174,0.564,-0.014,0.826
LumpedHydrophobe,Z1912620065,3.379,1.677,0.527,,,
Donor,Z1912620065,-3.426,-3.109,-1.012,0.745,0.212,0.632
Donor,Z1912620065,5.595,3.079,-1.118,0.617,-0.713,-0.334
Acceptor,Z1912620065,-3.426,-3.109,-1.012,0.278,-0.888,0.367
Acceptor,Z1912620065,5.595,3.079,-1.118,0.698,0.512,-0.501
Acceptor,Z1912620065,5.778,0.406,-0.989,0.677,0.553,-0.486
PosIonizable,Z1912620065,-2.259,-0.866,0.164,,,
PosIonizable,Z1912620065,0.258,0.399,1.117,,,
Aromatic,Z1912620065,3.671,1.685,0.262,-0.544,-0.08,-0.835
Aromatic,Z1912620065,4.834,-0.357,-0.312,0.543,0.071,0.837
LumpedHydrophobe,Z1912620065,3.671,1.685,0.262,,,
Donor,OSSL_941018,5.744,3.15,-1.204,0.605,-0.767,-0.212
Donor,OSSL_941018,-3.574,-3.235,-0.336,0.449,-0.113,-0.887
Acceptor,OSSL_941018,5.784,0.491,-0.795,0.745,0.459,-0.484
Acceptor,OSSL_941018,5.744,3.15,-1.204,0.759,0.431,-0.489
Acceptor,OSSL_941018,-3.574,-3.235,-0.336,0.474,-0.881,0.013
PosIonizable,OSSL_941018,0.547,-0.07,0.794,,,
PosIonizable,OSSL_941018,-2.466,-0.335,0.392,,,
Aromatic,OSSL_941018,4.747,-0.152,-0.12,0.478,0.141,0.867
Aromatic,OSSL_941018,3.651,1.985,0.141,0.479,0.138,0.867
LumpedHydrophobe,OSSL_941018,3.651,1.985,0.141,,,
Donor,OSSM_336093,-3.443,-3.341,-0.49,0.587,-0.764,-0.27
Acceptor,OSSM_336093,-3.443,-3.341,-0.49,-0.529,-0.636,-0.562
Acceptor,OSSM_336093,-4.546,-0.953,0.595,-0.957,0.229,-0.177
Acceptor,OSSM_336093,-0.665,-1.808,1.37,0.952,-0.226,0.206
Acceptor,OSSM_336093,5.581,3.402,-1.44,0.862,-0.457,-0.221
Acceptor,OSSM_336093,6.148,0.932,-0.798,0.589,0.585,-0.557
PosIonizable,OSSM_336093,0.646,1.055,2.008,,,
Aromatic,OSSM_336093,3.66,1.931,-0.07,-0.378,-0.318,-0.869
LumpedHydrophobe,OSSM_336093,3.66,1.931,-0.07,,,
Donor,MCULE-8173341992,-3.302,-3.323,-0.591,0.556,-0.831,0.019
Acceptor,MCULE-8173341992,5.916,3.364,-0.919,0.641,-0.546,-0.539
Acceptor,MCULE-8173341992,5.603,0.823,-1.448,0.803,0.533,-0.266
Acceptor,MCULE-8173341992,-0.87,-1.596,1.56,0.855,-0.23,0.464
Acceptor,MCULE-8173341992,-3.302,-3.323,-0.591,-0.451,-0.708,-0.543
Acceptor,MCULE-8173341992,-4.385,-0.715,-0.249,-0.873,0.233,-0.43
PosIonizable,MCULE-8173341992,0.342,1.43,1.782,,,
Aromatic,MCULE-8173341992,3.71,2.064,0.163,-0.537,0.241,-0.809
LumpedHydrophobe,MCULE-8173341992,3.71,2.064,0.163,,,
Donor,STL426080,-3.443,-3.341,-0.49,0.587,-0.764,-0.27
Acceptor,STL426080,-3.443,-3.341,-0.49,-0.529,-0.636,-0.562
Acceptor,STL426080,-4.546,-0.953,0.595,-0.957,0.229,-0.177
Acceptor,STL426080,-0.665,-1.808,1.37,0.952,-0.226,0.206
Acceptor,STL426080,5.581,3.402,-1.44,0.862,-0.457,-0.221
Acceptor,STL426080,6.148,0.932,-0.798,0.589,0.585,-0.557
PosIonizable,STL426080,0.646,1.055,2.008,,,
Aromatic,STL426080,3.66,1.931,-0.07,-0.378,-0.318,-0.869
LumpedHydrophobe,STL426080,3.66,1.931,-0.07,,,
Donor,FCG2879657833,-2.034,2.413,2.026,,,
Donor,FCG2879657833,1.361,4.368,0.822,-0.688,0.351,0.635
Donor,FCG2879657833,5.751,3.043,-1.213,0.747,-0.62,-0.24
Acceptor,FCG2879657833,-0.61,4.147,2.593,0.133,0.919,0.372
Acceptor,FCG2879657833,1.361,4.368,0.822,-0.076,0.986,-0.151
Acceptor,FCG2879657833,5.751,3.043,-1.213,0.703,0.518,-0.487
PosIonizable,FCG2879657833,-3.14,-0.896,0.463,,,
Aromatic,FCG2879657833,1.617,1.642,1.265,0.446,0.211,0.87
Aromatic,FCG2879657833,3.786,1.66,0.133,0.453,0.202,0.868
LumpedHydrophobe,FCG2879657833,1.617,1.642,1.265,,,
LumpedHydrophobe,FCG2879657833,3.786,1.66,0.133,,,
Donor,FCG2880127876,3.888,5.446,-0.267,,,
Donor,FCG2880127876,5.746,3.022,-1.055,0.386,-0.581,-0.716
Donor,FCG2880127876,7.269,-1.677,0.374,0.739,0.61,-0.287
Acceptor,FCG2880127876,2.53,4.579,-1.93,-0.591,0.14,-0.794
Acceptor,FCG2880127876,5.746,3.022,-1.055,0.792,0.486,-0.37
Acceptor,FCG2880127876,7.269,-1.677,0.374,0.865,-0.501,0.024
PosIonizable,FCG2880127876,5.388,7.732,0.872,,,
Aromatic,FCG2880127876,3.531,1.676,-0.085,0.186,0.304,0.934
Aromatic,FCG2880127876,4.868,-0.329,0.333,0.168,0.315,0.934
LumpedHydrophobe,FCG2880127876,3.531,1.676,-0.085,,,
LumpedHydrophobe,FCG2880127876,4.868,-0.329,0.333,,,
Donor,FCG2947887977,-1.453,-0.952,-1.386,0.94,0.231,0.25
Donor,FCG2947887977,-3.255,-2.807,-0.355,0.691,-0.082,-0.718
Acceptor,FCG2947887977,4.927,3.418,-1.362,0.826,-0.258,-0.502
Acceptor,FCG2947887977,5.986,0.958,-1.299,0.904,0.142,0.404
Acceptor,FCG2947887977,4.745,-1.111,0.159,-0.478,-0.807,-0.346
Acceptor,FCG2947887977,-1.453,-0.952,-1.386,0.539,-0.238,-0.808
Acceptor,FCG2947887977,-3.255,-2.807,-0.355,0.202,-0.978,-0.045
PosIonizable,FCG2947887977,-0.035,-0.272,0.939,,,
Aromatic,FCG2947887977,3.606,1.412,0.055,0.505,0.248,0.827
LumpedHydrophobe,FCG2947887977,3.606,1.412,0.055,,,
Donor,OSSM_120554,1.465,0.896,3.089,0.798,0.53,0.286
Donor,OSSM_120554,5.574,3.091,-1.163,0.677,-0.662,-0.322
Donor,OSSM_120554,7.28,-1.353,-1.417,0.36,0.842,-0.402
Acceptor,OSSM_120554,1.465,0.896,3.089,-0.281,0.547,0.789
Acceptor,OSSM_120554,5.574,3.091,-1.163,0.638,0.55,-0.539
Acceptor,OSSM_120554,5.999,0.444,-0.905,0.635,0.563,-0.529
Acceptor,OSSM_120554,7.28,-1.353,-1.417,0.808,-0.351,-0.472
PosIonizable,OSSM_120554,-0.27,0.795,0.858,,,
Aromatic,OSSM_120554,3.806,1.602,0.323,-0.548,-0.176,-0.818
Aromatic,OSSM_120554,5.122,-0.361,-0.167,-0.549,-0.155,-0.821
LumpedHydrophobe,OSSM_120554,3.806,1.602,0.323,,,
LumpedHydrophobe,OSSM_120554,-1.758,0.932,-0.252,,,
Donor,MCULE-4357750750,5.578,2.595,-1.374,0.842,0.052,-0.536
Acceptor,MCULE-4357750750,5.578,2.595,-1.374,-0.041,0.794,-0.607
Acceptor,MCULE-4357750750,5.745,-0.687,1.144,0.041,-0.792,0.609
PosIonizable,MCULE-4357750750,-1.716,0.511,-0.667,,,
Aromatic,MCULE-4357750750,3.471,0.893,1.134,0.393,0.576,0.716
Aromatic,MCULE-4357750750,5.686,0.41,0.302,0.395,0.572,0.719
LumpedHydrophobe,MCULE-4357750750,3.471,0.893,1.134,,,
Donor,Z1317932814,5.337,3.239,-1.396,0.765,-0.62,-0.175
Acceptor,Z1317932814,-2.95,-3.908,-0.461,-0.117,0.908,-0.403
Acceptor,Z1317932814,-3.948,-5.899,0.392,-0.824,-0.522,0.222
Acceptor,Z1317932814,5.869,0.624,-0.601,0.855,-0.414,-0.312
Acceptor,Z1317932814,5.337,3.239,-1.396,0.629,0.522,-0.576
Acceptor,Z1317932814,2.428,2.336,0.644,-0.839,0.447,0.312
PosIonizable,Z1317932814,0.404,-0.018,1.271,,,
Aromatic,Z1317932814,-2.82,-5.159,0.079,0.004,-0.392,-0.92
Donor,STK632659,1.465,0.896,3.089,0.798,0.53,0.286
Donor,STK632659,5.574,3.091,-1.163,0.677,-0.662,-0.322
Donor,STK632659,7.28,-1.353,-1.417,0.36,0.842,-0.402
Acceptor,STK632659,1.465,0.896,3.089,-0.281,0.547,0.789
Acceptor,STK632659,5.574,3.091,-1.163,0.638,0.55,-0.539
Acceptor,STK632659,5.999,0.444,-0.905,0.635,0.563,-0.529
Acceptor,STK632659,7.28,-1.353,-1.417,0.808,-0.351,-0.472
PosIonizable,STK632659,-0.27,0.795,0.858,,,
Aromatic,STK632659,3.806,1.602,0.323,-0.548,-0.176,-0.818
Aromatic,STK632659,5.122,-0.361,-0.167,-0.549,-0.155,-0.821
LumpedHydrophobe,STK632659,3.806,1.602,0.323,,,
LumpedHydrophobe,STK632659,-1.758,0.932,-0.252,,,
Donor,MCULE-5351999624,-2.611,-3.752,-0.621,-0.223,0.916,0.334
Donor,MCULE-5351999624,-1.87,-5.74,1.242,-0.824,0.11,-0.555
