ligand_id,source,n_conformers,conformer,n_matched,rmsd,aligned
Z1912620065,seed,0,-1,0,,True
Z1912620065,aligned,36,0,10,0.491,True
OSSL_941018,aligned,22,17,10,0.535,True
OSSM_336093,aligned,25,21,7,0.628,True
MCULE-8173341992,aligned,27,19,7,0.663,True
STL426080,aligned,25,21,7,0.628,True
FCG2879657833,aligned,15,6,5,0.412,True
FCG2880127876,aligned,21,18,5,0.355,True
FCG2947887977,aligned,40,11,7,0.700,True
OSSM_120554,aligned,35,11,7,0.339,True
MCULE-4357750750,aligned,35,27,6,1.119,True
Z1317932814,aligned,36,35,5,0.984,True
STK632659,aligned,35,11,7,0.339,True
MCULE-5351999624,aligned,27,10,7,1.014,True
MCULE-3005884355,aligned,40,26,6,0.806,True
MCULE-1064508720,aligned,40,30,6,0.701,True
MCULE-1296496099,aligned,40,33,4,0.414,True
FCG2878104926,aligned,19,9,5,0.214,True
Z1993819341,aligned,37,16,7,0.640,True
Z56801208,aligned,40,31,6,0.817,True
FCG2946094125,aligned,40,21,7,0.467,True
MCULE-1995617555,aligned,38,32,6,0.888,True
MCULE-6364997021,aligned,39,25,7,0.480,True
MCULE-6774338267,aligned,40,28,7,0.669,True
OSSK_467174,aligned,23,0,5,0.190,True
MCULE-7309126653,aligned,40,35,7,0.691,True
MCULE-6052560004,aligned,27,4,5,0.725,True
MCULE-8409240289,aligned,39,33,4,0.410,True
Z9135329515,aligned,8,2,5,0.533,True
MCULE-4411896303,aligned,40,8,7,0.629,True
OSSM_044765,aligned,10,7,6,0.470,True
OSSL_639641,aligned,22,13,5,0.153,True
MCULE-4460325065,aligned,34,12,7,1.029,True
8012-9271,aligned,22,13,5,0.153,True
STK657641,aligned,10,7,6,0.470,True
Z3522831516,aligned,40,23,5,0.466,True
MCULE-4880777263,aligned,40,2,6,0.888,True
Z1912578086,aligned,39,31,8,0.345,True
MCULE-4554608817,aligned,40,26,4,0.672,True
STL032978,aligned,36,21,8,0.698,True
MCULE-8317582243,aligned,37,4,5,0.711,True
STL520190,aligned,40,18,4,0.612,True
STL520269,aligned,40,9,4,0.714,True
MCULE-3716360067,aligned,40,1,5,0.578,True
FCG3559872553,aligned,40,10,7,1.351,True
Z1623981649,aligned,28,18,9,0.633,True
8015-2101,aligned,40,3,6,0.616,True
Z204712526,aligned,38,30,6,0.419,True
Z2312594102,aligned,23,19,8,0.909,True
Z1317909945,aligned,40,29,5,1.044,True
OSSK_860993,aligned,36,21,8,0.698,True
