family,ligand_id,x,y,z,cluster,kept
Donor,Z1912620065,-3.426,-3.109,-1.012,1,0
Donor,Z1912620065,5.595,3.079,-1.118,0,1
Donor,OSSL_941018,5.744,3.151,-1.204,0,1
Donor,OSSL_941018,-3.574,-3.235,-0.336,1,0
Donor,OSSM_336093,-3.443,-3.341,-0.49,1,0
Donor,MCULE-8173341992,-3.302,-3.323,-0.591,1,0
Donor,STL426080,-3.443,-3.341,-0.49,1,0
Donor,FCG2879657833,-2.034,2.413,2.026,1,0
Donor,FCG2879657833,1.361,4.368,0.822,0,1
Donor,FCG2879657833,5.751,3.043,-1.213,0,1
Donor,FCG2880127876,3.888,5.446,-0.267,0,1
Donor,FCG2880127876,5.746,3.022,-1.055,0,1
Donor,FCG2880127876,7.269,-1.677,0.374,0,1
Donor,FCG2947887977,-1.453,-0.952,-1.386,1,0
Donor,FCG2947887977,-3.255,-2.807,-0.355,1,0
Donor,OSSM_120554,1.465,0.896,3.089,1,0
Donor,OSSM_120554,5.574,3.091,-1.163,0,1
Donor,OSSM_120554,7.28,-1.353,-1.417,0,1
Donor,MCULE-4357750750,5.578,2.595,-1.374,0,1
Donor,Z1317932814,5.337,3.239,-1.396,0,1
Donor,STK632659,1.465,0.896,3.089,1,0
Donor,STK632659,5.574,3.091,-1.163,0,1
Donor,STK632659,7.28,-1.353,-1.417,0,1
Donor,MCULE-5351999624,-2.611,-3.752,-0.621,1,0
Donor,MCULE-5351999624,-1.87,-5.74,1.242,1,0
Donor,MCULE-3005884355,-3.245,-3.144,-0.415,1,0
Donor,MCULE-3005884355,1.414,-0.685,-1.341,1,0
Donor,MCULE-1064508720,-3.106,-3.296,-0.183,1,0
Donor,MCULE-1064508720,0.666,-0.708,-1.387,1,0
Donor,MCULE-1296496099,2.903,-1.53,1.66,1,0
Donor,FCG2878104926,4.379,5.308,-0.753,0,1
Donor,FCG2878104926,5.687,3.05,-1.122,0,1
Donor,FCG2878104926,7.158,-1.779,-0.281,0,1
Donor,Z1993819341,-3.09,-2.775,-0.234,1,0
Donor,Z56801208,5.675,2.438,-0.95,0,1
Donor,Z56801208,1.127,2.601,3.324,0,1
Donor,Z56801208,-3.355,-3.109,-0.737,1,0
Donor,FCG2946094125,-0.546,-2.517,0.311,1,0
Donor,FCG2946094125,-3.2,-3.081,-0.219,1,0
Donor,MCULE-1995617555,5.722,3.01,-1.556,0,1
Donor,MCULE-6364997021,-2.453,-0.487,-0.345,1,0
Donor,MCULE-6364997021,-3.164,-3.152,-0.119,1,0
Donor,MCULE-6774338267,-0.624,-2.544,0.452,1,0
Donor,MCULE-6774338267,-2.989,-2.863,-0.927,1,0
Donor,OSSK_467174,5.586,2.916,-1.188,0,1
Donor,MCULE-7309126653,-2.934,-0.139,0.401,1,0
Donor,MCULE-7309126653,-2.586,-2.835,-0.268,1,0
Donor,MCULE-6052560004,-0.705,-2.079,0.77,1,0
Donor,MCULE-8409240289,0.432,0.31,1.658,1,0
Donor,MCULE-8409240289,1.325,3.913,1.857,0,1
Donor,Z9135329515,6.295,3.21,-0.985,0,1
Donor,MCULE-4411896303,-3.414,-0.888,1.334,1,0
Donor,MCULE-4411896303,-3.026,-2.772,-0.656,1,0
Donor,OSSM_044765,5.707,3.096,-1.155,0,1
Donor,OSSL_639641,5.615,2.984,-1.156,0,1
Donor,MCULE-4460325065,-7.936,-2.651,0.906,1,0
Donor,8012-9271,5.615,2.984,-1.156,0,1
Donor,STK657641,5.707,3.096,-1.155,0,1
Donor,Z3522831516,-0.548,1.369,0.641,1,0
Donor,Z3522831516,5.786,3.058,-1.215,0,1
Donor,MCULE-4880777263,5.886,2.745,-1.238,0,1
Donor,Z1912578086,-2.205,-1.146,0.756,1,0
Donor,Z1912578086,5.485,3.025,-1.299,0,1
Donor,MCULE-4554608817,2.082,-0.938,1.892,1,0
Donor,MCULE-4554608817,6.098,3.086,-0.773,0,1
Donor,STL032978,5.924,3.145,-1.102,0,1
Donor,STL032978,-3.915,-3.225,-0.652,1,0
Donor,MCULE-8317582243,-0.7,-2.09,0.768,1,0
Donor,STL520190,6.004,2.67,-0.943,0,1
Donor,STL520190,1.132,1.863,2.876,0,1
Donor,STL520269,5.819,2.917,-0.875,0,1
Donor,STL520269,0.783,2.614,2.811,0,1
Donor,MCULE-3716360067,0.81,-1.925,-1.354,1,0
Donor,FCG3559872553,-2.797,-3.409,-0.458,1,0
Donor,FCG3559872553,5.362,3.028,-1.016,0,1
Donor,Z1623981649,-3.859,-3.032,-0.942,1,0
Donor,Z1623981649,5.699,3.202,-1.328,0,1
Donor,Z2312594102,-3.365,-2.85,-0.44,1,0
Donor,Z2312594102,5.173,2.808,-1.189,0,1
Donor,Z1317909945,-2.882,-3.486,-0.453,1,0
Donor,Z1317909945,6.12,3.4,-0.748,0,1
Donor,OSSK_860993,5.924,3.145,-1.102,0,1
Donor,OSSK_860993,-3.915,-3.225,-0.652,1,0
Acceptor,Z1912620065,-3.426,-3.109,-1.012,1,1
Acceptor,Z1912620065,5.595,3.079,-1.118,0,1
Acceptor,Z1912620065,5.778,0.406,-0.989,0,1
Acceptor,OSSL_941018,5.784,0.491,-0.795,0,1
