family,ligand_id,x,y,z,dx,dy,dz
Donor,STL560881,-3.633,-2.799,-0.022,-0.91,-0.413,0.018
Donor,STL560881,5.866,0.896,-0.125,0.255,0.354,0.899
Acceptor,STL560881,-3.633,-2.799,-0.022,0.084,-0.917,-0.39
Acceptor,STL560881,-0.051,-0.985,1.274,0.503,0.265,0.822
Acceptor,STL560881,5.866,0.896,-0.125,0.954,0.296,-0.039
Aromatic,STL560881,3.24,0.068,-0.06,0.294,-0.91,0.294
LumpedHydrophobe,STL560881,3.24,0.068,-0.06,,,
Donor,STL560881,-3.488,-3.225,0.43,-0.889,-0.455,0.054
Donor,STL560881,5.817,0.908,-0.029,0.262,0.39,0.883
Acceptor,STL560881,-3.488,-3.225,0.43,0.117,-0.922,-0.369
Acceptor,STL560881,0.035,-1.212,1.581,0.512,0.31,0.801
Acceptor,STL560881,5.817,0.908,-0.029,0.938,0.34,-0.073
Aromatic,STL560881,3.237,-0.04,0.13,0.344,-0.887,0.308
LumpedHydrophobe,STL560881,3.237,-0.04,0.13,,,
Donor,Z2180011388,5.666,0.661,-0.065,0.462,0.404,0.789
Acceptor,Z2180011388,5.666,0.661,-0.065,0.984,0.002,-0.175
Aromatic,Z2180011388,2.947,0.631,0.372,0.078,-0.905,0.417
Aromatic,Z2180011388,-1.286,0.584,1.108,0.175,0.32,0.931
LumpedHydrophobe,Z2180011388,2.947,0.631,0.372,,,
LumpedHydrophobe,Z2180011388,-1.286,0.584,1.108,,,
LumpedHydrophobe,Z2180011388,-3.322,-0.603,1.898,,,
Donor,Y042-2932,-3.257,-3.373,-0.16,0.224,-0.503,0.835
Donor,Y042-2932,5.685,0.484,-0.019,0.607,0.662,0.44
Acceptor,Y042-2932,-3.257,-3.373,-0.16,-0.45,-0.892,-0.039
Acceptor,Y042-2932,-0.524,-0.229,2.112,0.323,-0.728,0.605
Acceptor,Y042-2932,5.685,0.484,-0.019,0.946,-0.258,-0.196
Aromatic,Y042-2932,-2.032,-0.91,-0.095,0.812,-0.397,-0.428
Aromatic,Y042-2932,3.064,1.157,0.496,0.019,-0.556,0.831
LumpedHydrophobe,Y042-2932,-2.032,-0.91,-0.095,,,
LumpedHydrophobe,Y042-2932,3.064,1.157,0.496,,,
Donor,STK801893,-3.257,-3.373,-0.16,0.224,-0.503,0.835
Donor,STK801893,5.685,0.484,-0.019,0.607,0.662,0.44
Acceptor,STK801893,-3.257,-3.373,-0.16,-0.45,-0.892,-0.039
Acceptor,STK801893,-0.524,-0.229,2.112,0.323,-0.728,0.605
Acceptor,STK801893,5.685,0.484,-0.019,0.946,-0.258,-0.196
Aromatic,STK801893,-2.032,-0.91,-0.095,0.812,-0.397,-0.428
Aromatic,STK801893,3.064,1.157,0.496,0.019,-0.556,0.831
LumpedHydrophobe,STK801893,-2.032,-0.91,-0.095,,,
LumpedHydrophobe,STK801893,3.064,1.157,0.496,,,
Donor,OSSL_331474,-3.257,-3.373,-0.16,0.224,-0.503,0.835
Donor,OSSL_331474,5.685,0.484,-0.019,0.607,0.662,0.44
Acceptor,OSSL_331474,-3.257,-3.373,-0.16,-0.45,-0.892,-0.039
Acceptor,OSSL_331474,-0.524,-0.229,2.112,0.323,-0.728,0.605
Acceptor,OSSL_331474,5.685,0.484,-0.019,0.946,-0.258,-0.196
Aromatic,OSSL_331474,-2.032,-0.91,-0.095,0.812,-0.397,-0.428
Aromatic,OSSL_331474,3.064,1.157,0.496,0.019,-0.556,0.831
LumpedHydrophobe,OSSL_331474,-2.032,-0.91,-0.095,,,
LumpedHydrophobe,OSSL_331474,3.064,1.157,0.496,,,
Donor,STL372900,5.664,0.665,-0.056,0.482,0.401,0.779
Acceptor,STL372900,5.664,0.665,-0.056,0.983,-0.002,-0.184
Aromatic,STL372900,2.937,0.628,0.366,-0.077,0.906,-0.416
LumpedHydrophobe,STL372900,2.937,0.628,0.366,,,
LumpedHydrophobe,STL372900,-1.195,-1.084,0.549,,,
LumpedHydrophobe,STL372900,-1.089,-0.085,0.583,,,
Donor,Z2235439668,5.666,0.661,-0.065,0.463,0.404,0.789
Acceptor,Z2235439668,5.666,0.661,-0.065,0.984,0.003,-0.175
Aromatic,Z2235439668,2.947,0.631,0.372,-0.078,0.905,-0.417
Aromatic,Z2235439668,-1.302,0.676,1.062,0.163,0.408,0.898
Aromatic,Z2235439668,-3.406,-0.288,1.878,0.161,0.408,0.899
LumpedHydrophobe,Z2235439668,2.947,0.631,0.372,,,
LumpedHydrophobe,Z2235439668,-1.302,0.676,1.062,,,
LumpedHydrophobe,Z2235439668,-3.406,-0.288,1.878,,,
Donor,OSSM_280958,5.563,0.762,-0.079,0.566,0.142,0.812
Acceptor,OSSM_280958,0.4,-0.329,1.485,-0.118,-0.192,0.974
Acceptor,OSSM_280958,5.563,0.762,-0.079,0.936,0.196,-0.292
Aromatic,OSSM_280958,-3.391,-0.443,2.618,-0.699,-0.007,-0.715
