ligand_id,source,n_conformers,conformer,n_matched,rmsd,aligned
STL560881,seed,0,-1,0,,True
STL560881,aligned,19,0,7,0.731,True
Z2180011388,aligned,4,0,4,0.040,True
Y042-2932,aligned,4,2,7,0.456,True
STK801893,aligned,4,2,7,0.456,True
OSSL_331474,aligned,4,2,7,0.456,True
STL372900,aligned,15,3,4,0.032,True
Z2235439668,aligned,2,1,4,0.040,True
OSSM_280958,aligned,6,2,5,0.403,True
0387-0102,aligned,6,2,5,0.403,True
Z8339566336,aligned,8,2,6,0.657,True
Z2523388541,aligned,4,0,5,0.578,True
Z5020307856,aligned,4,3,5,0.582,True
OSSM_283194,aligned,15,3,4,0.032,True
STL328950,aligned,6,2,5,0.403,True
Z2998091999,aligned,10,0,6,0.796,True
Z5020307317,aligned,2,0,5,0.521,True
Z5020308071,aligned,2,1,4,0.041,True
Z5020308101,aligned,2,1,4,0.041,True
Z56899138,aligned,13,8,6,0.417,True
OSSL_301336,aligned,8,5,5,0.453,True
STL564635,aligned,6,3,5,0.350,True
Z5020307425,aligned,4,2,4,0.037,True
R035-0073,aligned,10,0,6,0.423,True
Z5020304953,aligned,4,0,4,0.040,True
STK803083,aligned,2,0,7,0.858,True
STK025759,aligned,17,5,4,0.041,True
0417-1650,aligned,2,0,4,0.041,True
OSSL_302895,aligned,2,0,4,0.041,True
OSSL_331145,aligned,2,0,6,0.546,True
00CS-0026,aligned,17,5,4,0.041,True
Z8849623088,aligned,13,12,5,0.606,True
0099-0217,aligned,2,0,6,0.546,True
OSSK_329587,aligned,17,5,4,0.041,True
STK801744,aligned,2,0,6,0.546,True
Z56903635,aligned,9,4,6,0.436,True
Z5020304860,aligned,4,0,5,0.359,True
Z2180011391,aligned,6,5,4,0.032,True
STK801619,aligned,2,0,6,0.983,True
OSSK_098099,aligned,2,0,6,0.983,True
Z5020307501,aligned,4,3,5,0.373,True
Z1824566795,aligned,2,1,6,0.706,True
Z9101486005,aligned,4,3,6,0.694,True
Z5020305635,aligned,4,3,5,0.935,True
Z4224787393,aligned,25,22,6,0.841,True
Z5020306225,aligned,4,1,5,0.409,True
Z56857923,aligned,2,0,4,0.041,True
Z1513879239,aligned,8,0,4,0.041,True
OSSM_006002,aligned,2,0,6,0.573,True
Z5020304780,aligned,4,3,4,0.040,True
STK546411,aligned,2,0,6,0.573,True
