family,ligand_id,x,y,z,cluster,kept
Donor,STL560881,-3.488,-3.225,0.43,1,0
Donor,STL560881,5.817,0.908,-0.029,0,1
Donor,Z2180011388,5.666,0.661,-0.066,0,1
Donor,Y042-2932,-3.257,-3.373,-0.16,1,0
Donor,Y042-2932,5.685,0.484,-0.019,0,1
Donor,STK801893,-3.257,-3.373,-0.16,1,0
Donor,STK801893,5.685,0.484,-0.019,0,1
Donor,OSSL_331474,-3.257,-3.373,-0.16,1,0
Donor,OSSL_331474,5.685,0.484,-0.019,0,1
Donor,STL372900,5.664,0.665,-0.056,0,1
Donor,Z2235439668,5.666,0.661,-0.065,0,1
Donor,OSSM_280958,5.563,0.762,-0.079,0,1
Donor,0387-0102,5.563,0.762,-0.079,0,1
Donor,Z8339566336,-2.597,-3.363,-0.182,1,0
Donor,Z8339566336,5.26,0.301,0.075,0,1
Donor,Z2523388541,-3.309,-3.397,-0.013,1,0
Donor,Z5020307856,-3.232,-3.545,-0.096,1,0
Donor,OSSM_283194,5.664,0.665,-0.056,0,1
Donor,STL328950,5.563,0.762,-0.079,0,1
Donor,Z2998091999,5.472,0.514,-0.029,0,1
Donor,Z2998091999,-3.382,-3.966,-0.579,1,0
Donor,Z5020307317,-3.071,-3.352,-0.076,1,0
Donor,Z5020308071,5.666,0.66,-0.067,0,1
Donor,Z5020308101,5.665,0.66,-0.066,0,1
Donor,Z56899138,-3.128,-3.229,-0.021,1,0
Donor,Z56899138,5.481,0.496,-0.011,0,1
Donor,OSSL_301336,5.559,0.564,-0.057,0,1
Donor,STL564635,5.734,0.848,-0.137,0,1
Donor,Z5020307425,5.664,0.661,-0.065,0,1
Donor,R035-0073,-3.138,-3.215,-0.024,1,0
Donor,R035-0073,5.481,0.493,-0.032,0,1
Donor,Z5020304953,5.665,0.66,-0.065,0,1
Donor,STK803083,-3.319,-3.608,0.345,1,0
Donor,STK803083,0.252,-1.045,2.127,1,0
Donor,STK803083,1.732,3.162,0.485,0,1
Donor,STK803083,5.727,0.615,0.184,0,1
Donor,STK025759,5.667,0.66,-0.066,0,1
Donor,0417-1650,5.667,0.66,-0.067,0,1
Donor,OSSL_302895,5.667,0.66,-0.067,0,1
Donor,OSSL_331145,5.822,0.602,0.081,0,1
Donor,OSSL_331145,1.932,2.843,1.628,0,1
Donor,OSSL_331145,-3.205,-3.561,-0.053,1,0
Donor,00CS-0026,5.667,0.66,-0.066,0,1
Donor,Z8849623088,5.642,0.523,0.027,0,1
Donor,0099-0217,5.822,0.602,0.081,0,1
Donor,0099-0217,1.932,2.843,1.628,0,1
Donor,0099-0217,-3.205,-3.561,-0.053,1,0
Donor,OSSK_329587,5.667,0.66,-0.066,0,1
Donor,STK801744,5.822,0.602,0.081,0,1
Donor,STK801744,1.932,2.843,1.628,0,1
Donor,STK801744,-3.205,-3.561,-0.053,1,0
Donor,Z56903635,-3.078,-3.206,-0.039,1,0
Donor,Z56903635,5.444,0.474,-0.028,0,1
Donor,Z5020304860,5.7,0.784,-0.07,0,1
Donor,Z2180011391,5.663,0.665,-0.056,0,1
Donor,STK801619,5.15,0.346,-0.04,0,1
Donor,STK801619,-6.817,-0.199,1.148,1,0
Donor,STK801619,-3.165,-3.041,0.273,1,0
Donor,OSSK_098099,5.15,0.346,-0.04,0,1
Donor,OSSK_098099,-6.817,-0.199,1.148,1,0
Donor,OSSK_098099,-3.165,-3.041,0.273,1,0
Donor,Z5020307501,-3.169,-3.434,-0.068,1,0
Donor,Z1824566795,-6.513,-0.098,1.471,1,0
Donor,Z1824566795,-2.9,-3.011,0.333,1,0
Donor,Z1824566795,5.4,0.519,-0.104,0,1
Donor,Z9101486005,5.242,0.269,0.124,0,1
Donor,Z9101486005,-2.676,-3.254,-0.152,1,0
Donor,Z5020305635,5.367,0.84,0.086,0,1
Donor,Z4224787393,-3.865,-4.274,-0.425,1,0
Donor,Z4224787393,5.929,1.044,-0.027,0,1
Donor,Z5020306225,5.707,0.823,-0.068,0,1
Donor,Z56857923,5.667,0.66,-0.067,0,1
Donor,Z1513879239,5.666,0.661,-0.066,0,1
Donor,OSSM_006002,5.706,0.98,0.001,0,1
Donor,OSSM_006002,-3.04,-3.576,-0.026,1,0
Donor,Z5020304780,5.665,0.66,-0.066,0,1
Donor,STK546411,5.706,0.98,0.001,0,1
Donor,STK546411,-3.04,-3.576,-0.026,1,0
Acceptor,STL560881,-3.488,-3.225,0.43,1,1
Acceptor,STL560881,0.035,-1.212,1.581,1,1
Acceptor,STL560881,5.817,0.908,-0.029,0,1
Acceptor,Z2180011388,5.666,0.661,-0.066,0,1
Acceptor,Y042-2932,-3.257,-3.373,-0.16,1,1
Acceptor,Y042-2932,-0.524,-0.229,2.111,1,1
Acceptor,Y042-2932,5.685,0.484,-0.019,0,1
Acceptor,STK801893,-3.257,-3.373,-0.16,1,1
Acceptor,STK801893,-0.524,-0.229,2.111,1,1
Acceptor,STK801893,5.685,0.484,-0.019,0,1
Acceptor,OSSL_331474,-3.257,-3.373,-0.16,1,1
Acceptor,OSSL_331474,-0.524,-0.229,2.111,1,1
Acceptor,OSSL_331474,5.685,0.484,-0.019,0,1
Acceptor,STL372900,5.664,0.665,-0.056,0,1
Acceptor,Z2235439668,5.666,0.661,-0.065,0,1
Acceptor,OSSM_280958,0.4,-0.329,1.485,1,1
Acceptor,OSSM_280958,5.563,0.762,-0.079,0,1
Acceptor,0387-0102,0.4,-0.329,1.485,1,1
Acceptor,0387-0102,5.563,0.762,-0.079,0,1
Acceptor,Z8339566336,-2.597,-3.363,-0.182,1,1
Acceptor,Z8339566336,5.26,0.301,0.075,0,1
Acceptor,Z2523388541,-3.309,-3.397,-0.013,1,1
Acceptor,Z2523388541,6.287,1.155,-0.374,0,1
Acceptor,Z5020307856,6.241,1.445,0.078,0,1
Acceptor,Z5020307856,-3.232,-3.545,-0.096,1,1
Acceptor,OSSM_283194,5.664,0.665,-0.056,0,1
Acceptor,STL328950,0.4,-0.329,1.485,1,1
Acceptor,STL328950,5.563,0.762,-0.079,0,1
Acceptor,Z2998091999,5.472,0.514,-0.029,0,1
Acceptor,Z2998091999,-3.382,-3.966,-0.579,1,1
Acceptor,Z5020307317,5.499,1.365,0.133,0,1
Acceptor,Z5020307317,-3.071,-3.352,-0.076,1,1
Acceptor,Z5020308071,5.666,0.66,-0.067,0,1
Acceptor,Z5020308101,5.665,0.66,-0.066,0,1
Acceptor,Z56899138,-3.128,-3.229,-0.021,1,1
Acceptor,Z56899138,5.481,0.496,-0.011,0,1
Acceptor,OSSL_301336,5.559,0.564,-0.057,0,1
Acceptor,OSSL_301336,-2.733,-3.898,0.355,1,1
Acceptor,STL564635,-0.056,-0.87,1.816,1,1
Acceptor,STL564635,5.734,0.848,-0.137,0,1
Acceptor,Z5020307425,5.664,0.661,-0.065,0,1
Acceptor,R035-0073,-3.138,-3.215,-0.024,1,1
Acceptor,R035-0073,5.481,0.493,-0.032,0,1
Acceptor,Z5020304953,5.665,0.66,-0.065,0,1
Acceptor,STK803083,-3.319,-3.608,0.345,1,1
Acceptor,STK803083,0.252,-1.045,2.127,1,1
Acceptor,STK803083,-0.442,1.942,-0.233,1,1
Acceptor,STK803083,1.732,3.162,0.485,0,1
Acceptor,STK803083,5.727,0.615,0.184,0,1
Acceptor,STK025759,5.667,0.66,-0.066,0,1
Acceptor,0417-1650,5.667,0.66,-0.067,0,1
Acceptor,OSSL_302895,5.667,0.66,-0.067,0,1
Acceptor,OSSL_331145,5.822,0.602,0.081,0,1
Acceptor,OSSL_331145,1.932,2.843,1.628,0,1
