family,ligand_id,x,y,z,dx,dy,dz
Donor,Z56815564,3.076,2.786,1.227,-0.302,0.142,0.943
Donor,Z56815564,1.498,0.77,2.152,-0.28,0.938,-0.204
Acceptor,Z56815564,4.065,-3.597,1.048,-0.586,-0.769,0.255
Acceptor,Z56815564,6.046,-2.753,0.256,0.52,0.824,-0.224
Acceptor,Z56815564,0.659,-1.225,3.021,0.087,-0.973,0.214
Acceptor,Z56815564,-1.031,1.837,2.297,0.149,0.955,0.256
Acceptor,Z56815564,-5.305,1.286,-4.309,-0.275,-0.094,-0.957
Acceptor,Z56815564,-5.234,2.625,-2.182,-0.226,0.83,0.509
Aromatic,Z56815564,3.944,0.107,0.944,0.502,0.086,0.861
Aromatic,Z56815564,-2.103,1.398,-0.22,-0.926,0.04,0.376
Aromatic,Z56815564,-6.204,-1.015,-1.351,0.908,-0.382,0.173
LumpedHydrophobe,Z56815564,3.944,0.107,0.944,,,
LumpedHydrophobe,Z56815564,-2.103,1.398,-0.22,,,
LumpedHydrophobe,Z56815564,-6.204,-1.015,-1.351,,,
Donor,Z56815564,3.06,2.961,1.42,-0.318,0.111,0.941
Donor,Z56815564,1.436,0.936,2.238,-0.263,0.949,-0.174
Acceptor,Z56815564,3.965,-3.424,1.02,-0.602,-0.769,0.215
Acceptor,Z56815564,5.973,-2.579,0.298,0.535,0.824,-0.183
Acceptor,Z56815564,0.553,-1.077,3.015,0.069,-0.981,0.179
Acceptor,Z56815564,-1.079,2.033,2.375,0.157,0.942,0.295
Acceptor,Z56815564,-5.229,1.791,-4.328,-0.257,-0.054,-0.965
Acceptor,Z56815564,-5.182,3.05,-2.152,-0.225,0.814,0.536
Aromatic,Z56815564,3.897,0.283,1.054,0.486,0.046,0.873
Aromatic,Z56815564,-2.108,1.705,-0.177,-0.932,0.039,0.359
Aromatic,Z56815564,-6.218,-0.605,-1.477,0.899,-0.402,0.176
LumpedHydrophobe,Z56815564,3.897,0.283,1.054,,,
LumpedHydrophobe,Z56815564,-2.108,1.705,-0.177,,,
LumpedHydrophobe,Z56815564,-6.218,-0.605,-1.477,,,
Donor,Z197773058,0.405,-0.187,2.161,0.682,0.342,-0.647
Donor,Z197773058,-5.815,2.015,-1.252,0.09,0.838,0.539
Acceptor,Z197773058,3.606,-2.922,1.207,0.938,0.022,-0.345
Acceptor,Z197773058,-0.51,-2.073,3.075,-0.754,-0.448,0.481
Acceptor,Z197773058,-5.941,1.8,-3.766,-0.656,-0.181,-0.733
Acceptor,Z197773058,-4.233,3.296,-2.691,0.524,0.852,0.01
Aromatic,Z197773058,2.485,-2.944,1.601,-0.32,0.176,-0.931
Aromatic,Z197773058,4.133,0.697,1.879,-0.864,0.422,-0.275
Aromatic,Z197773058,3.671,-6.545,0.448,-0.354,0.186,-0.917
Aromatic,Z197773058,-2.321,0.669,-0.127,0.665,-0.623,-0.412
LumpedHydrophobe,Z197773058,4.133,0.697,1.879,,,
LumpedHydrophobe,Z197773058,3.671,-6.545,0.448,,,
LumpedHydrophobe,Z197773058,-2.321,0.669,-0.127,,,
LumpedHydrophobe,Z197773058,-7.459,1.321,-0.734,,,
Donor,V024-3760,0.919,0.814,1.378,,,
Donor,V024-3760,-8.437,0.084,-3.899,,,
Acceptor,V024-3760,0.918,-1.393,2.016,-0.518,-0.817,0.255
Acceptor,V024-3760,-4.716,2.615,-0.617,-0.334,0.564,-0.755
Acceptor,V024-3760,-7.326,-1.89,-4.142,0.138,-0.833,-0.536
Acceptor,V024-3760,-13.391,3.076,-7.021,-0.589,0.77,0.245
PosIonizable,V024-3760,-10.412,2.068,-4.945,,,
Aromatic,V024-3760,-6.103,-0.364,-1.313,-0.796,-0.195,0.573
Aromatic,V024-3760,-1.409,0.913,4.314,0.896,-0.336,0.292
Aromatic,V024-3760,-2.009,2.82,-0.068,0.208,-0.485,-0.849
LumpedHydrophobe,V024-3760,-1.409,0.913,4.314,,,
LumpedHydrophobe,V024-3760,-2.009,2.82,-0.068,,,
LumpedHydrophobe,V024-3760,3.522,-0.17,1.561,,,
Donor,V003-6048,-4.942,2.765,-2.106,,,
Donor,V003-6048,5.938,0.139,2.521,,,
Acceptor,V003-6048,-4.723,2.049,-4.286,0.283,-0.704,-0.652
Acceptor,V003-6048,-0.288,0.265,0.744,-0.03,-0.838,-0.546
Acceptor,V003-6048,6.344,-1.253,0.766,0.675,-0.469,-0.57
Acceptor,V003-6048,8.76,1.143,8.191,0.434,0.743,0.51
PosIonizable,V003-6048,7.051,1.65,4.851,,,
Aromatic,V003-6048,2.935,-0.857,1.028,-0.132,-0.504,0.853
Aromatic,V003-6048,-6.561,-0.437,-1.016,-0.654,0.755,0.046
Aromatic,V003-6048,-2.492,1.929,0.601,0.526,0.64,-0.56
