ligand_id,source,n_conformers,conformer,n_matched,rmsd,aligned
Z56815564,seed,0,-1,0,,True
Z56815564,aligned,40,0,13,0.669,True
Z197773058,aligned,40,10,9,1.423,True
V024-3760,aligned,39,31,7,0.971,True
V003-6048,aligned,40,20,7,0.929,True
Z30578797,aligned,30,12,10,0.726,True
OSSK_595543,aligned,40,17,9,0.822,True
STK837320,aligned,40,29,6,0.645,True
Z3688957256,aligned,40,31,7,1.442,True
3966-0064,aligned,40,20,6,0.597,True
Z234893357,aligned,40,1,9,0.510,True
OSSL_457771,aligned,40,20,6,0.597,True
Z30763274,aligned,40,16,7,0.286,True
V014-8990,aligned,40,38,8,1.269,True
4109-2018,aligned,40,10,8,0.785,True
STK195231,aligned,40,17,9,0.822,True
Z30764334,aligned,40,9,9,0.478,True
4119-0011,aligned,40,29,6,0.645,True
Z6943423772,aligned,40,32,6,0.713,True
G785-0920,aligned,36,20,5,0.632,True
Z26788076,aligned,40,8,9,0.525,True
Z26800884,aligned,40,16,10,0.965,True
Z8786580910,aligned,40,25,7,0.736,True
STK077824,aligned,40,10,8,0.785,True
C700-0425,aligned,40,14,7,0.737,True
K783-4298,aligned,40,32,10,0.819,True
Z16435552,aligned,40,6,7,1.408,True
V027-4235,aligned,40,17,7,1.114,True
Z26543951,aligned,40,21,9,0.444,True
Z26534315,aligned,40,36,9,0.543,True
STK071041,aligned,40,34,8,0.959,True
STK219929,aligned,40,12,9,0.625,True
V007-0166,aligned,40,0,8,1.234,True
K788-9145,aligned,40,35,7,1.403,True
OSSK_374044,aligned,40,10,8,0.785,True
V003-4478,aligned,40,34,7,1.271,True
Z26537555,aligned,40,9,11,0.654,True
E852-4754,aligned,37,15,8,1.177,True
OSSK_594864,aligned,40,10,10,0.696,True
STK189045,aligned,40,10,10,0.696,True
V018-4858,aligned,40,26,7,1.317,True
V028-1746,aligned,40,38,8,1.438,True
Z9466035860,aligned,40,31,9,0.763,True
OSSK_595553,aligned,40,19,8,0.660,True
V016-7668,aligned,40,16,6,0.716,True
Z26787792,aligned,40,16,9,0.483,True
OSSK_595240,aligned,40,12,9,0.625,True
V025-8049,aligned,40,8,8,1.209,True
STK219917,aligned,40,14,9,0.688,True
OSSK_595228,aligned,40,14,9,0.688,True
Z26762628,aligned,40,23,7,0.907,True
