family,ligand_id,x,y,z,cluster,kept
Donor,Z56815564,3.06,2.962,1.421,0,1
Donor,Z56815564,1.436,0.936,2.238,0,1
Donor,Z197773058,0.406,-0.187,2.161,0,1
Donor,Z197773058,-5.815,2.015,-1.252,1,0
Donor,V024-3760,0.918,0.815,1.378,0,1
Donor,V024-3760,-8.437,0.084,-3.899,1,0
Donor,V003-6048,-4.942,2.765,-2.106,1,0
Donor,V003-6048,5.938,0.139,2.521,0,1
Donor,Z30578797,1.322,1.087,0.84,0,1
Donor,OSSK_595543,1.463,0.945,2.194,0,1
Donor,OSSK_595543,4.101,5.83,1.55,0,1
Donor,STK837320,-0.053,0.193,-0.387,0,1
Donor,Z3688957256,5.534,-2.231,1.97,0,1
Donor,Z3688957256,0.098,0.859,1.646,0,1
Donor,Z3688957256,-1.696,1.948,0.786,0,1
Donor,3966-0064,0.455,1.113,1.065,0,1
Donor,Z234893357,1.322,1.13,0.879,0,1
Donor,OSSL_457771,0.455,1.113,1.065,0,1
Donor,Z30763274,1.281,1.061,1.181,0,1
Donor,V014-8990,0.538,1.493,1.802,0,1
Donor,4109-2018,-5.909,-4.073,-8.635,2,0
Donor,4109-2018,-4.665,2.234,-2.071,1,0
Donor,4109-2018,1.335,0.917,1.228,0,1
Donor,STK195231,1.463,0.945,2.194,0,1
Donor,STK195231,4.101,5.83,1.55,0,1
Donor,Z30764334,1.326,1.153,0.968,0,1
Donor,4119-0011,-0.053,0.193,-0.387,0,1
Donor,Z6943423772,1.301,0.514,1.899,0,1
Donor,G785-0920,-1.637,3.409,-4.004,1,0
Donor,G785-0920,1.26,0.936,1.327,0,1
Donor,Z26788076,1.13,0.859,0.845,0,1
Donor,Z26800884,1.258,0.861,0.36,0,1
Donor,Z8786580910,0.807,0.933,1.783,0,1
Donor,Z8786580910,7.626,-4.229,-3.5,3,0
Donor,STK077824,-5.909,-4.073,-8.635,2,0
Donor,STK077824,-4.665,2.234,-2.071,1,0
Donor,STK077824,1.335,0.917,1.228,0,1
Donor,C700-0425,6.034,-3.153,2.789,0,1
Donor,C700-0425,6.211,-5.458,4.568,3,0
Donor,K783-4298,1.506,1.068,1.142,0,1
Donor,K783-4298,3.261,2.987,1.814,0,1
Donor,Z16435552,-5.655,0.703,-1.407,1,0
Donor,Z16435552,2.425,3.585,1.837,0,1
Donor,V027-4235,1.441,1.865,1.998,0,1
Donor,V027-4235,6.046,-0.636,-1.827,3,0
Donor,Z26543951,1.233,0.951,0.993,0,1
Donor,Z26534315,1.212,1.113,0.933,0,1
Donor,STK071041,0.83,0.866,0.833,0,1
Donor,STK219929,1.396,0.986,0.741,0,1
Donor,STK219929,3.263,5.896,1.085,0,1
Donor,V007-0166,0.982,-2.47,3.544,0,1
Donor,K788-9145,0.556,2.052,1.881,0,1
Donor,OSSK_374044,-5.909,-4.073,-8.635,2,0
Donor,OSSK_374044,-4.665,2.234,-2.071,1,0
Donor,OSSK_374044,1.335,0.917,1.228,0,1
Donor,V003-4478,-7.22,0.314,-8.57,4,0
Donor,V003-4478,1.557,0.664,1.084,0,1
Donor,Z26537555,1.38,1.024,0.687,0,1
Donor,E852-4754,7.152,0.989,0.069,0,1
Donor,E852-4754,5.555,-2.154,-1.253,3,0
Donor,E852-4754,0.811,1.444,1.934,0,1
Donor,OSSK_594864,1.66,1.077,2.067,0,1
Donor,OSSK_594864,3.483,5.86,2.143,0,1
Donor,STK189045,1.66,1.077,2.067,0,1
Donor,STK189045,3.483,5.86,2.143,0,1
Donor,V018-4858,-5.951,7.421,-0.996,5,0
Donor,V018-4858,0.937,1.806,1.474,0,1
Donor,V028-1746,0.812,0.879,1.77,0,1
Donor,Z9466035860,7.071,-3.703,2.466,3,0
Donor,Z9466035860,5.231,-1.806,1.821,0,1
Donor,Z9466035860,1.167,0.986,1.227,0,1
Donor,OSSK_595553,1.271,0.862,1.072,0,1
Donor,OSSK_595553,2.251,5.745,0.188,0,1
Donor,V016-7668,2.368,2.312,2.542,0,1
Donor,Z26787792,1.279,1.087,1.053,0,1
Donor,OSSK_595240,1.396,0.986,0.741,0,1
Donor,OSSK_595240,3.263,5.896,1.085,0,1
Donor,V025-8049,-5.288,1.893,1.733,1,0
Donor,V025-8049,0.993,0.509,0.721,0,1
Donor,STK219917,1.284,0.722,1.778,0,1
Donor,STK219917,4.051,5.449,0.687,0,1
Donor,OSSK_595228,1.284,0.722,1.778,0,1
Donor,OSSK_595228,4.051,5.449,0.687,0,1
Donor,Z26762628,1.734,1.196,2.096,0,1
Acceptor,Z56815564,3.965,-3.424,1.02,1,1
Acceptor,Z56815564,5.973,-2.579,0.298,1,1
Acceptor,Z56815564,0.553,-1.077,3.015,0,1
Acceptor,Z56815564,-1.079,2.033,2.375,0,1
Acceptor,Z56815564,-5.229,1.792,-4.328,2,0
Acceptor,Z56815564,-5.182,3.05,-2.152,2,0
Acceptor,Z197773058,3.606,-2.922,1.207,1,1
Acceptor,Z197773058,-0.51,-2.073,3.075,0,1
Acceptor,Z197773058,-5.941,1.8,-3.766,2,0
Acceptor,Z197773058,-4.232,3.296,-2.691,2,0
Acceptor,V024-3760,0.918,-1.393,2.016,0,1
Acceptor,V024-3760,-4.716,2.615,-0.617,2,0
Acceptor,V024-3760,-7.327,-1.889,-4.142,4,0
Acceptor,V024-3760,-13.391,3.076,-7.021,6,0
Acceptor,V003-6048,-4.723,2.049,-4.286,2,0
Acceptor,V003-6048,-0.288,0.265,0.744,0,1
Acceptor,V003-6048,6.344,-1.253,0.766,1,1
Acceptor,V003-6048,8.76,1.143,8.191,5,0
Acceptor,Z30578797,-4.781,2.536,-0.256,2,0
Acceptor,Z30578797,0.251,-0.657,1.938,0,1
Acceptor,Z30578797,4.277,-3.349,1.026,1,1
Acceptor,Z30578797,6.538,-2.411,1.621,1,1
Acceptor,Z30578797,5.165,-3.037,6.206,1,1
Acceptor,Z30578797,3.76,5.878,-0.175,3,0
Acceptor,OSSK_595543,-1.19,1.829,1.91,0,1
Acceptor,OSSK_595543,0.526,-1.145,2.612,0,1
Acceptor,OSSK_595543,6.251,-2.375,0.394,1,1
Acceptor,OSSK_595543,4.208,-3.155,1.085,1,1
Acceptor,OSSK_595543,5.115,7.466,0.272,3,0
Acceptor,STK837320,-4.627,5.984,-5.611,2,0
Acceptor,STK837320,-4.667,1.743,-3.878,2,0
Acceptor,STK837320,0.822,-1.011,1.392,0,1
Acceptor,Z3688957256,3.523,-3.242,1.588,1,1
Acceptor,Z3688957256,1.685,-0.639,2.437,0,1
Acceptor,Z3688957256,-0.167,3.108,2.079,0,1
Acceptor,Z3688957256,-4.708,3.489,-0.711,2,0
Acceptor,Z3688957256,-3.587,1.431,-1.074,2,0
Acceptor,3966-0064,-4.724,-2.353,1.817,0,1
Acceptor,3966-0064,0.366,-1.083,1.833,0,1
Acceptor,Z234893357,-4.703,2.725,-0.42,2,0
Acceptor,Z234893357,0.202,-0.797,1.527,0,1
Acceptor,Z234893357,6.463,-2.395,1.374,1,1
Acceptor,Z234893357,4.116,-3.294,1.317,1,1
Acceptor,Z234893357,3.976,-4.834,4.811,1,1
Acceptor,OSSL_457771,-4.724,-2.353,1.817,0,1
Acceptor,OSSL_457771,0.366,-1.083,1.833,0,1
Acceptor,Z30763274,0.275,-0.892,1.921,0,1
Acceptor,Z30763274,4.203,-3.304,1.338,1,1
Acceptor,Z30763274,6.503,-2.318,1.039,1,1
Acceptor,Z30763274,5.18,-4.448,5.605,1,1
Acceptor,V014-8990,-8.101,-2.194,-3.17,4,0
Acceptor,V014-8990,-6.148,-3.102,-2.385,4,0
Acceptor,V014-8990,-5.263,-0.594,-1.664,2,0
Acceptor,V014-8990,-0.713,3.26,2.538,0,1
Acceptor,V014-8990,4.212,-3.084,-0.73,1,1
Acceptor,V014-8990,4.618,-2.829,1.841,1,1
Acceptor,4109-2018,-5.216,-4.966,-6.396,4,0
Acceptor,4109-2018,-7.243,-5.972,-7.506,4,0
Acceptor,4109-2018,-5.875,0.029,-4.656,2,0
Acceptor,4109-2018,-5.191,0.987,-3.971,2,0
Acceptor,4109-2018,-0.994,2.059,2.151,0,1
Acceptor,4109-2018,0.692,-1.108,2.107,0,1
Acceptor,STK195231,-1.19,1.829,1.91,0,1
Acceptor,STK195231,0.526,-1.145,2.612,0,1
Acceptor,STK195231,6.251,-2.375,0.394,1,1
Acceptor,STK195231,4.208,-3.155,1.085,1,1
Acceptor,STK195231,5.115,7.466,0.272,3,0
Acceptor,Z30764334,4.101,-3.292,1.298,1,1
Acceptor,Z30764334,6.45,-2.4,1.303,1,1
Acceptor,Z30764334,4.075,-4.907,4.765,1,1
Acceptor,Z30764334,0.208,-0.785,1.579,0,1
Acceptor,Z30764334,-4.687,2.672,-0.51,2,0
Acceptor,4119-0011,-4.627,5.984,-5.611,2,0
Acceptor,4119-0011,-4.667,1.743,-3.878,2,0
Acceptor,4119-0011,0.822,-1.011,1.392,0,1
Acceptor,Z6943423772,-5.513,-3.054,-3.96,4,0
Acceptor,Z6943423772,-5.55,1.938,-3.945,2,0
Acceptor,Z6943423772,-4.601,3.262,-2.351,2,0
Acceptor,Z6943423772,-5.807,6.049,-5.804,2,0
Acceptor,Z6943423772,2.944,-1.082,2.131,0,1
Acceptor,Z6943423772,3.503,1.086,1.681,0,1
Acceptor,G785-0920,-4.994,2.008,-4.149,2,0
Acceptor,G785-0920,-1.798,4.497,-6.049,2,0
Acceptor,G785-0920,0.126,-0.906,2.075,0,1
Acceptor,Z26788076,4.324,-3.308,1.342,1,1
Acceptor,Z26788076,6.596,-2.222,1.376,1,1
Acceptor,Z26788076,0.242,-0.969,1.968,0,1
Acceptor,Z26788076,-4.08,3.62,-1.607,2,0
Acceptor,Z26788076,-1.977,2.749,-2.693,2,0
Acceptor,Z26800884,4.24,-3.169,1.946,1,1
Acceptor,Z26800884,6.564,-2.215,1.745,1,1
Acceptor,Z26800884,0.212,-1.031,1.24,0,1
Acceptor,Z26800884,-4.851,1.904,-3.104,2,0
Acceptor,Z26800884,-5.335,3.315,-1.069,2,0
Acceptor,Z8786580910,-2.826,1.453,-1.7,2,0
Acceptor,Z8786580910,0.496,2.588,-2.375,2,0
Acceptor,Z8786580910,-0.272,-1.098,1.798,0,1
Acceptor,Z8786580910,7.117,-3.765,-1.368,1,1
Acceptor,STK077824,-5.216,-4.966,-6.396,4,0
Acceptor,STK077824,-7.243,-5.972,-7.506,4,0
Acceptor,STK077824,-5.875,0.029,-4.656,2,0
Acceptor,STK077824,-5.191,0.987,-3.971,2,0
Acceptor,STK077824,-0.994,2.059,2.151,0,1
Acceptor,STK077824,0.692,-1.108,2.107,0,1
Acceptor,C700-0425,0.375,-1.262,1.935,0,1
Acceptor,C700-0425,-0.731,2.156,1.588,0,1
Acceptor,C700-0425,6.891,-1.886,1.062,1,1
Acceptor,C700-0425,5.25,-7.064,5.904,1,1
Acceptor,C700-0425,7.47,-6.562,6.106,1,1
Acceptor,K783-4298,-4.448,0.037,-3.065,2,0
Acceptor,K783-4298,-4.367,2.287,-1.925,2,0
Acceptor,K783-4298,0.329,-0.931,1.102,0,1
Acceptor,K783-4298,4.251,-3.322,0.888,1,1
Acceptor,K783-4298,6.362,-2.563,1.377,1,1
Acceptor,Z16435552,-5.785,3.154,-1.842,2,0
Acceptor,Z16435552,-4.248,1.709,-3.259,2,0
Acceptor,Z16435552,-0.598,2.975,2.047,0,1
Acceptor,Z16435552,2.084,5.895,1.925,3,0
Acceptor,Z16435552,4.124,2.593,-1.167,1,1
Acceptor,V027-4235,-0.288,-0.553,2.252,0,1
Acceptor,V027-4235,-0.659,0.94,5.562,0,1
Acceptor,V027-4235,1.351,3.516,4.053,0,1
Acceptor,V027-4235,6.423,-1.739,0.151,1,1
Acceptor,V027-4235,4.96,-3.392,-6.906,8,0
Acceptor,Z26543951,4.24,-3.294,1.363,1,1
Acceptor,Z26543951,6.554,-2.315,1.204,1,1
Acceptor,Z26543951,0.312,-0.983,1.906,0,1
Acceptor,Z26543951,-4.076,3.626,-1.689,2,0
Acceptor,Z26543951,-1.599,3.513,-2.159,2,0
Acceptor,Z26534315,4.067,-3.289,1.243,1,1
Acceptor,Z26534315,6.404,-2.38,1.466,1,1
Acceptor,Z26534315,3.788,5.918,0.055,3,0
Acceptor,Z26534315,0.14,-0.886,1.37,0,1
Acceptor,Z26534315,-2.743,2.383,-0.105,2,0
Acceptor,STK071041,-5.238,4.877,0.629,2,0
Acceptor,STK071041,-4.273,3.575,-1.29,2,0
Acceptor,STK071041,0.113,-1.093,1.869,0,1
Acceptor,STK071041,6.894,-1.6,0.742,1,1
Acceptor,STK071041,8.399,0.103,-0.542,1,1
Acceptor,STK219929,-4.581,2.905,-0.239,2,0
Acceptor,STK219929,0.231,-0.939,1.317,0,1
Acceptor,STK219929,4.165,-3.359,1.381,1,1
Acceptor,STK219929,6.303,-2.531,1.339,1,1
Acceptor,STK219929,3.463,7.763,2.424,3,0
Acceptor,V007-0166,-6.957,-0.934,0.887,2,0
Acceptor,V007-0166,-5.157,1.936,-4.092,2,0
Acceptor,V007-0166,-2.675,3.21,-6.351,2,0
Acceptor,V007-0166,-4.96,3.376,-6.431,2,0
Acceptor,V007-0166,2.015,-1.081,5.043,0,1
Acceptor,V007-0166,3.878,-2.407,2.406,1,1
Acceptor,K788-9145,-7.835,-1.151,1.411,2,0
Acceptor,K788-9145,-4.826,1.458,-4.506,2,0
Acceptor,K788-9145,-1.709,2.355,2.122,0,1
Acceptor,OSSK_374044,-5.216,-4.966,-6.396,4,0
Acceptor,OSSK_374044,-7.243,-5.972,-7.506,4,0
Acceptor,OSSK_374044,-5.875,0.029,-4.656,2,0
Acceptor,OSSK_374044,-5.191,0.987,-3.971,2,0
Acceptor,OSSK_374044,-0.994,2.059,2.151,0,1
Acceptor,OSSK_374044,0.692,-1.108,2.107,0,1
Acceptor,V003-4478,-6.74,0.64,-10.795,7,0
Acceptor,V003-4478,-5.318,1.943,-4.274,2,0
Acceptor,V003-4478,-5.564,1.747,-1.925,2,0
Acceptor,V003-4478,-0.14,-0.546,2.03,0,1
Acceptor,V003-4478,3.698,2.58,0.548,0,1
Acceptor,Z26537555,-4.76,2.248,-0.698,2,0
Acceptor,Z26537555,0.329,-0.935,1.345,0,1
Acceptor,Z26537555,6.595,-2.297,1.536,1,1
Acceptor,Z26537555,4.274,-3.255,1.632,1,1
Acceptor,Z26537555,4.193,-4.402,5.269,1,1
Acceptor,E852-4754,7.114,-1.181,0.771,1,1
Acceptor,E852-4754,4.325,-3.834,-0.243,1,1
Acceptor,E852-4754,2.818,0.478,0.357,0,1
Acceptor,E852-4754,0.412,-0.66,2.771,0,1
Acceptor,E852-4754,-4.466,2.418,-1.402,2,0
Acceptor,OSSK_594864,-1.074,2.003,1.714,0,1
Acceptor,OSSK_594864,0.515,-0.903,2.511,0,1
Acceptor,OSSK_594864,4.145,-3.336,0.976,1,1
Acceptor,OSSK_594864,6.27,-2.578,0.57,1,1
Acceptor,OSSK_594864,4.532,7.501,0.9,3,0
Acceptor,STK189045,-1.074,2.003,1.714,0,1
Acceptor,STK189045,0.515,-0.903,2.511,0,1
