family,ligand_id,x,y,z,dx,dy,dz
Donor,OSSM_156250,-0.199,-1.358,-0.559,-0.512,0.363,-0.778
Donor,OSSM_156250,-0.659,-1.429,2.968,0.57,-0.257,0.781
Donor,OSSM_156250,-4.103,-1.908,1.822,-0.141,-0.368,0.919
Acceptor,OSSM_156250,5.067,-0.031,-2.183,0.069,-0.68,-0.73
Acceptor,OSSM_156250,1.943,-1.528,3.043,0.405,-0.214,0.889
Acceptor,OSSM_156250,-0.199,-1.358,-0.559,0.34,-0.474,-0.813
Acceptor,OSSM_156250,-2.513,-2.294,3.986,-0.449,-0.387,0.805
Acceptor,OSSM_156250,-4.103,-1.908,1.822,-0.97,-0.239,0.039
Aromatic,OSSM_156250,3.294,-0.584,-0.134,0.732,-0.429,0.529
Aromatic,OSSM_156250,-0.236,2.243,0.458,0.903,-0.116,0.414
Aromatic,OSSM_156250,-3.794,-0.564,-1.662,-0.831,-0.202,0.519
LumpedHydrophobe,OSSM_156250,3.294,-0.584,-0.134,,,
LumpedHydrophobe,OSSM_156250,-0.236,2.243,0.458,,,
LumpedHydrophobe,OSSM_156250,-3.794,-0.564,-1.662,,,
Donor,OSSM_156250,-0.435,-1.522,-0.453,-0.545,0.343,-0.765
Donor,OSSM_156250,-0.764,-1.539,3.089,0.602,-0.236,0.763
Donor,OSSM_156250,-4.241,-2.085,2.08,-0.102,-0.354,0.93
Acceptor,OSSM_156250,4.748,-0.15,-2.293,0.052,-0.691,-0.721
Acceptor,OSSM_156250,1.84,-1.602,3.069,0.441,-0.193,0.877
Acceptor,OSSM_156250,-0.435,-1.522,-0.453,0.316,-0.483,-0.817
Acceptor,OSSM_156250,-2.566,-2.412,4.19,-0.413,-0.379,0.828
Acceptor,OSSM_156250,-4.241,-2.085,2.08,-0.965,-0.252,0.079
Aromatic,OSSM_156250,3.06,-0.692,-0.171,0.757,-0.41,0.508
Aromatic,OSSM_156250,-0.486,2.095,0.506,0.919,-0.096,0.382
Aromatic,OSSM_156250,-4.079,-0.796,-1.435,-0.808,-0.205,0.552
LumpedHydrophobe,OSSM_156250,3.06,-0.692,-0.171,,,
LumpedHydrophobe,OSSM_156250,-0.486,2.095,0.506,,,
LumpedHydrophobe,OSSM_156250,-4.079,-0.796,-1.435,,,
Donor,STK683429,-0.319,-1.005,2.779,0.171,-0.062,0.983
Acceptor,STK683429,-1.8,-1.122,-1.039,0.941,0.336,0.05
Acceptor,STK683429,-2.778,-1.099,3.719,0.21,0.637,0.742
Acceptor,STK683429,-4.241,-2.48,2.641,-0.139,-0.662,-0.736
Acceptor,STK683429,2.348,-2.815,2.717,-0.119,-0.589,0.799
Acceptor,STK683429,-2.925,-5.662,-0.768,-0.936,-0.352,0.027
Acceptor,STK683429,-1.266,-7.609,-3.234,-0.16,-0.285,-0.945
Acceptor,STK683429,-1.133,-8.075,-0.985,0.212,0.347,0.913
Aromatic,STK683429,-4.363,-2.025,-1.224,0.292,-0.653,-0.698
Aromatic,STK683429,2.693,-1.204,0.541,0.31,-0.785,-0.536
Aromatic,STK683429,2.88,-6.957,-2.484,0.591,0.747,0.303
LumpedHydrophobe,STK683429,-4.363,-2.025,-1.224,,,
LumpedHydrophobe,STK683429,2.693,-1.204,0.541,,,
LumpedHydrophobe,STK683429,2.88,-6.957,-2.484,,,
Donor,G747-0390,-0.414,-2.827,2.793,,,
Donor,G747-0390,-0.199,-1.742,-1.192,0.424,0.897,-0.129
Acceptor,G747-0390,4.563,-0.637,-3.386,-0.724,-0.46,0.514
Acceptor,G747-0390,5.985,1.162,-3.449,0.724,0.528,-0.445
Acceptor,G747-0390,0.899,-1.012,3.382,0.496,0.515,0.7
Acceptor,G747-0390,-0.199,-1.742,-1.192,0.013,0.177,-0.984
Acceptor,G747-0390,-2.594,-1.805,4.296,0.334,0.508,-0.794
PosIonizable,G747-0390,1.669,0.278,-0.527,,,
Aromatic,G747-0390,-0.588,2.413,1.788,0.55,0.639,-0.538
Aromatic,G747-0390,-3.067,-2.494,5.412,-0.462,-0.657,-0.596
LumpedHydrophobe,G747-0390,-0.588,2.413,1.788,,,
Donor,8015-7084,0.613,-4.103,-2.521,0.179,0.432,-0.884
Acceptor,8015-7084,-1.542,-0.814,-1.459,0.966,0.173,-0.194
Acceptor,8015-7084,-3.155,-5.311,-1.936,-0.751,-0.603,0.269
Acceptor,8015-7084,-1.881,-4.284,-3.545,0.763,0.616,-0.196
Acceptor,8015-7084,-3.125,-3.05,2.531,-0.916,-0.372,0.151
Acceptor,8015-7084,-3.106,-0.603,4.178,-0.876,0.438,-0.203
Acceptor,8015-7084,-1.387,-1.045,5.627,0.876,-0.458,0.152
Aromatic,8015-7084,-4.18,-1.249,-0.941,0.102,0.453,0.886
Aromatic,8015-7084,3.306,-2.151,-0.818,0.094,0.235,0.968
Aromatic,8015-7084,-0.26,1.518,1.853,0.314,-0.347,-0.884
LumpedHydrophobe,8015-7084,-4.18,-1.249,-0.941,,,
LumpedHydrophobe,8015-7084,3.306,-2.151,-0.818,,,
LumpedHydrophobe,8015-7084,-0.26,1.518,1.853,,,
Donor,STK634764,-1.161,-2.112,-1.608,-0.716,0.373,-0.59
Acceptor,STK634764,-2.666,-8.07,2.056,-0.088,-0.911,0.402
Acceptor,STK634764,-4.221,-3.026,2.144,-0.821,-0.562,0.102
Acceptor,STK634764,-2.446,-1.503,3.11,0.407,0.491,0.771
Acceptor,STK634764,-1.161,-2.112,-1.608,-0.034,-0.536,-0.844
Acceptor,STK634764,5.907,0.738,0.901,0.462,0.405,0.789
Acceptor,STK634764,5.71,0.383,-1.36,-0.542,-0.447,-0.712
Aromatic,STK634764,-2.543,-6.795,1.481,0.096,0.406,0.909
Aromatic,STK634764,-3.697,0.033,-0.137,-0.395,-0.675,-0.623
Aromatic,STK634764,2.985,-1.415,0.205,-0.58,0.812,-0.07
LumpedHydrophobe,STK634764,-3.697,0.033,-0.137,,,
LumpedHydrophobe,STK634764,2.985,-1.415,0.205,,,
LumpedHydrophobe,STK634764,7.26,1.077,-2.025,,,
Donor,Z8979036846,-3.173,-1.017,3.8,-0.883,-0.312,0.35
Donor,Z8979036846,-4.848,-2.367,2.407,0.897,-0.442,-0.009
Acceptor,Z8979036846,-3.173,-1.017,3.8,0.172,-0.432,0.885
Acceptor,Z8979036846,-4.848,-2.367,2.407,-0.121,-0.926,0.358
Acceptor,Z8979036846,0.163,1.888,1.683,0.068,-0.739,0.67
Acceptor,Z8979036846,0.501,3.2,1.849,0.383,0.407,0.829
