ligand_id,source,n_conformers,conformer,n_matched,rmsd,aligned
OSSM_156250,seed,0,-1,0,,True
OSSM_156250,aligned,22,0,14,0.908,True
STK683429,aligned,40,20,9,1.419,True
G747-0390,aligned,21,11,8,1.388,True
8015-7084,aligned,40,28,9,1.205,True
STK634764,aligned,40,13,9,0.880,True
Z8979036846,aligned,40,29,6,0.815,True
Z358287958,aligned,40,14,7,0.824,True
OSSM_078487,aligned,40,29,9,1.033,True
G642-1519,aligned,28,19,7,1.122,True
C151-0041,aligned,40,3,8,0.973,True
8018-7726,aligned,29,25,7,0.842,True
OSSM_193618,aligned,40,2,9,1.232,True
STK759784,aligned,40,5,7,0.799,True
8015-7085,aligned,40,20,9,1.419,True
OSSM_274094,aligned,40,12,9,1.055,True
STK626581,aligned,40,20,9,0.861,True
G747-0001,aligned,17,10,8,1.175,True
STL001747,aligned,40,3,10,1.332,True
STK535467,aligned,22,0,14,0.908,True
STL599938,aligned,19,5,13,0.896,True
G747-0544,aligned,27,4,7,0.753,True
G747-0043,aligned,13,7,7,0.744,True
STK618230,aligned,40,1,8,1.020,True
G747-0004,aligned,14,9,8,1.186,True
G747-0011,aligned,40,20,8,0.922,True
Z4984251678,aligned,40,32,7,0.776,True
OSSM_141283,aligned,40,3,10,1.332,True
OSSM_038313,aligned,40,20,8,1.030,True
STK775802,aligned,40,28,9,1.205,True
STK537793,aligned,35,7,10,1.397,True
OSSL_614035,aligned,24,21,7,0.722,True
STL007042,aligned,40,29,9,1.033,True
OSSM_147405,aligned,13,12,7,0.701,True
STL001057,aligned,40,2,9,1.232,True
OSSM_170358,aligned,40,1,8,1.020,True
STK618463,aligned,40,18,9,0.874,True
G747-0519,aligned,22,18,7,0.636,True
OSSM_122961,aligned,40,18,9,1.034,True
STL603381,aligned,34,26,9,0.861,True
G747-0063,aligned,23,0,6,0.764,True
OSSL_649322,aligned,40,28,9,1.205,True
OSSM_036080,aligned,40,13,9,0.880,True
G747-0365,aligned,17,16,7,0.723,True
G747-0051,aligned,26,14,8,0.943,True
Z56754860,aligned,30,16,9,1.020,True
STK683430,aligned,40,2,8,0.761,True
OSSL_628246,aligned,40,5,7,0.799,True
G747-0035,aligned,25,16,8,1.138,True
6405-0096,aligned,22,9,8,1.240,True
STL239229,aligned,40,16,8,0.876,True
