family,ligand_id,x,y,z,dx,dy,dz
Donor,STL545808,1.283,-0.949,-2.626,-0.909,0.385,0.162
Donor,STL545808,3.293,-1.669,0.91,,,
Donor,STL545808,5.777,-0.599,1.141,0.9,0.365,0.239
Acceptor,STL545808,1.283,-0.949,-2.626,-0.469,0.07,-0.881
Acceptor,STL545808,2.517,0.307,1.811,-0.044,0.633,0.773
Acceptor,STL545808,-0.209,3.902,-1.721,-0.912,0.388,-0.134
Acceptor,STL545808,2.002,4.122,-1.141,0.882,-0.456,0.118
Acceptor,STL545808,-1.014,-0.031,-1.836,0.269,-0.375,-0.887
NegIonizable,STL545808,5.778,-1.091,2.187,,,
Aromatic,STL545808,-3.293,1.392,2.323,0.217,-0.885,0.412
LumpedHydrophobe,STL545808,-3.293,1.392,2.323,,,
LumpedHydrophobe,STL545808,-3.903,-2.263,-1.019,,,
Donor,STL545808,1.566,-1.01,-3.056,-0.873,0.45,0.189
Donor,STL545808,3.543,-2.037,0.422,,,
Donor,STL545808,6.107,-1.181,0.666,0.929,0.281,0.243
Acceptor,STL545808,1.566,-1.01,-3.056,-0.469,0.144,-0.871
Acceptor,STL545808,2.937,-0.043,1.413,0.015,0.602,0.798
Acceptor,STL545808,0.481,3.904,-1.936,-0.879,0.465,-0.106
Acceptor,STL545808,2.707,3.92,-1.376,0.843,-0.53,0.089
Acceptor,STL545808,-0.642,0.056,-2.201,0.23,-0.359,-0.905
NegIonizable,STL545808,6.077,-1.714,1.691,,,
Aromatic,STL545808,-2.761,1.484,2.04,0.149,-0.916,0.373
LumpedHydrophobe,STL545808,-2.761,1.484,2.04,,,
LumpedHydrophobe,STL545808,-3.695,-1.967,-1.441,,,
Donor,STL541517,1.557,-1.637,-2.95,-0.855,0.498,0.145
Donor,STL541517,3.751,-2.098,0.521,,,
Donor,STL541517,6.23,-0.999,0.566,0.913,0.372,0.167
Acceptor,STL541517,1.557,-1.637,-2.95,-0.52,0.008,-0.854
Acceptor,STL541517,3.008,-0.063,1.312,-0.017,0.683,0.73
Acceptor,STL541517,0.777,3.257,-1.909,-0.885,0.086,-0.457
