ligand_id,source,n_conformers,conformer,n_matched,rmsd,aligned
STL545808,seed,0,-1,0,,True
STL545808,aligned,40,0,10,0.900,True
STL541517,aligned,40,0,10,0.978,True
V007-7712,aligned,40,39,7,1.155,True
V025-9447,aligned,40,20,7,0.314,True
V030-1729,aligned,40,30,6,0.590,True
V007-7694,aligned,40,24,6,0.256,True
V007-7762,aligned,40,19,6,0.198,True
V028-1587,aligned,40,15,6,0.223,True
V029-4999,aligned,40,15,7,0.351,True
V005-5095,aligned,40,15,7,0.335,True
V005-3154,aligned,40,14,7,0.739,True
V027-3902,aligned,40,39,6,0.878,True
V005-3144,aligned,40,18,6,0.330,True
V027-7761,aligned,40,14,6,0.443,True
Z2295663126,aligned,40,38,6,0.796,True
V027-3760,aligned,40,1,7,0.370,True
V007-7771,aligned,40,6,7,0.401,True
FCG2296016965,aligned,16,2,6,1.005,True
V027-3820,aligned,40,18,7,0.385,True
V027-3772,aligned,40,19,7,0.657,True
FCG2296052867,aligned,40,7,7,1.239,True
V007-7764,aligned,40,30,7,0.545,True
V028-1648,aligned,40,4,7,0.311,True
V027-3952,aligned,40,33,6,0.256,True
V005-3202,aligned,40,37,6,0.357,True
STL534049,aligned,40,17,7,1.262,True
Y042-8054,aligned,26,5,7,1.285,True
V027-6137,aligned,40,16,7,0.344,True
V008-1848,aligned,40,19,6,0.318,True
V027-3914,aligned,40,24,6,0.283,True
V027-7724,aligned,40,31,6,0.587,True
V030-1799,aligned,40,25,6,0.211,True
V007-7784,aligned,40,38,6,0.623,True
V007-7738,aligned,40,2,6,0.303,True
V027-7822,aligned,40,26,7,0.548,True
V027-2568,aligned,40,27,7,0.345,True
V029-9694,aligned,40,14,7,0.333,True
Z223223430,aligned,40,20,6,1.034,True
V004-9878,aligned,40,27,7,0.845,True
FCG223613171,aligned,40,20,6,1.034,True
V027-3903,aligned,40,11,6,0.215,True
STL458084,aligned,40,12,7,1.300,True
V030-1765,aligned,40,37,6,0.220,True
V005-3120,aligned,40,3,7,0.302,True
Y042-8055,aligned,40,23,7,1.273,True
V027-3799,aligned,40,10,7,0.796,True
V005-3132,aligned,40,3,7,0.361,True
V030-1754,aligned,40,39,6,0.881,True
V030-1764,aligned,40,7,6,0.406,True
V007-7729,aligned,40,29,7,0.639,True
