family,ligand_id,x,y,z,cluster,kept
Donor,STL545808,1.565,-1.01,-3.056,0,1
Donor,STL545808,6.107,-1.181,0.666,0,1
Donor,STL541517,1.557,-1.637,-2.95,0,1
Donor,STL541517,6.23,-0.999,0.566,0,1
Donor,V007-7712,3.498,-2.075,1.916,0,1
Donor,V007-7712,-3.895,1.45,-1.711,1,1
Donor,V007-7712,-4.977,-1.158,2.487,2,1
Donor,V025-9447,4.375,-1.805,2.168,0,1
Donor,V025-9447,-3.919,0.952,-2.163,1,1
Donor,V025-9447,-5.439,0.416,2.776,2,1
Donor,V030-1729,3.159,-2.297,1.738,0,1
Donor,V030-1729,-3.817,1.353,-2.116,1,1
Donor,V030-1729,-5.151,-0.425,2.607,2,1
Donor,V007-7694,4.224,-1.754,1.882,0,1
Donor,V007-7694,-3.74,1.162,-2.302,1,1
Donor,V007-7694,-5.698,0.206,2.403,2,1
Donor,V007-7762,4.276,-1.768,2.068,0,1
Donor,V007-7762,-3.869,1.291,-2.264,1,1
Donor,V007-7762,-5.59,0.229,2.507,2,1
Donor,V028-1587,-5.579,-0.022,2.424,2,1
Donor,V028-1587,-3.889,1.364,-2.253,1,1
Donor,V028-1587,4.23,-1.716,1.967,0,1
Donor,V029-4999,4.418,-1.77,2.203,0,1
Donor,V029-4999,-3.932,1.031,-2.099,1,1
Donor,V029-4999,-5.471,0.456,2.67,2,1
Donor,V005-5095,4.375,-1.903,2.157,0,1
Donor,V005-5095,-3.833,0.855,-2.099,1,1
Donor,V005-5095,-5.358,0.682,2.846,2,1
Donor,V005-3154,4.266,-2.097,2.198,0,1
Donor,V005-3154,-3.596,0.694,-1.908,1,1
Donor,V005-3154,-5.211,1.155,3.041,2,1
Donor,V027-3902,-4.845,0.467,2.952,2,1
Donor,V027-3902,-3.316,0.193,-1.894,1,1
Donor,V027-3902,3.064,-2.666,2.099,0,1
Donor,V005-3144,-5.475,0.435,2.559,2,1
Donor,V005-3144,-3.78,0.827,-2.156,1,1
Donor,V005-3144,4.225,-1.89,2.077,0,1
Donor,V027-7761,4.235,-1.587,1.902,0,1
Donor,V027-7761,-3.801,1.601,-2.324,1,1
Donor,V027-7761,-5.749,-0.014,2.256,2,1
Donor,Z2295663126,-1.64,0.258,-1.576,1,1
Donor,Z2295663126,1.016,0.573,1.493,0,1
Donor,Z2295663126,7.186,-0.869,0.962,0,1
Donor,V027-3760,4.377,-1.906,2.229,0,1
Donor,V027-3760,-3.924,0.825,-2.106,1,1
Donor,V027-3760,-5.265,0.605,2.889,2,1
Donor,V007-7771,4.196,-1.75,1.913,0,1
Donor,V007-7771,-3.675,0.869,-2.208,1,1
Donor,V007-7771,-5.75,0.243,2.504,2,1
Donor,FCG2296016965,-4.426,-0.613,0.162,1,1
Donor,FCG2296016965,1.899,0.15,0.065,0,1
Donor,FCG2296016965,3.517,-1.517,1.696,0,1
Donor,FCG2296016965,6.077,-1.865,1.276,0,1
Donor,V027-3820,-5.349,0.682,2.883,2,1
Donor,V027-3820,-3.907,0.826,-2.122,1,1
Donor,V027-3820,4.371,-1.896,2.266,0,1
Donor,V027-3772,-4.651,1.689,3.199,2,1
Donor,V027-3772,-4.156,1.137,-1.977,1,1
Donor,V027-3772,4.702,-1.768,2.34,0,1
Donor,FCG2296052867,-2.173,0.949,-1.881,1,1
Donor,FCG2296052867,0.525,2.782,0.561,1,1
Donor,FCG2296052867,7.078,-0.568,1.213,0,1
Donor,V007-7764,3.119,-2.381,2.127,0,1
Donor,V007-7764,-3.706,0.83,-2.029,1,1
Donor,V007-7764,-5.097,-0.213,2.888,2,1
Donor,V028-1648,-5.347,0.445,2.842,2,1
Donor,V028-1648,-3.851,0.901,-2.109,1,1
Donor,V028-1648,4.344,-1.841,2.137,0,1
Donor,V027-3952,4.305,-1.856,2.12,0,1
Donor,V027-3952,-3.832,1.084,-2.235,1,1
Donor,V027-3952,-5.655,0.484,2.417,2,1
Donor,V005-3202,4.352,-1.921,2.211,0,1
Donor,V005-3202,-3.82,0.952,-2.224,1,1
Donor,V005-3202,-5.506,0.726,2.698,2,1
Donor,STL534049,1.862,-0.573,1.263,0,1
Donor,STL534049,3.545,-1.489,2.574,0,1
Donor,STL534049,6.97,-1.098,2.054,0,1
Donor,Y042-8054,1.831,-0.561,1.183,0,1
Donor,Y042-8054,3.531,-1.427,2.504,0,1
Donor,Y042-8054,7.095,-1.227,2.207,0,1
Donor,V027-6137,4.357,-1.874,2.206,0,1
