family,ligand_id,x,y,z,dx,dy,dz
Acceptor,OSSM_091763,2.605,-1.851,-1.547,0.267,-0.759,-0.594
PosIonizable,OSSM_091763,-0.971,0.177,1.046,,,
Aromatic,OSSM_091763,2.23,-0.786,-0.716,-0.001,0.614,-0.789
Acceptor,OSSM_091763,2.61,-1.871,-1.562,0.239,-0.771,-0.59
PosIonizable,OSSM_091763,-0.974,0.158,1.035,,,
Aromatic,OSSM_091763,2.274,-0.793,-0.736,0.586,-0.371,0.721
Acceptor,STL146319,2.61,-1.871,-1.562,0.239,-0.771,-0.59
PosIonizable,STL146319,-0.974,0.158,1.035,,,
Aromatic,STL146319,2.274,-0.793,-0.736,0.586,-0.371,0.721
Acceptor,Z3379559298,2.6,-1.831,-1.536,0.197,-0.788,-0.583
PosIonizable,Z3379559298,-0.933,0.103,0.984,,,
Aromatic,Z3379559298,2.317,-0.791,-0.748,0.558,-0.399,0.727
Acceptor,Z1198150037,2.61,-1.871,-1.562,0.239,-0.771,-0.59
PosIonizable,Z1198150037,-0.974,0.158,1.035,,,
Aromatic,Z1198150037,2.274,-0.793,-0.736,0.585,-0.371,0.721
Acceptor,3690-1011,2.62,-1.846,-1.551,0.146,-0.803,-0.578
PosIonizable,3690-1011,0.415,-0.822,2.615,,,
PosIonizable,3690-1011,-0.992,0.088,0.995,,,
Aromatic,3690-1011,2.41,-0.724,-0.738,-0.604,0.39,-0.695
Acceptor,OSSK_435001,2.62,-1.846,-1.551,0.146,-0.803,-0.578
PosIonizable,OSSK_435001,0.415,-0.822,2.615,,,
PosIonizable,OSSK_435001,-0.992,0.088,0.995,,,
Aromatic,OSSK_435001,2.41,-0.724,-0.738,-0.604,0.39,-0.695
Acceptor,STK051267,2.62,-1.846,-1.551,0.146,-0.803,-0.578
PosIonizable,STK051267,0.415,-0.822,2.615,,,
PosIonizable,STK051267,-0.992,0.088,0.995,,,
Aromatic,STK051267,2.41,-0.724,-0.738,-0.604,0.39,-0.695
Acceptor,STL553215,2.609,-1.836,-1.535,0.136,-0.804,-0.579
PosIonizable,STL553215,-0.949,0.059,0.961,,,
Aromatic,STL553215,2.406,-0.714,-0.733,0.658,-0.353,0.666
Acceptor,OSSL_789714,2.71,-1.887,-1.601,0.121,-0.806,-0.579
Acceptor,OSSL_789714,2.293,0.401,-0.001,-0.17,0.818,0.549
PosIonizable,OSSL_789714,-1.236,0.198,1.154,,,
Aromatic,OSSL_789714,2.514,-0.746,-0.794,-0.855,0.184,-0.485
Acceptor,Z2517097759,2.775,-1.83,-1.598,-0.107,-0.85,-0.516
PosIonizable,Z2517097759,-1.401,0.09,1.141,,,
Aromatic,Z2517097759,2.89,-0.687,-0.882,-0.524,0.489,-0.697
Acceptor,Z5872843793,2.802,-1.861,-1.624,-0.104,-0.848,-0.52
PosIonizable,Z5872843793,-1.506,0.139,1.21,,,
Aromatic,Z5872843793,2.937,-0.677,-0.894,0.45,-0.505,0.737
Acceptor,STL562305,2.602,-1.865,-1.556,0.232,-0.773,-0.59
PosIonizable,STL562305,-0.951,0.14,1.015,,,
Aromatic,STL562305,2.276,-0.782,-0.729,0.592,-0.369,0.716
Acceptor,Z1558572494,2.944,-1.952,-1.732,0.017,-0.832,-0.554
PosIonizable,Z1558572494,-1.923,0.465,1.571,,,
Aromatic,Z1558572494,2.889,-0.844,-0.988,0.148,-0.546,0.824
Acceptor,Z2240803613,1.066,-2.189,2.195,0.867,-0.224,0.445
Acceptor,Z2240803613,2.723,-1.886,-1.617,0.158,-0.801,-0.577
PosIonizable,Z2240803613,-1.303,0.258,1.217,,,
Aromatic,Z2240803613,2.499,-0.816,-0.828,-0.79,0.248,-0.561
Acceptor,Z9308261204,2.685,-1.871,-1.586,0.139,-0.803,-0.579
PosIonizable,Z9308261204,-1.185,0.182,1.125,,,
Aromatic,Z9308261204,2.485,-0.768,-0.796,0.414,0.579,-0.703
Acceptor,Z5331825334,2.88,-1.891,-1.671,-0.101,-0.848,-0.52
PosIonizable,Z5331825334,-1.784,0.273,1.396,,,
Aromatic,Z5331825334,3.055,-0.752,-0.984,-0.256,0.528,-0.81
Acceptor,OSSL_789650,2.565,0.466,-0.013,-0.042,0.829,0.558
Acceptor,OSSL_789650,2.718,-1.873,-1.602,0.055,-0.826,-0.562
PosIonizable,OSSL_789650,-1.279,0.155,1.141,,,
Aromatic,OSSL_789650,2.639,-0.703,-0.806,0.789,-0.308,0.532
Acceptor,Z1198172584,2.843,-1.909,-1.67,-0.024,-0.84,-0.543
PosIonizable,Z1198172584,-1.646,0.277,1.35,,,
PosIonizable,Z1198172584,0.455,1.902,0.402,,,
Aromatic,Z1198172584,2.874,-0.732,-0.908,0.042,0.543,-0.839
Acceptor,MCULE-9278696945,2.934,-1.88,-1.683,-0.273,-0.845,-0.459
PosIonizable,MCULE-9278696945,-1.888,0.191,1.379,,,
Aromatic,MCULE-9278696945,3.308,-0.695,-1.037,0.293,-0.527,0.798
Acceptor,MCULE-2640903763,2.742,-1.879,-1.611,0.046,-0.826,-0.562
Acceptor,MCULE-2640903763,1.534,-1.763,2.463,0.953,-0.166,0.256
