ligand_id,source,n_conformers,conformer,n_matched,rmsd,aligned
OSSM_091763,seed,0,-1,0,,True
OSSM_091763,aligned,17,11,3,0.286,True
STL146319,aligned,17,11,3,0.286,True
Z3379559298,aligned,15,8,3,0.291,True
Z1198150037,aligned,9,6,3,0.286,True
3690-1011,aligned,8,6,3,0.237,True
OSSK_435001,aligned,8,6,3,0.237,True
STK051267,aligned,8,6,3,0.237,True
STL553215,aligned,18,13,3,0.266,True
OSSL_789714,aligned,9,8,3,0.089,True
Z2517097759,aligned,5,4,3,0.182,True
OSSL_944431,aligned,4,-1,0,,False
STL059235,aligned,4,-1,0,,False
Z5872843793,aligned,9,1,3,0.208,True
STL553451,aligned,4,-1,0,,False
Z8854579334,aligned,8,-1,0,,False
STL562305,aligned,19,0,3,0.294,True
Z2856127505,aligned,4,-1,0,,False
Z90662704,aligned,4,-1,0,,False
Z1558572494,aligned,4,1,3,0.455,True
Z94602023,aligned,4,-1,0,,False
Z2240803613,aligned,17,10,3,0.121,True
Z9308261204,aligned,26,10,3,0.118,True
Z5331825334,aligned,5,2,3,0.359,True
OSSL_789650,aligned,17,16,3,0.037,True
Z1198172584,aligned,14,9,3,0.244,True
MCULE-9278696945,aligned,8,0,3,0.501,True
STK996060,aligned,5,-1,0,,False
MCULE-2640903763,aligned,12,2,3,0.028,True
Z2373839498,aligned,5,3,3,0.703,True
MCULE-1931732981,aligned,37,36,3,0.285,True
FCG1837466864,aligned,5,0,3,0.246,True
Z3770428479,aligned,4,1,3,0.408,True
Z3235143301,aligned,18,0,3,0.180,True
Z2380440630,aligned,9,6,3,0.176,True
MCULE-4609409020,aligned,13,2,3,0.315,True
MCULE-3270971174,aligned,20,0,3,0.145,True
Z1731151910,aligned,2,-1,0,,False
MCULE-8195682194,aligned,12,8,3,0.266,True
Z1209979984,aligned,12,2,3,0.446,True
MCULE-1517104178,aligned,27,5,3,0.027,True
Z9478993253,aligned,5,0,3,0.248,True
Z3243815051,aligned,6,3,3,0.317,True
Z2298167235,aligned,21,20,3,0.181,True
MCULE-2253838370,aligned,16,12,3,0.242,True
Z1993626917,aligned,6,3,3,0.612,True
MCULE-9140680577,aligned,17,11,3,0.094,True
MCULE-8695927329,aligned,40,5,3,0.210,True
STL146574,aligned,2,-1,0,,False
OSSM_343438,aligned,2,-1,0,,False
H050-0001,aligned,1,0,3,0.637,True
