family,ligand_id,x,y,z,cluster,kept
Acceptor,OSSM_091763,2.61,-1.871,-1.562,0,1
Acceptor,STL146319,2.61,-1.871,-1.562,0,1
Acceptor,Z3379559298,2.6,-1.831,-1.536,0,1
Acceptor,Z1198150037,2.61,-1.871,-1.562,0,1
Acceptor,3690-1011,2.62,-1.846,-1.551,0,1
Acceptor,OSSK_435001,2.62,-1.846,-1.551,0,1
Acceptor,STK051267,2.62,-1.846,-1.551,0,1
Acceptor,STL553215,2.609,-1.836,-1.535,0,1
Acceptor,OSSL_789714,2.71,-1.887,-1.601,0,1
Acceptor,OSSL_789714,2.293,0.401,-0.001,0,1
Acceptor,Z2517097759,2.775,-1.83,-1.598,0,1
Acceptor,Z5872843793,2.802,-1.861,-1.624,0,1
Acceptor,STL562305,2.602,-1.865,-1.556,0,1
Acceptor,Z1558572494,2.944,-1.952,-1.732,0,1
Acceptor,Z2240803613,1.066,-2.189,2.195,0,1
Acceptor,Z2240803613,2.723,-1.886,-1.617,0,1
Acceptor,Z9308261204,2.685,-1.871,-1.586,0,1
Acceptor,Z5331825334,2.88,-1.891,-1.671,0,1
Acceptor,OSSL_789650,2.565,0.466,-0.013,0,1
Acceptor,OSSL_789650,2.718,-1.873,-1.602,0,1
Acceptor,Z1198172584,2.844,-1.909,-1.67,0,1
Acceptor,MCULE-9278696945,2.934,-1.88,-1.683,0,1
Acceptor,MCULE-2640903763,2.741,-1.879,-1.611,0,1
Acceptor,MCULE-2640903763,1.534,-1.763,2.463,0,1
Acceptor,Z2373839498,2.745,-1.706,-1.502,0,1
Acceptor,MCULE-1931732981,2.611,-1.867,-1.562,0,1
Acceptor,FCG1837466864,2.829,-1.874,-1.642,0,1
Acceptor,Z3770428479,2.909,-1.959,-1.725,0,1
Acceptor,Z3770428479,2.735,0.271,-0.201,0,1
Acceptor,Z3235143301,2.809,-1.877,-1.637,0,1
Acceptor,Z3235143301,-0.404,0.482,-1.265,0,1
Acceptor,Z2380440630,2.802,-1.885,-1.643,0,1
Acceptor,MCULE-4609409020,2.602,-1.877,-1.563,0,1
Acceptor,MCULE-3270971174,2.796,-1.894,-1.643,0,1
Acceptor,MCULE-8195682194,2.61,-1.857,-1.556,0,1
Acceptor,MCULE-8195682194,4.395,-0.645,-2.518,0,1
Acceptor,Z1209979984,2.919,-1.893,-1.687,0,1
Acceptor,MCULE-1517104178,-0.088,1.254,-2.132,0,1
Acceptor,MCULE-1517104178,2.74,-1.876,-1.615,0,1
Acceptor,Z9478993253,4.81,-1.309,-2.699,0,1
Acceptor,Z9478993253,2.844,-1.906,-1.668,0,1
Acceptor,Z3243815051,2.88,-1.923,-1.692,0,1
Acceptor,Z2298167235,2.67,-1.891,-1.598,0,1
Acceptor,MCULE-2253838370,2.835,-1.889,-1.654,0,1
Acceptor,Z1993626917,2.84,-1.704,-1.541,0,1
Acceptor,MCULE-9140680577,2.702,-1.82,-1.564,0,1
Acceptor,MCULE-8695927329,2.793,-1.803,-1.581,0,1
Acceptor,H050-0001,3.304,-2.021,-2.31,0,1
Acceptor,H050-0001,4.102,0.668,-1.957,0,1
PosIonizable,OSSM_091763,-0.974,0.158,1.035,0,1
PosIonizable,STL146319,-0.974,0.158,1.035,0,1
PosIonizable,Z3379559298,-0.933,0.103,0.984,0,1
PosIonizable,Z1198150037,-0.974,0.158,1.035,0,1
PosIonizable,3690-1011,0.415,-0.822,2.615,0,1
PosIonizable,3690-1011,-0.992,0.088,0.995,0,1
PosIonizable,OSSK_435001,0.415,-0.822,2.615,0,1
PosIonizable,OSSK_435001,-0.992,0.088,0.995,0,1
PosIonizable,STK051267,0.415,-0.822,2.615,0,1
PosIonizable,STK051267,-0.992,0.088,0.995,0,1
PosIonizable,STL553215,-0.95,0.059,0.961,0,1
PosIonizable,OSSL_789714,-1.236,0.198,1.154,0,1
PosIonizable,Z2517097759,-1.401,0.09,1.141,0,1
