pdb_id,het_code,chain,seqid,status,representative,centroid_distance,pocket_rmsd,n_pocket,aligned_mol2,message
5EK0,5P2,C,1805,kept,True,1.78,1.48,30,5EK0_5P2_C1805.mol2,
8I5G,T70,A,2005,kept,True,0.0,0.01,46,8I5G_T70_A2005.mol2,
8F0P,X7L,A,1610,kept,True,3.69,1.19,45,8F0P_X7L_A1610.mol2,
8F0R,X7W,A,1606,kept,True,1.99,0.55,45,8F0R_X7W_A1606.mol2,
8F0S,X80,A,1605,kept,True,3.36,1.03,45,8F0S_X80_A1605.mol2,
7W9K,1PW,A,2013,off_site,False,49.47,0.71,46,,
7W9P,1PW,A,2011,off_site,False,48.62,0.85,45,,
7XVE,1PW,A,2007,off_site,False,50.34,0.56,34,,
7XVF,1PW,A,2007,off_site,False,50.63,0.63,46,,
8I5Y,1PW,A,2012,off_site,False,50.08,0.55,46,,
8XMM,1PW,A,2005,off_site,False,51.14,0.62,46,,
9ITI,1PW,A,2007,off_site,False,50.25,0.66,45,,
8THG,657,A,2003,off_site,False,43.46,0.75,46,,
7XM9,6OU,A,2303,off_site,False,27.31,1.19,45,,
6NT3,76F,A,1618,off_site,False,30.2,0.96,43,,
6NT3,76F,A,1617,off_site,False,60.72,0.96,43,,
6NT3,76F,A,1616,off_site,False,53.93,0.96,43,,
6NT3,76F,A,1615,off_site,False,21.04,0.96,43,,
6NT4,76F,A,1606,off_site,False,21.07,1.3,39,,
6NT4,76F,A,1607,off_site,False,75.69,1.3,39,,
6NT4,76F,A,1608,off_site,False,54.41,1.3,39,,
6NT4,76F,A,1610,off_site,False,30.67,1.3,39,,
6NT4,76F,A,1609,off_site,False,61.71,1.3,39,,
6J8G,9SL,A,2007,off_site,False,42.69,0.83,45,,
6J8H,9SL,A,2007,off_site,False,42.69,0.83,45,,
7W9P,9SL,A,2001,off_site,False,42.63,0.85,45,,
7W9T,9SL,A,2001,off_site,False,42.86,0.91,46,,
6J8I,9SR,A,2007,off_site,False,43.23,0.94,46,,
6J8J,9SR,A,2007,off_site,False,43.23,0.94,46,,
7W9M,9SR,A,2001,off_site,False,43.12,0.81,46,,
7W9K,9Z9,A,2006,off_site,False,48.62,0.71,46,,
