pdb_id,het_code,chain,seqid,status,representative,centroid_distance,pocket_rmsd,n_pocket,aligned_mol2,message
5IUB,6DV,A,2401,kept,True,1.62,0.14,58,5IUB_6DV_A2401.mol2,
5IUA,6DX,A,2401,kept,True,1.44,0.14,58,5IUA_6DX_A2401.mol2,
5IU7,6DY,A,2401,kept,True,1.45,0.11,58,5IU7_6DY_A2401.mol2,
5IU8,6DZ,A,2401,kept,True,0.32,0.15,58,5IU8_6DZ_A2401.mol2,
5UIG,8D1,A,503,kept,True,2.88,1.52,30,5UIG_8D1_A503.mol2,
7PX4,8E2,A,2404,kept,True,4.4,0.23,58,7PX4_8E2_A2404.mol2,
7PYR,8IM,A,2404,kept,True,4.4,0.23,58,7PYR_8IM_A2404.mol2,
5N2R,8JN,A,2401,kept,True,1.22,0.29,58,5N2R_8JN_A2401.mol2,
5OLH,9XT,A,1201,kept,True,3.09,0.19,58,5OLH_9XT_A1201.mol2,
5OLO,9XW,A,1201,kept,True,1.87,0.38,58,5OLO_9XW_A1201.mol2,
5OLV,9Y2,A,1201,kept,True,2.72,0.3,58,5OLV_9Y2_A1201.mol2,
8A2P,9Y2,A,1201,kept,True,2.75,0.36,58,8A2P_9Y2_A1201.mol2,
10KT,A1C5S,A,1202,kept,True,1.41,0.24,58,10KT_A1C5S_A1202.mol2,
7IN9,A1COM,A,1234,kept,True,3.84,0.2,58,7IN9_A1COM_A1234.mol2,
7INI,A1COV,A,1234,kept,True,3.39,0.2,58,7INI_A1COV_A1234.mol2,
7INL,A1COY,A,1234,kept,True,3.02,0.18,58,7INL_A1COY_A1234.mol2,
8RLN,A1H1S,A,1211,kept,True,3.46,0.34,58,8RLN_A1H1S_A1211.mol2,
8RVW,A1H3H,A,1205,kept,True,0.91,0.28,58,8RVW_A1H3H_A1205.mol2,
8RWD,A1H3H,A,1201,kept,True,0.97,0.19,58,8RWD_A1H3H_A1201.mol2,
8RWX,A1H3H,A,1201,kept,True,2.4,0.35,58,8RWX_A1H3H_A1201.mol2,
8RWC,A1H3I,A,1201,kept,True,1.09,0.22,58,8RWC_A1H3I_A1201.mol2,
8RWH,A1H3I,A,1201,kept,True,1.04,0.25,58,8RWH_A1H3I_A1201.mol2,
8RWI,A1H3I,A,1201,kept,True,2.2,0.32,58,8RWI_A1H3I_A1201.mol2,
8RW7,A1H3J,A,1201,kept,True,1.36,0.21,58,8RW7_A1H3J_A1201.mol2,
8RWE,A1H3K,A,1201,kept,True,1.18,0.21,58,8RWE_A1H3K_A1201.mol2,
8RW4,A1H3L,A,1201,kept,True,1.31,0.21,58,8RW4_A1H3L_A1201.mol2,
9H37,A1IR0,A,1226,kept,True,3.67,0.2,58,9H37_A1IR0_A1226.mol2,
9H2X,A1IR1,A,1226,kept,True,2.9,0.21,58,9H2X_A1IR1_A1226.mol2,
2YDO,ADN,A,400,kept,True,4.86,1.03,58,2YDO_ADN_A400.mol2,
9EE8,ADN,A,400,kept,True,4.81,0.94,57,9EE8_ADN_A400.mol2,
9EE9,ADN,A,400,kept,True,4.87,0.97,57,9EE9_ADN_A400.mol2,
9EEA,ADN,A,400,kept,True,4.86,1.04,57,9EEA_ADN_A400.mol2,
3RFM,CFF,A,330,kept,True,2.75,0.51,58,3RFM_CFF_A330.mol2,
5MZP,CFF,A,2401,kept,True,3.22,0.19,58,5MZP_CFF_A2401.mol2,
6GT3,F9Q,A,2401,kept,True,4.52,0.22,58,6GT3_F9Q_A2401.mol2,
8GNG,JQ9,X,402,kept,True,1.43,0.34,58,8GNG_JQ9_X402.mol2,
8RW0,JQ9,A,1201,kept,True,1.26,0.2,58,8RW0_JQ9_A1201.mol2,
9FUP,JQ9,A,1220,kept,True,1.15,0.18,58,9FUP_JQ9_A1220.mol2,
8GNE,JQR,A,1201,kept,True,2.52,0.37,58,8GNE_JQR_A1201.mol2,
8CU6,LJX,A,1208,kept,True,3.18,0.27,58,8CU6_LJX_A1208.mol2,
8CU7,LJX,A,1202,kept,True,3.37,0.28,58,8CU7_LJX_A1202.mol2,
2YDV,NEC,A,400,kept,True,5.75,0.95,57,2YDV_NEC_A400.mol2,
5G53,NEC,A,400,kept,True,5.74,0.91,57,5G53_NEC_A400.mol2,
6GDG,NEC,A,400,kept,True,5.69,0.99,56,6GDG_NEC_A400.mol2,
4UG2,NGI,A,1311,kept,True,1.63,1.06,56,4UG2_NGI_A1311.mol2,
4UHR,NGI,A,1320,kept,True,1.8,0.99,57,4UHR_NGI_A1320.mol2,
8UGW,NGI,A,1601,kept,True,1.41,1.0,55,8UGW_NGI_A1601.mol2,
6ZDR,QGE,A,1201,kept,True,1.17,0.22,58,6ZDR_QGE_A1201.mol2,
6ZDV,QGW,A,1201,kept,True,2.63,0.2,58,6ZDV_QGW_A1201.mol2,
7ARO,RVZ,A,1201,kept,True,2.43,0.31,57,7ARO_RVZ_A1201.mol2,
3UZC,T4E,A,330,kept,True,4.55,0.51,58,3UZC_T4E_A330.mol2,
5OLZ,T4E,A,1201,kept,True,4.71,0.21,58,5OLZ_T4E_A1201.mol2,
5OM1,T4E,A,1201,kept,True,4.69,0.22,58,5OM1_T4E_A1201.mol2,
5OM4,T4E,A,1201,kept,True,4.68,0.23,58,5OM4_T4E_A1201.mol2,
3UZA,T4G,A,330,kept,True,3.96,0.53,58,3UZA_T4G_A330.mol2,
5MZJ,TEP,A,2401,kept,True,3.21,0.19,58,5MZJ_TEP_A2401.mol2,
7INA,TEP,A,1235,kept,True,3.26,0.2,58,7INA_TEP_A1235.mol2,
7INB,TEP,A,1235,kept,True,3.2,0.2,58,7INB_TEP_A1235.mol2,
7INC,TEP,A,1235,kept,True,3.24,0.2,58,7INC_TEP_A1235.mol2,
7IND,TEP,A,1235,kept,True,3.2,0.2,58,7IND_TEP_A1235.mol2,
7INE,TEP,A,1235,kept,True,3.28,0.21,58,7INE_TEP_A1235.mol2,
7INF,TEP,A,1235,kept,True,3.18,0.2,58,7INF_TEP_A1235.mol2,
7ING,TEP,A,1235,kept,True,3.24,0.2,58,7ING_TEP_A1235.mol2,
7INH,TEP,A,1235,kept,True,3.26,0.21,58,7INH_TEP_A1235.mol2,
7INJ,TEP,A,1235,kept,True,3.13,0.2,58,7INJ_TEP_A1235.mol2,
7INK,TEP,A,1235,kept,True,3.16,0.2,58,7INK_TEP_A1235.mol2,
7INM,TEP,A,1235,kept,True,3.14,0.2,58,7INM_TEP_A1235.mol2,
7INN,TEP,A,1235,kept,True,3.26,0.2,58,7INN_TEP_A1235.mol2,
7INO,TEP,A,1235,kept,True,3.22,0.2,58,7INO_TEP_A1235.mol2,
7INP,TEP,A,1235,kept,True,3.19,0.2,58,7INP_TEP_A1235.mol2,
7INQ,TEP,A,1235,kept,True,3.26,0.2,58,7INQ_TEP_A1235.mol2,
7INR,TEP,A,1235,kept,True,3.27,0.2,58,7INR_TEP_A1235.mol2,
7INT,TEP,A,1235,kept,True,3.19,0.2,58,7INT_TEP_A1235.mol2,
7INU,TEP,A,1235,kept,True,3.23,0.2,58,7INU_TEP_A1235.mol2,
7INV,TEP,A,1235,kept,True,3.16,0.2,58,7INV_TEP_A1235.mol2,
7INW,TEP,A,2401,kept,True,3.21,0.2,58,7INW_TEP_A2401.mol2,
7INX,TEP,A,2401,kept,True,3.17,0.16,58,7INX_TEP_A2401.mol2,
7INY,TEP,A,2401,kept,True,3.18,0.17,58,7INY_TEP_A2401.mol2,
7INZ,TEP,A,2401,kept,True,3.18,0.17,58,7INZ_TEP_A2401.mol2,
7IO0,TEP,A,2401,kept,True,3.11,0.16,58,7IO0_TEP_A2401.mol2,
7IO1,TEP,A,2401,kept,True,3.23,0.2,58,7IO1_TEP_A2401.mol2,
7IO2,TEP,A,2401,kept,True,3.16,0.16,58,7IO2_TEP_A2401.mol2,
7IO3,TEP,A,2401,kept,True,3.23,0.19,58,7IO3_TEP_A2401.mol2,
7IO4,TEP,A,2401,kept,True,3.29,0.21,58,7IO4_TEP_A2401.mol2,
7IO5,TEP,A,1202,kept,True,3.14,0.15,58,7IO5_TEP_A1202.mol2,
7IO6,TEP,A,2401,kept,True,3.16,0.17,58,7IO6_TEP_A2401.mol2,
7IO7,TEP,A,2401,kept,True,3.22,0.17,58,7IO7_TEP_A2401.mol2,
7IO8,TEP,A,2401,kept,True,3.18,0.21,58,7IO8_TEP_A2401.mol2,
7IO9,TEP,A,2401,kept,True,3.25,0.17,58,7IO9_TEP_A2401.mol2,
7IOA,TEP,A,2401,kept,True,3.26,0.17,58,7IOA_TEP_A2401.mol2,
7IOB,TEP,A,2401,kept,True,3.14,0.18,58,7IOB_TEP_A2401.mol2,
7IOC,TEP,A,1202,kept,True,3.21,0.17,58,7IOC_TEP_A1202.mol2,
7IOD,TEP,A,2401,kept,True,3.17,0.17,58,7IOD_TEP_A2401.mol2,
7IOE,TEP,A,1202,kept,True,3.22,0.22,58,7IOE_TEP_A1202.mol2,
7IOF,TEP,A,2401,kept,True,3.24,0.21,58,7IOF_TEP_A2401.mol2,
7IOG,TEP,A,2401,kept,True,3.14,0.2,58,7IOG_TEP_A2401.mol2,
7IOH,TEP,A,2401,kept,True,3.15,0.21,58,7IOH_TEP_A2401.mol2,
7IOI,TEP,A,2401,kept,True,3.15,0.21,58,7IOI_TEP_A2401.mol2,
7IOJ,TEP,A,2401,kept,True,3.07,0.16,58,7IOJ_TEP_A2401.mol2,
7IOK,TEP,A,2401,kept,True,3.2,0.21,58,7IOK_TEP_A2401.mol2,
7IOL,TEP,A,2401,kept,True,3.16,0.17,58,7IOL_TEP_A2401.mol2,
7IOM,TEP,A,2401,kept,True,3.16,0.17,58,7IOM_TEP_A2401.mol2,
7ION,TEP,A,1202,kept,True,3.33,0.21,58,7ION_TEP_A1202.mol2,
7IOO,TEP,A,2401,kept,True,3.23,0.16,58,7IOO_TEP_A2401.mol2,
7IOP,TEP,A,1202,kept,True,3.23,0.22,58,7IOP_TEP_A1202.mol2,
7IOQ,TEP,A,2401,kept,True,3.17,0.17,58,7IOQ_TEP_A2401.mol2,
7IOR,TEP,A,2401,kept,True,3.16,0.16,58,7IOR_TEP_A2401.mol2,
7IOS,TEP,A,2401,kept,True,3.16,0.2,58,7IOS_TEP_A2401.mol2,
7IOT,TEP,A,2401,kept,True,3.28,0.17,58,7IOT_TEP_A2401.mol2,
7IOU,TEP,A,2401,kept,True,3.15,0.2,58,7IOU_TEP_A2401.mol2,
7IOV,TEP,A,2401,kept,True,3.35,0.23,58,7IOV_TEP_A2401.mol2,
7IOW,TEP,A,2401,kept,True,3.22,0.19,58,7IOW_TEP_A2401.mol2,
7IOX,TEP,A,2401,kept,True,3.16,0.18,58,7IOX_TEP_A2401.mol2,
7IOY,TEP,A,1202,kept,True,2.87,0.15,58,7IOY_TEP_A1202.mol2,
7IOZ,TEP,A,1202,kept,True,3.21,0.17,58,7IOZ_TEP_A1202.mol2,
7IP0,TEP,A,2401,kept,True,2.86,0.17,58,7IP0_TEP_A2401.mol2,
7IP1,TEP,A,2401,kept,True,3.11,0.18,58,7IP1_TEP_A2401.mol2,
7IP2,TEP,A,2401,kept,True,3.16,0.2,58,7IP2_TEP_A2401.mol2,
7IP3,TEP,A,2401,kept,True,3.19,0.17,58,7IP3_TEP_A2401.mol2,
7IP4,TEP,A,2401,kept,True,3.2,0.21,58,7IP4_TEP_A2401.mol2,
7IP5,TEP,A,2401,kept,True,3.22,0.17,58,7IP5_TEP_A2401.mol2,
7IP6,TEP,A,2401,kept,True,3.24,0.2,58,7IP6_TEP_A2401.mol2,
7IP7,TEP,A,1202,kept,True,3.18,0.17,58,7IP7_TEP_A1202.mol2,
7IP8,TEP,A,1202,kept,True,3.17,0.16,58,7IP8_TEP_A1202.mol2,
7IP9,TEP,A,2401,kept,True,3.25,0.15,58,7IP9_TEP_A2401.mol2,
7IPA,TEP,A,2401,kept,True,3.17,0.16,58,7IPA_TEP_A2401.mol2,
7IPB,TEP,A,1202,kept,True,3.34,0.21,58,7IPB_TEP_A1202.mol2,
7IPC,TEP,A,1202,kept,True,3.14,0.15,58,7IPC_TEP_A1202.mol2,
7IPD,TEP,A,2401,kept,True,3.17,0.17,58,7IPD_TEP_A2401.mol2,
7IPE,TEP,A,2401,kept,True,3.26,0.17,58,7IPE_TEP_A2401.mol2,
7IPF,TEP,A,2401,kept,True,3.2,0.17,58,7IPF_TEP_A2401.mol2,
7IPG,TEP,A,2401,kept,True,3.19,0.17,58,7IPG_TEP_A2401.mol2,
8A2O,TEP,A,2401,kept,True,3.12,0.3,58,8A2O_TEP_A2401.mol2,
8PWN,TEP,A,500,kept,True,3.2,0.22,58,8PWN_TEP_A500.mol2,
8DU3,TKO,A,3001,kept,True,3.92,0.21,58,8DU3_TKO_A3001.mol2,
8C9W,U30,A,1201,kept,True,2.66,0.41,58,8C9W_U30_A1201.mol2,
8CIC,U30,A,1202,kept,True,2.88,0.33,58,8CIC_U30_A1202.mol2,
8JWZ,U30,A,520,kept,True,3.18,0.53,58,8JWZ_U30_A520.mol2,
3QAK,UKA,A,1200,kept,True,0.75,1.18,54,3QAK_UKA_A1200.mol2,
5WF5,UKA,A,1201,kept,True,0.68,1.15,55,5WF5_UKA_A1201.mol2,
5WF6,UKA,A,1201,kept,True,0.67,1.07,54,5WF6_UKA_A1201.mol2,
7EZC,UKA,A,1200,kept,True,0.75,1.13,53,7EZC_UKA_A1200.mol2,
8JWY,VBF,A,1201,kept,True,3.12,0.47,58,8JWY_VBF_A1201.mol2,
8WDT,WCH,A,1000,kept,True,3.65,0.94,58,8WDT_WCH_A1000.mol2,
3REY,XAC,A,999,kept,True,2.51,0.54,58,3REY_XAC_A999.mol2,
3EML,ZMA,A,401,kept,True,0.69,0.32,58,3EML_ZMA_A401.mol2,
3PWH,ZMA,A,401,kept,True,1.94,0.51,58,3PWH_ZMA_A401.mol2,
3VG9,ZMA,A,401,kept,True,0.57,0.88,58,3VG9_ZMA_A401.mol2,
3VGA,ZMA,A,401,kept,True,0.38,0.65,58,3VGA_ZMA_A401.mol2,
4EIY,ZMA,A,2401,kept,True,0.45,0.16,58,4EIY_ZMA_A2401.mol2,
5IU4,ZMA,A,2401,kept,True,0.41,0.1,58,5IU4_ZMA_A2401.mol2,
5JTB,ZMA,A,1201,kept,True,0.42,0.19,58,5JTB_ZMA_A1201.mol2,
5K2A,ZMA,A,1201,kept,True,0.46,0.19,58,5K2A_ZMA_A1201.mol2,
5K2B,ZMA,A,1201,kept,True,0.36,0.2,58,5K2B_ZMA_A1201.mol2,
5K2C,ZMA,A,1201,kept,True,0.49,0.18,58,5K2C_ZMA_A1201.mol2,
5K2D,ZMA,A,1201,kept,True,0.48,0.18,58,5K2D_ZMA_A1201.mol2,
5NLX,ZMA,A,505,kept,True,0.09,0.1,58,5NLX_ZMA_A505.mol2,
5NM2,ZMA,A,1202,kept,True,0.14,0.11,58,5NM2_ZMA_A1202.mol2,
5NM4,ZMA,A,507,kept,True,0.0,0.0,58,5NM4_ZMA_A507.mol2,
5OLG,ZMA,A,1201,kept,True,0.47,0.12,58,5OLG_ZMA_A1201.mol2,
5UVI,ZMA,A,1201,kept,True,0.39,0.22,58,5UVI_ZMA_A1201.mol2,
5VRA,ZMA,A,2401,kept,True,0.52,0.2,58,5VRA_ZMA_A2401.mol2,
6AQF,ZMA,A,1201,kept,True,0.41,0.24,58,6AQF_ZMA_A1201.mol2,
6JZH,ZMA,A,2002,kept,True,0.13,0.14,58,6JZH_ZMA_A2002.mol2,
6LPJ,ZMA,A,2401,kept,True,0.49,0.14,58,6LPJ_ZMA_A2401.mol2,
6LPK,ZMA,A,2401,kept,True,0.49,0.14,58,6LPK_ZMA_A2401.mol2,
6LPL,ZMA,A,2401,kept,True,0.48,0.17,58,6LPL_ZMA_A2401.mol2,
6MH8,ZMA,A,1201,kept,True,0.72,0.28,58,6MH8_ZMA_A1201.mol2,
6PS7,ZMA,A,1201,kept,True,0.47,0.17,58,6PS7_ZMA_A1201.mol2,
6S0L,ZMA,A,1201,kept,True,0.51,0.16,58,6S0L_ZMA_A1201.mol2,
6S0Q,ZMA,A,1201,kept,True,0.51,0.15,58,6S0Q_ZMA_A1201.mol2,
6WQA,ZMA,A,1202,kept,True,0.51,0.19,58,6WQA_ZMA_A1202.mol2,
7RM5,ZMA,A,1201,kept,True,0.56,0.31,58,7RM5_ZMA_A1201.mol2,
7T32,ZMA,A,1201,kept,True,0.35,0.81,58,7T32_ZMA_A1201.mol2,
8FYN,ZMA,A,2401,kept,True,0.19,0.16,58,8FYN_ZMA_A2401.mol2,
8RQQ,ZMA,A,1201,kept,True,0.17,0.22,58,8RQQ_ZMA_A1201.mol2,
9P1S,ZMA,A,502,kept,True,0.35,0.42,58,9P1S_ZMA_A502.mol2,
9P1T,ZMA,A,502,kept,True,0.53,0.36,58,9P1T_ZMA_A502.mol2,
9T9P,ZMA,B,901,kept,True,1.19,1.55,37,9T9P_ZMA_B901.mol2,
5G53,GDP,C,400,no_pocket,False,33.68,27.61,2,,
6LPJ,TRD,A,2420,no_pocket,False,,,0,,no protein near ligand
6LPK,TRD,A,2420,no_pocket,False,,,0,,no protein near ligand
7INQ,2O8,A,1234,off_site,False,33.39,0.2,58,,
7IP6,6N4,A,2434,off_site,False,34.09,0.2,58,,
6LPJ,8K6,A,2410,off_site,False,18.49,0.14,58,,
6LPJ,8K6,A,2418,off_site,False,24.41,0.14,58,,
6LPJ,8K6,A,2419,off_site,False,25.69,0.14,58,,
6LPK,8K6,A,2419,off_site,False,25.75,0.14,58,,
6LPK,8K6,A,2418,off_site,False,24.44,0.14,58,,
6LPK,8K6,A,2410,off_site,False,18.58,0.14,58,,
6LPL,8K6,A,2418,off_site,False,24.4,0.17,58,,
6LPL,8K6,A,2419,off_site,False,25.71,0.17,58,,
6LPL,8K6,A,2410,off_site,False,18.35,0.17,58,,
7INB,8ZX,A,1234,off_site,False,32.31,0.2,58,,
7INW,A1BL1,A,2434,off_site,False,33.91,0.2,58,,
7INO,A1CO0,A,1234,off_site,False,33.62,0.2,58,,
7INT,A1CO1,A,1234,off_site,False,33.11,0.2,58,,
7INU,A1CO2,A,1234,off_site,False,33.42,0.2,58,,
7INX,A1CO3,A,2434,off_site,False,33.79,0.16,58,,
7INZ,A1CO5,A,2434,off_site,False,33.36,0.17,58,,
7IO0,A1CO6,A,2434,off_site,False,34.03,0.16,58,,
7IO1,A1CO7,A,2434,off_site,False,33.63,0.2,58,,
7IO2,A1CO8,A,2434,off_site,False,33.85,0.16,58,,
7IO3,A1CO9,A,2434,off_site,False,33.63,0.19,58,,
7INA,A1CON,A,1234,off_site,False,33.93,0.2,58,,
7IND,A1COO,A,1234,off_site,False,32.69,0.2,58,,
7INC,A1COP,A,1234,off_site,False,33.57,0.2,58,,
7INF,A1COQ,A,1234,off_site,False,32.05,0.2,58,,
7INH,A1COR,A,1234,off_site,False,35.33,0.21,58,,
7INJ,A1COW,A,1234,off_site,False,34.63,0.2,58,,
7INK,A1COX,A,1234,off_site,False,31.33,0.2,58,,
7INN,A1COZ,A,1234,off_site,False,33.22,0.2,58,,
7IOU,A1CP0,A,2434,off_site,False,35.25,0.2,58,,
7IOV,A1CP1,A,2434,off_site,False,34.7,0.23,58,,
7IOW,A1CP2,A,2434,off_site,False,37.52,0.19,58,,
7IOX,A1CP3,A,2434,off_site,False,37.26,0.18,58,,
7IOY,A1CP4,A,1235,off_site,False,37.23,0.15,58,,
7IOZ,A1CP5,A,1235,off_site,False,33.12,0.17,58,,
7IP0,A1CP6,A,2434,off_site,False,33.45,0.17,58,,
7IP1,A1CP7,A,2434,off_site,False,34.12,0.18,58,,
7IP2,A1CP8,A,2434,off_site,False,33.45,0.2,58,,
7IP3,A1CP9,A,2434,off_site,False,36.0,0.17,58,,
7IO5,A1CPA,A,1235,off_site,False,32.83,0.15,58,,
7IO6,A1CPB,A,2434,off_site,False,34.4,0.17,58,,
7IO7,A1CPC,A,2434,off_site,False,35.65,0.17,58,,
7IO8,A1CPD,A,2434,off_site,False,33.51,0.21,58,,
7IO9,A1CPE,A,2434,off_site,False,33.88,0.17,58,,
7IOA,A1CPF,A,2434,off_site,False,33.98,0.17,58,,
7IOB,A1CPH,A,2434,off_site,False,34.22,0.18,58,,
7IOC,A1CPI,A,1235,off_site,False,33.84,0.17,58,,
7IOD,A1CPJ,A,2434,off_site,False,34.56,0.17,58,,
7IOE,A1CPK,A,1235,off_site,False,34.1,0.22,58,,
7IOF,A1CPL,A,2434,off_site,False,36.72,0.21,58,,
7IOG,A1CPM,A,2434,off_site,False,34.6,0.2,58,,
7IOH,A1CPN,A,2434,off_site,False,34.6,0.21,58,,
7IOI,A1CPO,A,2434,off_site,False,35.4,0.21,58,,
7IOJ,A1CPP,A,2434,off_site,False,34.49,0.16,58,,
7IOK,A1CPQ,A,2434,off_site,False,34.2,0.21,58,,
7IOL,A1CPR,A,2434,off_site,False,34.72,0.17,58,,
7IOM,A1CPS,A,2434,off_site,False,34.76,0.17,58,,
7ION,A1CPT,A,1235,off_site,False,35.5,0.21,58,,
7IOO,A1CPU,A,2434,off_site,False,35.61,0.16,58,,
7IOP,A1CPV,A,1235,off_site,False,34.26,0.22,58,,
7IOQ,A1CPW,A,2434,off_site,False,35.91,0.17,58,,
7IOR,A1CPX,A,2434,off_site,False,34.86,0.16,58,,
7IOS,A1CPY,A,2434,off_site,False,36.15,0.2,58,,
7IOT,A1CPZ,A,2434,off_site,False,33.9,0.17,58,,
7IP4,A1CQA,A,2434,off_site,False,34.48,0.21,58,,
7IP5,A1CQB,A,2434,off_site,False,35.1,0.17,58,,
7IP7,A1CQC,A,1235,off_site,False,33.94,0.17,58,,
7IP8,A1CQD,A,1235,off_site,False,35.74,0.16,58,,
7IP9,A1CQE,A,2434,off_site,False,34.79,0.15,58,,
7IPA,A1CQF,A,2434,off_site,False,35.94,0.16,58,,
7IPB,A1CQG,A,1235,off_site,False,36.34,0.21,58,,
7IPC,A1CQH,A,1235,off_site,False,35.67,0.15,58,,
7IPD,A1CQI,A,2434,off_site,False,33.57,0.17,58,,
7IPE,A1CQJ,A,2434,off_site,False,35.51,0.17,58,,
7IPF,A1CQK,A,2434,off_site,False,37.38,0.17,58,,
7IPG,A1CQL,A,2435,off_site,False,35.44,0.17,58,,
7INY,A1CS6,A,2434,off_site,False,35.27,0.17,58,,
7IPG,A1CS8,A,2434,off_site,False,35.45,0.17,58,,
8RQQ,A1H2K,A,1205,off_site,False,17.63,0.22,58,,
8RQQ,A1H2K,A,1206,off_site,False,33.61,0.22,58,,
8RQQ,A1H2K,A,1207,off_site,False,24.45,0.22,58,,
8RQQ,A1H2K,A,1208,off_site,False,29.11,0.22,58,,
8RQQ,A1H2K,A,1209,off_site,False,18.91,0.22,58,,
8RQQ,A1H2K,A,1211,off_site,False,19.6,0.22,58,,
8RQQ,A1H2K,A,1212,off_site,False,19.45,0.22,58,,
8RQQ,A1H2K,A,1215,off_site,False,14.74,0.22,58,,
8RQQ,A1H52,A,1210,off_site,False,14.23,0.22,58,,
7IO4,A1IGL,A,2434,off_site,False,33.38,0.21,58,,
6LPJ,ER0,A,2416,off_site,False,13.14,0.14,58,,
6LPJ,ER0,A,2423,off_site,False,18.61,0.14,58,,
6LPK,ER0,A,2416,off_site,False,13.1,0.14,58,,
6LPK,ER0,A,2423,off_site,False,18.66,0.14,58,,
6LPL,ER0,A,2423,off_site,False,18.48,0.17,58,,
6LPL,ER0,A,2416,off_site,False,13.04,0.17,58,,
7ING,ES2,A,1234,off_site,False,33.43,0.2,58,,
8CU7,ETF,A,1234,off_site,False,31.27,0.28,58,,
5IU8,HTO,A,2402,off_site,False,33.76,0.15,58,,
7INR,LR5,A,1234,off_site,False,33.2,0.2,58,,
6LPJ,MYS,A,2426,off_site,False,20.04,0.14,58,,
6LPJ,MYS,A,2407,off_site,False,14.94,0.14,58,,
6LPJ,MYS,A,2409,off_site,False,23.24,0.14,58,,
6LPJ,MYS,A,2414,off_site,False,24.49,0.14,58,,
6LPJ,MYS,A,2417,off_site,False,28.03,0.14,58,,
6LPJ,MYS,A,2424,off_site,False,24.47,0.14,58,,
6LPK,MYS,A,2424,off_site,False,24.47,0.14,58,,
6LPK,MYS,A,2417,off_site,False,28.13,0.14,58,,
6LPK,MYS,A,2414,off_site,False,24.64,0.14,58,,
6LPK,MYS,A,2409,off_site,False,23.34,0.14,58,,
6LPK,MYS,A,2407,off_site,False,14.95,0.14,58,,
6LPK,MYS,A,2426,off_site,False,20.11,0.14,58,,
6LPL,MYS,A,2426,off_site,False,19.89,0.17,58,,
6LPL,MYS,A,2407,off_site,False,14.76,0.17,58,,
6LPL,MYS,A,2409,off_site,False,22.91,0.17,58,,
6LPL,MYS,A,2424,off_site,False,24.43,0.17,58,,
6LPL,MYS,A,2417,off_site,False,27.97,0.17,58,,
6LPL,MYS,A,2414,off_site,False,24.45,0.17,58,,
6LPJ,OCT,A,2412,off_site,False,16.87,0.14,58,,
6LPJ,OCT,A,2413,off_site,False,23.95,0.14,58,,
6LPJ,OCT,A,2421,off_site,False,19.77,0.14,58,,
6LPK,OCT,A,2421,off_site,False,19.83,0.14,58,,
6LPK,OCT,A,2413,off_site,False,23.99,0.14,58,,
6LPK,OCT,A,2412,off_site,False,16.9,0.14,58,,
6LPL,OCT,A,2412,off_site,False,16.79,0.17,58,,
