pdb_id,het_code,chain,seqid,status,representative,centroid_distance,pocket_rmsd,n_pocket,aligned_mol2,message
4QKX,35V,A,1403,kept,True,4.72,0.89,57,4QKX_35V_A1403.mol2,
7DHI,68H,R,401,kept,True,0.88,0.89,58,7DHI_68H_R401.mol2,
8W1V,A1AE2,B,1201,kept,True,4.49,0.43,56,8W1V_A1AE2_B1201.mol2,
9BUY,A1ASM,R,504,kept,True,4.87,0.87,57,9BUY_A1ASM_R504.mol2,
8ZWG,A1D9A,A,601,kept,True,5.64,1.35,51,8ZWG_A1D9A_A601.mol2,
9I52,A1IZU,R,501,kept,True,2.54,0.93,56,9I52_A1IZU_R501.mol2,
9I54,A1IZV,R,501,kept,True,2.42,1.02,56,9I54_A1IZV_R501.mol2,
9RKF,A1JHU,A,520,kept,True,2.05,0.36,57,9RKF_A1JHU_A520.mol2,
9RKH,A1JHU,A,510,kept,True,2.04,0.36,58,9RKH_A1JHU_A510.mol2,
4LDO,ALE,A,1402,kept,True,0.63,0.87,57,4LDO_ALE_A1402.mol2,
9U9V,B40,R,401,kept,True,0.92,0.73,57,9U9V_B40_R401.mol2,
9W3F,BER,A,1201,kept,True,2.54,0.45,57,9W3F_BER_A1201.mol2,
2RH1,CAU,A,408,kept,True,0.0,0.0,58,2RH1_CAU_A408.mol2,
5D5A,CAU,A,1202,kept,True,0.22,0.17,58,5D5A_CAU_A1202.mol2,
5D6L,CAU,A,1208,kept,True,0.03,0.06,58,5D6L_CAU_A1208.mol2,
5JQH,CAU,B,1401,kept,True,0.13,0.32,58,5JQH_CAU_B1401.mol2,
5X7D,CAU,A,1206,kept,True,0.08,0.34,58,5X7D_CAU_A1206.mol2,
6PS0,CAU,A,1201,kept,True,0.31,0.47,58,6PS0_CAU_A1201.mol2,
6PS3,CVD,A,1201,kept,True,2.6,0.38,58,6PS3_CVD_A1201.mol2,
8JJL,DZQ,A,501,kept,True,2.38,0.61,58,8JJL_DZQ_A501.mol2,
9CHU,E5E,A,501,kept,True,1.01,0.7,57,9CHU_E5E_A501.mol2,
3PDS,ERC,A,1201,kept,True,3.99,0.49,57,3PDS_ERC_A1201.mol2,
7XKA,G1I,A,1401,kept,True,0.58,0.91,57,7XKA_G1I_A1401.mol2,
8GDZ,G1I,R,501,kept,True,0.53,0.83,57,8GDZ_G1I_R501.mol2,
8GE1,G1I,R,501,kept,True,0.53,0.83,57,8GE1_G1I_R501.mol2,
8GE2,G1I,R,501,kept,True,0.44,0.84,57,8GE2_G1I_R501.mol2,
8GE3,G1I,R,501,kept,True,0.34,0.83,57,8GE3_G1I_R501.mol2,
8GE4,G1I,R,501,kept,True,0.42,0.9,57,8GE4_G1I_R501.mol2,
8GE5,G1I,R,501,kept,True,0.42,0.86,57,8GE5_G1I_R501.mol2,
8GE6,G1I,R,501,kept,True,0.51,0.92,58,8GE6_G1I_R501.mol2,
8GE7,G1I,R,501,kept,True,0.64,0.84,57,8GE7_G1I_R501.mol2,
8GE8,G1I,R,501,kept,True,0.56,0.92,58,8GE8_G1I_R501.mol2,
8GE9,G1I,R,501,kept,True,0.5,0.9,58,8GE9_G1I_R501.mol2,
8GEA,G1I,R,501,kept,True,0.5,0.84,56,8GEA_G1I_R501.mol2,
