pdb_id,het_code,chain,seqid,status,representative,centroid_distance,pocket_rmsd,n_pocket,aligned_mol2,message
4M0F,1YK,B,605,kept,True,0.86,0.38,50,4M0F_1YK_B605.mol2,
4M0E,1YL,B,605,kept,True,4.03,0.27,51,4M0E_1YL_B605.mol2,
7RB7,3VI,B,602,kept,True,7.12,0.23,48,7RB7_3VI_B602.mol2,
8DT4,3VI,A,602,kept,True,6.64,0.48,50,8DT4_3VI_A602.mol2,
8DT7,3VI,B,601,kept,True,6.64,0.2,49,8DT7_3VI_B601.mol2,
7P1P,4IX,aa,601,kept,True,4.25,0.29,50,7P1P_4IX_aa601.mol2,
7P1N,4J1,aa,601,kept,True,3.06,0.27,49,7P1N_4J1_aa601.mol2,
9OMS,A1CD5,A,601,kept,True,5.75,0.27,51,9OMS_A1CD5_A601.mol2,
9OMT,A1CDA,B,603,kept,True,7.78,0.37,50,9OMT_A1CDA_B603.mol2,
6O4X,AA,B,603,kept,True,5.97,0.39,49,6O4X_AA_B603.mol2,
6F25,CVZ,A,613,kept,True,4.44,0.41,49,6F25_CVZ_A613.mol2,
5HF5,DEP,B,606,kept,True,6.68,0.65,50,5HF5_DEP_B606.mol2,
5HF8,DEP,B,606,kept,True,6.2,0.66,46,5HF8_DEP_B606.mol2,
5HF9,DEP,A,604,kept,True,6.62,0.32,48,5HF9_DEP_A604.mol2,
5HFA,DEP,A,604,kept,True,6.58,0.33,50,5HFA_DEP_A604.mol2,
8DT2,DEP,A,601,kept,True,6.3,0.56,48,8DT2_DEP_A601.mol2,
8DT4,DEP,A,601,kept,True,6.42,0.48,50,8DT4_DEP_A601.mol2,
8DT5,DEP,A,601,kept,True,6.34,0.29,51,8DT5_DEP_A601.mol2,
9OMT,DEP,B,601,kept,True,6.48,0.37,50,9OMT_DEP_B601.mol2,
4EY7,E20,B,605,kept,True,0.07,0.15,50,4EY7_E20_B605.mol2,
6O4W,E20,A,604,kept,True,0.01,0.01,49,6O4W_E20_A604.mol2,
7E3H,E20,B,601,kept,True,0.08,0.16,50,7E3H_E20_B601.mol2,
6O50,EBW,A,601,kept,True,0.73,0.2,51,6O50_EBW_A601.mol2,
6O52,EBW,B,601,kept,True,0.68,0.3,52,6O52_EBW_B601.mol2,
