pdb_id,het_code,chain,seqid,status,representative,centroid_distance,pocket_rmsd,n_pocket,aligned_mol2,message
6HUO,08H,D,501,kept,True,4.56,0.49,40,6HUO_08H_D501.mol2,
8VQY,A1ADG,E,401,kept,True,3.73,0.46,40,8VQY_A1ADG_E401.mol2,
6A96,ABU,B,501,kept,True,1.4,0.6,40,6A96_ABU_B501.mol2,
6D6T,ABU,A,405,kept,True,0.77,0.39,40,6D6T_ABU_A405.mol2,
6HUJ,ABU,D,507,kept,True,0.23,0.32,40,6HUJ_ABU_D507.mol2,
6HUO,ABU,A,501,kept,True,0.15,0.3,40,6HUO_ABU_A501.mol2,
6HUP,ABU,E,501,kept,True,0.17,0.33,40,6HUP_ABU_E501.mol2,
6X3T,ABU,C,405,kept,True,0.35,0.18,40,6X3T_ABU_C405.mol2,
6X3U,ABU,A,405,kept,True,0.28,0.25,40,6X3U_ABU_A405.mol2,
6X3V,ABU,A,402,kept,True,0.44,0.28,40,6X3V_ABU_A402.mol2,
6X3W,ABU,A,405,kept,True,0.36,0.31,40,6X3W_ABU_A405.mol2,
6X3X,ABU,A,405,kept,True,0.15,0.24,40,6X3X_ABU_A405.mol2,
6X3Z,ABU,A,405,kept,True,0.31,0.31,40,6X3Z_ABU_A405.mol2,
6X40,ABU,A,405,kept,True,0.34,0.31,40,6X40_ABU_A405.mol2,
7PBD,ABU,D,501,kept,True,0.63,0.27,40,7PBD_ABU_D501.mol2,
7PBZ,ABU,B,501,kept,True,0.36,0.22,40,7PBZ_ABU_B501.mol2,
7QN7,ABU,B,501,kept,True,0.39,0.37,40,7QN7_ABU_B501.mol2,
7QNA,ABU,B,501,kept,True,0.24,0.35,40,7QNA_ABU_B501.mol2,
7QNB,ABU,B,501,kept,True,0.37,0.46,40,7QNB_ABU_B501.mol2,
7T0Z,ABU,C,401,kept,True,0.8,0.44,40,7T0Z_ABU_C401.mol2,
8DD2,ABU,C,403,kept,True,0.68,0.25,40,8DD2_ABU_C403.mol2,
8DD3,ABU,A,402,kept,True,0.38,0.18,40,8DD3_ABU_A402.mol2,
8SGO,ABU,C,402,kept,True,0.17,0.23,40,8SGO_ABU_C402.mol2,
8SI9,ABU,B,401,kept,True,0.17,0.23,40,8SI9_ABU_B401.mol2,
8SID,ABU,C,402,kept,True,0.15,0.23,40,8SID_ABU_C402.mol2,
8VQY,ABU,A,401,kept,True,0.14,0.22,40,8VQY_ABU_A401.mol2,
8VRN,ABU,A,401,kept,True,0.68,0.23,40,8VRN_ABU_A401.mol2,
9CRS,ABU,C,501,kept,True,0.24,0.22,40,9CRS_ABU_C501.mol2,
9CRV,ABU,A,501,kept,True,1.07,0.25,40,9CRV_ABU_A501.mol2,
9CT0,ABU,A,501,kept,True,0.27,0.27,40,9CT0_ABU_A501.mol2,
9CX7,ABU,A,501,kept,True,0.13,0.25,40,9CX7_ABU_A501.mol2,
9CXA,ABU,A,501,kept,True,0.45,0.26,40,9CXA_ABU_A501.mol2,
9CXB,ABU,A,501,kept,True,0.11,0.25,40,9CXB_ABU_A501.mol2,
9CXC,ABU,D,501,kept,True,0.19,0.24,40,9CXC_ABU_D501.mol2,
9CXD,ABU,A,501,kept,True,0.55,0.24,40,9CXD_ABU_A501.mol2,
