pdb_id,het_code,chain,seqid,status,representative,centroid_distance,pocket_rmsd,n_pocket,aligned_mol2,message
4XP9,1WE,C,706,kept,True,3.07,1.32,51,4XP9_1WE_C706.mol2,
7WLW,1WR,A,704,kept,True,4.9,1.41,52,7WLW_1WR_A704.mol2,
8HFL,1XR,A,701,kept,True,1.59,0.42,63,8HFL_1XR_A701.mol2,
4M48,21B,A,704,kept,True,1.99,1.28,50,4M48_21B_A704.mol2,
6M38,29E,A,601,kept,True,1.97,1.18,50,6M38_29E_A601.mol2,
4XNU,41U,A,605,kept,True,2.33,1.29,51,4XNU_41U_A605.mol2,
8YR2,41U,A,701,kept,True,2.1,1.22,51,8YR2_41U_A701.mol2,
4XNX,41X,A,707,kept,True,2.03,1.32,51,4XNX_41X_A707.mol2,
4XP5,42F,A,602,kept,True,2.76,1.17,54,4XP5_42F_A602.mol2,
4XPF,42F,A,703,kept,True,2.02,1.12,52,4XPF_42F_A703.mol2,
4XPA,42J,A,703,kept,True,1.66,1.29,59,4XPA_42J_A703.mol2,
4XPH,42J,A,602,kept,True,1.61,1.21,57,4XPH_42J_A602.mol2,
4XPT,42J,A,602,kept,True,1.27,1.24,58,4XPT_42J_A602.mol2,
4XPG,42L,A,701,kept,True,3.04,1.18,52,4XPG_42L_A701.mol2,
8I3V,68P,A,701,kept,True,6.26,0.37,63,8I3V_68P_A701.mol2,
7WGT,9BC,A,701,kept,True,4.69,1.33,49,7WGT_9BC_A701.mol2,
9KDH,A1D5S,B,709,kept,True,6.23,0.47,63,9KDH_A1D5S_B709.mol2,
8ZP1,A1D9Y,A,702,kept,True,2.2,1.19,52,8ZP1_A1D9Y_A702.mol2,
9JEL,A1EBN,A,701,kept,True,1.44,0.55,63,9JEL_A1EBN_A701.mol2,
9JF3,A1EBO,A,701,kept,True,3.65,0.41,63,9JF3_A1EBO_A701.mol2,
9KE3,A1EFR,B,707,kept,True,6.37,0.49,63,9KE3_A1EFR_B707.mol2,
9EUO,A1H8F,A,701,kept,True,7.47,1.48,53,9EUO_A1H8F_A701.mol2,
8Y8Z,A1LX3,E,701,kept,True,1.36,1.1,51,8Y8Z_A1LX3_E701.mol2,
8Y92,A1LX4,B,701,kept,True,2.44,1.18,52,8Y92_A1LX4_B701.mol2,
8Z1L,A1LX4,A,702,kept,True,2.14,1.21,55,8Z1L_A1LX4_A702.mol2,
8ZP2,A1LX4,A,701,kept,True,2.3,1.19,52,8ZP2_A1LX4_A701.mol2,
8Y91,A1LX5,A,701,kept,True,3.48,1.11,53,8Y91_A1LX5_A701.mol2,
8Y90,A1LX6,A,701,kept,True,3.17,1.09,50,8Y90_A1LX6_A701.mol2,
4XP6,B40,A,601,kept,True,2.09,1.2,54,4XP6_B40_A601.mol2,
4XP4,COC,A,706,kept,True,2.41,1.17,52,4XP4_COC_A706.mol2,
4XPB,COC,A,702,kept,True,2.4,1.01,49,4XPB_COC_A702.mol2,
8HFI,DSM,A,701,kept,True,1.92,0.55,63,8HFI_DSM_A701.mol2,
8WGR,DSM,A,701,kept,True,1.93,0.61,63,8WGR_DSM_A701.mol2,
8WTV,E5E,A,704,kept,True,0.61,0.61,61,8WTV_E5E_A704.mol2,
8Y95,E5E,A,701,kept,True,0.61,0.84,62,8Y95_E5E_A701.mol2,
6M3Z,F0F,A,701,kept,True,3.04,1.27,50,6M3Z_F0F_A701.mol2,
6M47,F1U,A,608,kept,True,3.39,1.31,49,6M47_F1U_A608.mol2,
4XP1,LDP,A,708,kept,True,1.37,1.25,52,4XP1_LDP_A708.mol2,
8HFG,LDP,A,701,kept,True,0.99,0.37,63,8HFG_LDP_A701.mol2,
6M0Z,LNR,A,707,kept,True,2.02,1.31,49,6M0Z_LNR_A707.mol2,
6M2R,LNR,A,704,kept,True,2.28,1.23,49,6M2R_LNR_A704.mol2,
8HFF,LNR,A,701,kept,True,0.42,0.41,63,8HFF_LNR_A701.mol2,
8WGX,LNR,A,701,kept,True,0.45,0.46,63,8WGX_LNR_A701.mol2,
8ZOY,LNR,A,701,kept,True,0.0,0.0,63,8ZOY_LNR_A701.mol2,
8ZPB,LNR,A,701,kept,True,0.51,0.63,62,8ZPB_LNR_A701.mol2,
8Y93,TP0,A,701,kept,True,1.91,1.28,51,8Y93_TP0_A701.mol2,
8WTY,XEF,A,701,kept,True,5.48,0.72,63,8WTY_XEF_A701.mol2,
8WTX,Y60,A,701,kept,True,2.01,0.72,63,8WTX_Y60_A701.mol2,
8XB3,YMN,A,701,kept,True,0.81,0.33,63,8XB3_YMN_A701.mol2,
8XB2,YNT,A,702,kept,True,1.99,0.37,63,8XB2_YNT_A702.mol2,
7WLW,1WR,A,705,off_site,False,12.08,1.41,52,,
9K6X,A1EET,B,704,off_site,False,20.42,1.24,50,,
9K6X,A1EET,A,701,off_site,False,20.42,1.24,50,,
9KDA,A1EFM,A,709,off_site,False,21.66,0.56,63,,
9KDA,A1EFM,B,710,off_site,False,21.66,0.56,63,,
9KDH,A1EFM,B,707,off_site,False,21.72,0.47,63,,
9KDH,A1EFM,A,709,off_site,False,21.72,0.47,63,,
9KDM,A1EFM,B,809,off_site,False,21.46,0.38,63,,
9KDM,A1EFM,A,710,off_site,False,21.46,0.38,63,,
9KE3,A1EFM,B,706,off_site,False,21.77,0.49,63,,
9KE3,A1EFM,A,709,off_site,False,21.77,0.49,63,,
8YR2,A1LX7,B,714,off_site,False,28.46,1.22,51,,
8YR2,A1LX7,B,713,off_site,False,21.09,1.22,51,,
8YR2,A1LX7,A,712,off_site,False,28.47,1.22,51,,
8YR2,A1LX7,A,711,off_site,False,21.58,1.22,51,,
4XPF,DMU,A,701,off_site,False,29.84,1.12,52,,
6M0Z,DMU,A,703,off_site,False,28.78,1.31,49,,
6M2R,DMU,A,701,off_site,False,29.1,1.23,49,,
6M38,DMU,A,606,off_site,False,29.41,1.18,50,,
7WLW,DMU,A,707,off_site,False,28.51,1.41,52,,
8WGR,DSM,A,702,off_site,False,15.63,0.61,63,,
8WTV,E5E,A,705,off_site,False,28.5,0.61,61,,
