pdb_id,resolution,method,mapping,uniprot_accessions,kept_ligands,excluded_ligands
1M2Z,2.5,X-ray,primary,P04150;Q15596,DEX,BOG
1NHZ,2.3,X-ray,primary,P04150,486,HEZ
1P93,2.7,X-ray,primary,P04150;Q15596,DEX,
3BQD,2.5,X-ray,primary,P04150;Q15788,DAY,
3CLD,2.84,X-ray,primary,P04150;Q15596,GW6,
3E7C,2.15,X-ray,primary,P04150;Q15596,866,GOL
3H52,2.8,X-ray,primary,O75376;P04150,486,GOL
3K22,2.1,X-ray,primary,P04150;Q15596,JZR;JZS,
3K23,3.0,X-ray,primary,P04150;Q15596,JZN,
4CSJ,2.3,X-ray,primary,P04150;Q15596,NN7,EDO
4HN5,1.902,X-ray,primary,P04150,ZN,
4HN6,2.549,X-ray,primary,P04150,ZN,
4LSJ,2.35,X-ray,primary,P04150,LSJ,
4MDD,2.4,X-ray,primary,O75376;P04150,29M,
4P6W,1.951,X-ray,primary,P04150;Q15596,MOF,
4P6X,2.5,X-ray,primary,P04150;Q15596,HCY,
4UDC,2.5,X-ray,primary,P04150;Q15596,DEX,CPS
4UDD,1.8,X-ray,primary,P04150;Q15596,CV7,CPS;EDO
5CBX,2.0,X-ray,primary,P04150,ZN,
5CBY,1.997,X-ray,primary,P04150,ZN,
5CBZ,2.2,X-ray,primary,P04150,ZN,
5CC1,2.302,X-ray,primary,P04150,ZN,
5E69,1.85,X-ray,primary,P04150,ZN,
5E6A,2.197,X-ray,primary,P04150,ZN,
5E6B,2.25,X-ray,primary,P04150,ZN,
5E6C,2.2,X-ray,primary,P04150,ZN,
5E6D,2.4,X-ray,primary,P04150,ZN,
5EMC,2.3,X-ray,primary,P04150,ZN,
5EMP,2.3,X-ray,primary,P04150,ZN,
5EMQ,2.3,X-ray,primary,P04150,ZN,
5G3J,2.4,X-ray,primary,P04150;Q15596,E7T,CPS;EDO
5G5W,2.2,X-ray,primary,P04150;Q15596,R8C,EDO
5NFP,2.1,X-ray,primary,P04150;Q15596,8W5,CPS;EDO;GOL
5NFT,2.3,X-ray,primary,P04150;Q15596,8W8,EDO
5UC3,2.009,X-ray,primary,P04150,486,EDO;EPE;MPD
5VA0,2.295,X-ray,primary,P04150,ZN,
5VA7,2.153,X-ray,primary,P04150,ZN,
6BQU,2.5,X-ray,primary,P04150,ZN,
6CFN,2.5,X-ray,primary,P04150,ZN,
6DXK,3.05,X-ray,primary,P04150,HJ4,
6EL6,2.4,X-ray,primary,P04150;Q15596,B9Q,EDO
6EL7,2.18,X-ray,primary,P04150;Q15596,B9T,EDO
6EL9,2.19,X-ray,primary,P04150;Q15596,B9W,EDO
6X6D,2.48,X-ray,primary,P04150,ZN,CAC
6X6E,2.0,X-ray,primary,P04150,ZN,
6YMO,2.02,X-ray,primary,P04150;P63104,SAL,SO4
6YO8,2.09,X-ray,primary,P04150;P63104,,
6YOS,2.75,X-ray,primary,P04150;P63104,,
7KRJ,2.56,EM,primary,P04150;P07900;Q15185,ATP;DEX;MG,
7KW7,3.57,EM,primary,P04150;P07900;P0DMV8;P31948,ADP;MG,K
7PRV,2.7,X-ray,primary,P04150;Q9UBK2,GW6;ZN,EDO
7PRW,2.502,X-ray,primary,P04150;Q9UBK2,82H;ZN,EDO
7PRX,2.2,X-ray,primary,P04150;Q9UBK2,82H,
8A9G,1.961,X-ray,primary,P04150;P63104,MG;QJK,BTB
8FFV,3.01,EM,primary,P04150;P07900;Q02790,ATP;DEX;MG,
8FFW,3.23,EM,primary,P04150;P07900;Q13451,ATP;DEX;MG,
8VKZ,2.133,X-ray,primary,P04150;Q15596,A1ACE,
