pdb_id,resolution,method,mapping,uniprot_accessions,kept_ligands,excluded_ligands
1I9B,2.7,X-ray,surrogate,P58154,CA,EPE
1UV6,2.5,X-ray,surrogate,P58154,CCE,
1UW6,2.2,X-ray,surrogate,P58154,NCT,
1UX2,2.2,X-ray,surrogate,P58154,,EPE;NAG;NH4;SO4
1YI5,4.2,X-ray,surrogate,P01391;P58154,,
2BR7,3.0,X-ray,surrogate,Q8WSF8,,EPE
2BR8,2.4,X-ray,surrogate,P50984;Q8WSF8,,SO4
2BYN,2.02,X-ray,surrogate,Q8WSF8,,1PE;NAG;PG4
2BYP,2.07,X-ray,surrogate,P50983;Q8WSF8,,NAG
2BYQ,3.4,X-ray,surrogate,Q8WSF8,EPJ,
2BYR,2.45,X-ray,surrogate,Q8WSF8,MLK,
2BYS,2.05,X-ray,surrogate,Q8WSF8,LOB,
2C9T,2.25,X-ray,surrogate,P50983;Q8WSF8,,
2K58,,NMR,primary,P17787,,
2K59,,NMR,primary,P17787,,
2KSR,,NMR,primary,P17787,,
2LLY,,NMR,primary,P43681,,
2LM2,,NMR,primary,P17787,,
2PGZ,1.76,X-ray,surrogate,Q8WSF8,COC,NAG;PG4
2PH9,2.88,X-ray,surrogate,Q8WSF8,GNT,PG4
2UZ6,2.4,X-ray,surrogate,Q8WSF8,,GOL;NAG
2W8F,2.7,X-ray,surrogate,Q8WSF8,BS1,
2W8G,2.6,X-ray,surrogate,Q8WSF8,BS2,
2WN9,1.75,X-ray,surrogate,Q8WSF8,ZY5,NAG
2WNC,2.2,X-ray,surrogate,Q8WSF8,TKT,
2WNJ,1.8,X-ray,surrogate,Q8WSF8,ZY7,NAG
2WNL,2.7,X-ray,surrogate,Q8WSF8,AN4;AN5;MG,NAG;PG4
2WZY,2.51,X-ray,surrogate,Q8WSF8,SQX,
2X00,2.4,X-ray,surrogate,Q8WSF8,GYN,
2XNT,3.21,X-ray,surrogate,Q8WSF8,VU2,BR
2XNU,2.55,X-ray,surrogate,Q8WSF8,VU3,
2XNV,2.44,X-ray,surrogate,Q8WSF8,VU3,
2XYS,1.909,X-ray,surrogate,Q8WSF8,SY9,
2XYT,2.05,X-ray,surrogate,Q8WSF8,TC9,
2XZ5,2.8,X-ray,surrogate,Q8WSF8,ACH,CL;MPD;NAG;PO4
2XZ6,3.137,X-ray,surrogate,Q8WSF8,ETM,
2Y54,3.65,X-ray,surrogate,Q8WSF8,V63,CL;SO4
2Y56,3.59,X-ray,surrogate,Q8WSF8,V11,CL;GOL;SO4
2Y57,3.3,X-ray,surrogate,Q8WSF8,V37,CL;SO4
2Y58,3.25,X-ray,surrogate,Q8WSF8,V38,CL;SO4
2Y7Y,1.895,X-ray,surrogate,Q8WSF8,,
2YMD,1.96,X-ray,surrogate,Q8WSF8,SRO,GOL;PO4
2YME,2.4,X-ray,surrogate,Q8WSF8,CWB,NA;NAG;PO4
2ZJU,2.58,X-ray,surrogate,P58154,IM4,
2ZJV,2.7,X-ray,surrogate,P58154,CT4,
3C79,2.48,X-ray,surrogate,Q8WSF8,IM4,IPA
3C84,1.94,X-ray,surrogate,Q8WSF8,MG;TH4,IPA
3GUA,3.1,X-ray,surrogate,Q8WSF8,,SO4
3PEO,2.1,X-ray,surrogate,Q8WSF8,CU9,
3PMZ,2.44,X-ray,surrogate,Q8WSF8,MG;TUB,
3SH1,2.9,X-ray,surrogate,Q8WSF8,MG;MLK,ACT;MPD;MRD;NAG
3SIO,2.32,X-ray,surrogate,Q8WSF8,MLK,MPD;MRD;NAG
3T4M,3.0,X-ray,surrogate,Q8WSF8,CA,MPD;MRD;NAG
3U8J,2.35,X-ray,surrogate,P58154,09O,NAG;SO4
3U8K,2.47,X-ray,surrogate,P58154,09P,NAG;SO4
3U8L,2.32,X-ray,surrogate,P58154,09Q,SO4
3U8M,2.7,X-ray,surrogate,P58154,09R,SO4
3U8N,2.35,X-ray,surrogate,P58154,09S,NAG;SO4
3WIP,2.6,X-ray,surrogate,P58154,ACH,1PE;ACT;GOL;SO4
3WTH,2.54,X-ray,surrogate,P58154,IM4,
3WTI,2.68,X-ray,surrogate,P58154,CT4,
3WTJ,2.24,X-ray,surrogate,P58154,TH4,
3WTK,2.69,X-ray,surrogate,P58154,TH4,
3WTL,2.3,X-ray,surrogate,P58154,N1Y,
3WTM,2.48,X-ray,surrogate,P58154,N1Y,
3WTN,2.09,X-ray,surrogate,P58154,CD;N2Y,NA
3WTO,2.25,X-ray,surrogate,P58154,N2Y,
3ZDG,2.48,X-ray,surrogate,P58154,XRX,1PE;NAG;PEG;SO4
3ZDH,2.195,X-ray,surrogate,P58154,XRS,NAG;SO4
4AFT,3.2,X-ray,surrogate,Q8WSF8,QMR,
4ALX,2.3,X-ray,surrogate,P58154,IZN;MG,1PE
4BFQ,2.4,X-ray,surrogate,Q8WSF8,083,GOL
4BQT,2.88,X-ray,surrogate,Q8WSF8,C5E;CO,CL
4DBM,2.3,X-ray,surrogate,Q8WSF8,0J0,NAG
4EZ1,2.49,X-ray,surrogate,P69657;Q8WSF8,MN,
4FRR,2.2,X-ray,surrogate,Q8WSF8,0VC,GOL
4HQP,3.51,X-ray,surrogate,P58154;P60616,,NAG
4NZB,2.68,X-ray,surrogate,P58154,NSE,1PE;ACT;CL;GOL;NAG;SO4
4QAA,2.7,X-ray,surrogate,P58154,KK1,NAG;PO4
4QAB,2.984,X-ray,surrogate,P58154,KK2,NAG;PO4
4QAC,2.1,X-ray,surrogate,P58154,KK3,NAG;PO4
4UM1,2.83,X-ray,surrogate,P58154,09P,NAG
4UM3,2.703,X-ray,surrogate,P58154,09R,NAG;SO4
4WV9,2.0,X-ray,surrogate,Q8WSF8,MD4,
4XHE,1.9,X-ray,surrogate,Q8WSF8,40P;CA,CL
4XK9,2.2,X-ray,surrogate,Q8WSF8,41J,CL
4ZJS,2.2301,X-ray,surrogate,P02708;Q8WSF8,4P0,
4ZJT,1.85,X-ray,surrogate,P58154,4P6,PO4
4ZK1,1.75,X-ray,surrogate,P58154,4P7,PO4
4ZK4,1.901,X-ray,surrogate,P32297;Q8WSF8,MG;TII,PG4;SO4
4ZR6,2.6,X-ray,surrogate,P58154,4QW,
4ZRU,1.9,X-ray,surrogate,P58154,TI9,PO4
5AFH,2.4,X-ray,surrogate,P36544;P58154,L0B,
5AFJ,2.2,X-ray,surrogate,P36544;P58154,42R;L0B,BMA;GOL;MAN;NAG
5AFK,2.381,X-ray,surrogate,P36544;P58154,5VU;L0B,GOL
5AFL,2.385,X-ray,surrogate,P36544;P58154,FHV;L0B,GOL;TLA
5AFM,2.85,X-ray,surrogate,P36544;P58154,9Z0;L0B,GOL;NAG
5AFN,2.149,X-ray,surrogate,P36544;P58154,L0B;OJD,BMA;GOL;MAN;NAG
5AIN,2.3,X-ray,surrogate,Q8WSF8,QMR,
5BP0,2.4,X-ray,surrogate,P58154,FN1,NAG;PO4
5BRX,2.05,X-ray,surrogate,Q8WSF8,TI4,PG4;SO4
5BW2,2.27,X-ray,surrogate,Q8WSF8,4VU,
5CO5,2.1,X-ray,surrogate,Q86RB2;Q8WSF8,,
5J5F,2.04,X-ray,surrogate,P58154,6GH,DMS;GOL;NAG;PO4
5J5G,2.036,X-ray,surrogate,P58154,6GF,NAG;PO4
5J5H,2.7,X-ray,surrogate,P58154,6GK,NAG;PO4
5J5I,2.326,X-ray,surrogate,P58154,6GM,NAG;PO4
5JME,2.336,X-ray,surrogate,Q1L777;Q8WSF8,,
5KE4,2.554,X-ray,surrogate,Q8WSF8,6S7,
5KXI,3.941,X-ray,primary,P17787;P43681,NCT,NA;NAG
5KZU,2.3,X-ray,surrogate,Q8WSF8,74S,PG4;SO4
5LXB,2.34,X-ray,surrogate,Q8WSF8,7A9,NAG
5O87,2.2,X-ray,surrogate,Q8WSF8,NCT,EDO;IPA;NAG;PO4
5O8T,2.2,X-ray,surrogate,Q8WSF8,SY9,NAG
5OA0,2.6,X-ray,surrogate,Q8WSF8,SY9,EDO;NAG
5OAD,2.1,X-ray,surrogate,Q8WSF8,,EDO;EPE;NAG
5OAJ,2.47,X-ray,surrogate,Q8WSF8,TKT,EDO;FLC;NAG
5OAL,3.2,X-ray,surrogate,Q8WSF8,ARG;SY9,
5OAN,2.6,X-ray,surrogate,Q8WSF8,GLY,ACT;CL
5OBG,2.0,X-ray,surrogate,Q8WSF8,SY9,ACT;EDO;NA;NAG
5OBH,2.4,X-ray,surrogate,Q8WSF8,J94,CL;NAG
5SYO,2.0,X-ray,surrogate,P32297;Q8WSF8,C5E,
5T90,2.8,X-ray,surrogate,P58154,,
5TSF,2.286,X-ray,surrogate,Q8WSF8,7KO,NAG
5TVC,1.926,X-ray,surrogate,P32297;Q8WSF8,7LB,1PE;SO4
5TVH,2.4,X-ray,surrogate,Q8WSF8,7KO,DMS;NAG
5XGL,3.439,X-ray,surrogate,L8BU87;Q8WSF8,,
5Y2Q,2.363,X-ray,surrogate,P58154,8L3,
6CNJ,3.7,EM,primary,P17787;P43681,NCT,NA;NAG;Y01
6CNK,3.9,EM,primary,P17787;P43681,NCT,NA;NAG;Y01
6M4X,2.998,X-ray,surrogate,L8BU87;Q8WSF8,,
6M4Z,2.803,X-ray,surrogate,L8BU87;Q8WSF8,,
6QKK,2.2,X-ray,surrogate,Q8WSF8,H92;OXL,EDO;NAG;PO4
6QQO,2.5,X-ray,surrogate,Q8WSF8,JC8,EDO;NAG;PO4
6QQP,2.4,X-ray,surrogate,Q8WSF8,JCW,EDO;NAG
6SGV,2.6,X-ray,surrogate,Q8WSF8,LDQ,ACT;NAG
6SH0,2.5,X-ray,surrogate,Q8WSF8,4P0,ACT;GOL;NAG
6T9R,1.72,X-ray,surrogate,Q8WSF8,MXQ,CL;GOL;K;NAG;PO4
6UR8,3.71,EM,primary,P0ABE7;P17787;P43681,QMR,BMA;NAG
6USF,3.87,EM,primary,P0ABE7;P17787;P43681,QMR,BMA;NAG
7DJI,2.2,X-ray,surrogate,P58154,H8U,NAG
7EGR,2.503,X-ray,surrogate,P0C1D0;Q8WSF8,MG,
7N0W,2.46,X-ray,surrogate,P0DL39;P58154,,
7N0Y,2.58,X-ray,surrogate,P0DL39;P58154,,
7N43,2.47,X-ray,surrogate,P0C1R7;P58154,,
7NDP,2.0,X-ray,surrogate,P58154,U8T,CL;GOL;NAG;SO4
7NDV,1.7,X-ray,surrogate,P58154,U8Q,NAG;SO4
7PD6,2.0,X-ray,surrogate,P58154,7II,
7PDB,2.33,X-ray,surrogate,P58154,7IE,
7PDR,2.33,X-ray,surrogate,P58154,7JI,
7PE5,2.1,X-ray,surrogate,P58154,7OB,
7PE6,2.01,X-ray,surrogate,P58154,7OF,
7TXF,2.47,X-ray,surrogate,P0C1W6;P58154,,
8P11,1.9,X-ray,surrogate,P58154,WD5,CL;GOL
8P1E,2.1,X-ray,surrogate,P58154,WD2,GOL;NAG;SO4
8P1F,2.1,X-ray,surrogate,P58154,WCW,NAG
8P22,2.2,X-ray,surrogate,P58154,WNO,GOL;SO4
8Q1M,2.0,X-ray,surrogate,Q8WSF8,ILR,CL;NAG
8QTL,1.85,X-ray,surrogate,Q8WSF8,WSP,CL;IPA
8QX2,2.1,X-ray,surrogate,Q8WSF8,ILR,IPA
8SSZ,2.64,EM,primary,P17787;P43681,ACH;CA;OCT,NA;NAG
8ST0,2.4,EM,primary,P17787;P43681,ACH;OCT,NA;NAG
8ST1,3.41,EM,primary,P17787;P43681,ACH;CA,NA;NAG
8ST2,2.94,EM,primary,P17787;P43681,ACH,NA;NAG
8ST3,2.93,EM,primary,P17787;P43681,ACH;CA,NA;NAG
8ST4,2.35,EM,primary,P17787;P43681,ACH,NA;NAG
8XSU,2.632,X-ray,surrogate,P58154,A1LW0,NAG
8XSW,2.6,X-ray,surrogate,P58154,A1LW0,
9SG3,3.0,X-ray,surrogate,P58154,PHN,NAG;SO4
