pdb_id,het_code,chain,seqid,status,representative,centroid_distance,pocket_rmsd,n_pocket,aligned_mol2,message
4EK5,03K,A,300,kept,True,6.24,0.93,46,4EK5_03K_A300.mol2,
4FKI,09K,A,301,kept,True,6.66,0.96,47,4FKI_09K_A301.mol2,
4EK6,10K,A,301,kept,True,7.27,0.89,48,4EK6_10K_A301.mol2,
4FKJ,11K,A,301,kept,True,7.06,0.93,48,4FKJ_11K_A301.mol2,
4EK8,16K,A,301,kept,True,4.92,1.11,49,4EK8_16K_A301.mol2,
3SW4,18K,A,299,kept,True,4.94,1.15,46,3SW4_18K_A299.mol2,
3RM6,18Z,A,478,kept,True,2.96,1.07,47,3RM6_18Z_A478.mol2,
4EK4,1CK,A,301,kept,True,6.28,1.01,47,4EK4_1CK_A301.mol2,
4KD1,1QK,A,302,kept,True,4.28,1.04,47,4KD1_1QK_A302.mol2,
8FOW,1QK,A,303,kept,True,4.46,1.06,48,8FOW_1QK_A303.mol2,
4FKO,20K,A,301,kept,True,5.01,1.08,42,4FKO_20K_A301.mol2,
6Q4F,26D,A,301,kept,True,5.4,1.03,47,6Q4F_26D_A301.mol2,
7RA5,3I3,A,301,kept,True,3.01,0.91,48,7RA5_3I3_A301.mol2,
4RJ3,3QS,A,302,kept,True,3.16,0.96,47,4RJ3_3QS_A302.mol2,
2R3P,3SC,A,501,kept,True,3.23,0.92,47,2R3P_3SC_A501.mol2,
4FKS,46K,A,301,kept,True,5.04,1.05,48,4FKS_46K_A301.mol2,
4FKT,48K,A,301,kept,True,5.86,0.98,48,4FKT_48K_A301.mol2,
4FKG,4CK,A,300,kept,True,6.2,0.93,47,4FKG_4CK_A300.mol2,
2R3Q,5SC,A,501,kept,True,4.21,0.96,46,2R3Q_5SC_A501.mol2,
4FKU,60K,A,303,kept,True,4.65,1.01,46,4FKU_60K_A303.mol2,
4FKV,61K,A,301,kept,True,3.38,0.87,47,4FKV_61K_A301.mol2,
7VDU,65L,A,301,kept,True,4.9,0.88,46,7VDU_65L_A301.mol2,
5IEY,6AE,A,1001,kept,True,5.18,0.98,48,5IEY_6AE_A1001.mol2,
5K4J,6QB,A,301,kept,True,1.81,0.94,48,5K4J_6QB_A301.mol2,
2R3R,6SC,A,501,kept,True,4.61,0.95,46,2R3R_6SC_A501.mol2,
7RWE,7TH,A,301,kept,True,4.64,0.99,45,7RWE_7TH_A301.mol2,
4ACM,7YG,A,1302,kept,True,5.03,1.14,48,4ACM_7YG_A1302.mol2,
1JVP,89E,P,301,kept,True,5.15,1.02,49,1JVP_89E_P301.mol2,
7SA0,8KQ,A,305,kept,True,5.46,1.05,43,7SA0_8KQ_A305.mol2,
5MHQ,8QT,A,301,kept,True,3.85,0.99,47,5MHQ_8QT_A301.mol2,
5OO3,9ZB,A,301,kept,True,4.08,0.95,48,5OO3_9ZB_A301.mol2,
9JJ5,A1EB0,A,301,kept,True,3.2,1.13,49,9JJ5_A1EB0_A301.mol2,
9UGF,A1EO5,A,301,kept,True,3.91,0.99,48,9UGF_A1EO5_A301.mol2,
9UAU,A1EOM,A,301,kept,True,4.68,0.99,48,9UAU_A1EOM_A301.mol2,
9UAW,A1EOO,A,301,kept,True,4.3,1.01,47,9UAW_A1EOO_A301.mol2,
9FR2,A1IE9,A,301,kept,True,4.34,1.08,47,9FR2_A1IE9_A301.mol2,
9GNO,A1INI,A,301,kept,True,4.59,1.12,49,9GNO_A1INI_A301.mol2,
2CCH,ATP,C,1297,kept,True,0.74,0.75,48,2CCH_ATP_C1297.mol2,
4EOJ,ATP,A,301,kept,True,0.01,0.01,48,4EOJ_ATP_A301.mol2,
8FP5,ATP,A,302,kept,True,0.54,1.05,48,8FP5_ATP_A302.mol2,
6Q3C,BYZ,A,302,kept,True,5.94,1.01,47,6Q3C_BYZ_A302.mol2,
4FKL,CK2,A,300,kept,True,3.02,0.98,47,4FKL_CK2_A300.mol2,
7QHL,D5P,C,301,kept,True,5.24,0.44,45,7QHL_D5P_C301.mol2,
1H00,FAP,A,1300,kept,True,4.47,1.04,48,1H00_FAP_A1300.mol2,
6GUH,FB8,A,301,kept,True,4.09,0.81,48,6GUH_FB8_A301.mol2,
6GUK,FC8,A,301,kept,True,4.51,1.18,48,6GUK_FC8_A301.mol2,
1H00,FCP,A,1400,kept,True,4.69,1.04,48,1H00_FCP_A1400.mol2,
1OIT,HDT,A,1299,kept,True,4.33,1.06,49,1OIT_HDT_A1299.mol2,
6Q4H,HGH,A,301,kept,True,2.0,1.2,47,6Q4H_HGH_A301.mol2,
