pdb_id,resolution,method,mapping,uniprot_accessions,kept_ligands,excluded_ligands
21TP,3.0,EM,primary,O60939;Q07699;Q15858,A1E26,LPE;NAG;PCW;Y01
21TQ,2.7,EM,primary,O60939;Q07699;Q15858,A1E26;P3X,LPE;NAG;PCW;Y01
5EK0,3.53,X-ray,primary,A8EVM5;Q15858,5P2,PX4
6J8G,3.2,EM,primary,O60939;Q07699;Q15858,9SL,NAG
6J8H,3.2,EM,primary,O60939;Q07699;Q15858,9SL,NAG
6J8I,3.2,EM,primary,O60939;Q07699;Q15858,9SR,NAG
6J8J,3.2,EM,primary,O60939;Q07699;Q15858,9SR,NAG
6N4Q,3.6,EM,primary,A8EVM5;P83476;Q15858,,
6N4R,4.2,EM,primary,A8EVM5;P83476;Q15858,,
6NT3,3.4,EM,primary,D0E0C2;Q15858,76F;AJP,LHG;NAG;Y01
6NT4,3.5,EM,primary,D0E0C2;P01484;Q15858,76F;AJP,LHG;NAG;Y01
6VXO,3.5,EM,primary,Q15858;Q9KCR8,,POV
6W6O,3.2,EM,primary,P83303;Q15858;Q9KCR8,,POV
7K48,3.6,EM,primary,A8EVM5;P0AEX9;P83303;Q15858,,
7W9K,2.2,EM,primary,O60939;Q07699;Q15858,1PW;9Z9;P5S,LPE;NA;NAG;PCW;Y01
7W9L,3.5,EM,primary,O60939;Q07699;Q15858,9Z9;P5S,LPE;NAG;PCW;Y01
7W9M,3.0,EM,primary,O60939;Q07699;Q15858,9SR;P5S,LPE;NAG;Y01
7W9P,2.9,EM,primary,O60939;Q07699;Q15858,1PW;9SL;P5S,LPE;NAG;PCW;Y01
7W9T,3.0,EM,primary,O60939;Q07699;Q15858,9SL;9Z9;P5S,LPE;NAG;PCW;Y01
7XM9,3.22,EM,primary,O60939;Q07699;Q15858,6OU;G2E,NAG
7XMF,3.07,EM,primary,O60939;Q07699;Q15858,G2W,NAG
7XMG,3.09,EM,primary,O60939;Q07699;Q15858,G4I,NAG
7XVE,2.7,EM,primary,O60939;Q07699;Q15858,1PW;P5S,CLR;LPE;NAG;PCW;Y01
7XVF,2.8,EM,primary,O60939;Q07699;Q15858,1PW;P5S,CLR;LPE;NAG;PCW;Y01
8F0P,2.2,EM,primary,D0E0C2;Q15858,X7L,NAG;PEE;Y01
8F0Q,2.5,EM,primary,D0E0C2;Q15858,X7R,BMA;NAG;PEE;Y01
8F0R,2.9,EM,primary,D0E0C2;Q15858,X7W,NAG;PEE;Y01
8F0S,3.1,EM,primary,D0E0C2;P49126;Q15858,X80,NAG;PEE;Y01
8G1A,2.8,EM,primary,O60939;Q07699;Q15858,9Z9;P0T;P5S,LPE;NAG;PCW;Y01
8I5B,2.7,EM,primary,O60939;Q07699;Q15858,OJ0;P5S,LPE;NAG;PCW;Y01
8I5G,2.7,EM,primary,O60939;Q07699;Q15858,9Z9;T70,LPE;NA;NAG;PCW;Y01
8I5X,2.9,EM,primary,O60939;Q07699;Q15858,9Z9;P5S;T7F,LPE;NAG;PCW;Y01
8I5Y,2.6,EM,primary,O60939;Q07699;Q15858,1PW;9Z9;P5S;TB4,LPE;NA;NAG;PCW;Y01
8J4F,3.0,EM,primary,Q07699;Q15858,9Z9;UK0,LPE;NAG;PCW;Y01
8S9B,2.9,EM,primary,O60939;Q07699;Q15858,LQO;P5S,LPE;NAG;PCW;Y01
8S9C,3.2,EM,primary,O60939;Q07699;Q15858,N6W;P5S,LPE;NAG;PCW;Y01
8THG,2.9,EM,primary,O60939;Q07699;Q15858,657;P5S,LPE;NAG;PCW;Y01
8THH,2.7,EM,primary,O60939;Q07699;Q15858,IYJ;P5S,LPE;NAG;PCW;Y01
8XMM,2.89,EM,primary,Q07699;Q15858,1PW;P5S,CLR;LPE;NAG;PCW
8XMN,3.37,EM,primary,O60939;Q07699;Q15858,,LPE;NAG;PCW
8XMO,3.39,EM,primary,O60939;Q07699;Q15858,,LPE;NAG;PCW
8YHZ,1.62,X-ray,primary,Q15858,,
9ITI,2.92,EM,primary,Q15858,1PW;9Z9;P5S,LPE;NA;NAG;PCW;Y01
