pdb_id,resolution,method,mapping,uniprot_accessions,kept_ligands,excluded_ligands
24JS,3.5,X-ray,primary,A8EVM5,,1N7;LMT;PX4
24JT,4.1,X-ray,primary,A8EVM5,CA,1N7;LMT
24JU,3.7,X-ray,primary,A8EVM5,,1N7;LMT;PX4
3RVY,2.7,X-ray,primary,A8EVM5,,PX4
3RVZ,2.8,X-ray,primary,A8EVM5,,PX4
3RW0,2.95,X-ray,primary,A8EVM5,,PX4
4EKW,3.21,X-ray,primary,A8EVM5,,PO4;PX4
4MS2,2.75,X-ray,primary,A8EVM5,CA,PX4
4MTF,3.2,X-ray,primary,A8EVM5,CA,PX4
4MTG,3.296,X-ray,primary,A8EVM5,CA,PX4
4MTO,3.402,X-ray,primary,A8EVM5,CA,PX4
4MVM,3.1997,X-ray,primary,A8EVM5,CA,PX4
4MVO,3.296,X-ray,primary,A8EVM5,CA,PX4
4MVQ,3.4,X-ray,primary,A8EVM5,CA,PX4
4MVR,3.196,X-ray,primary,A8EVM5,MN,PX4
4MVS,3.299,X-ray,primary,A8EVM5,CD,PX4
4MVU,3.198,X-ray,primary,A8EVM5,CA,PX4
4MVZ,3.3,X-ray,primary,A8EVM5,CA,PX4
4MW3,3.2997,X-ray,primary,A8EVM5,CA,PX4
4MW8,3.256,X-ray,primary,A8EVM5,CA,PX4
5EK0,3.53,X-ray,primary,A8EVM5;Q15858,5P2,PX4
5KLB,2.7,X-ray,primary,A8EVM5,CA,CPS;MC3
5KLG,3.3,X-ray,primary,A8EVM5,6UC;CA,MC3
5KLS,3.299,X-ray,primary,A8EVM5,6UC;CA,MC3
5KMD,3.2,X-ray,primary,A8EVM5,6UB;CA,MC3
5KMF,3.2,X-ray,primary,A8EVM5,6U9;CA,MC3
5KMH,3.2,X-ray,primary,A8EVM5,6U8;CA,MC3;PX6
5VB2,3.2,X-ray,primary,A8EVM5,,CL;CPS;PO4;PX4
5VB8,2.85,X-ray,primary,A8EVM5,,NA;PX4;SO4
5YUA,2.8008556672,X-ray,primary,A8EVM5,CA,1N7;LMT;PX4
5YUB,3.40003993335,X-ray,primary,A8EVM5,CA,1N7;LMT
5YUC,3.40099156989,X-ray,primary,A8EVM5,CA,1N7;LMT
6C1E,2.86,X-ray,primary,A8EVM5,BNC;UHH,PX4
6C1K,2.7,X-ray,primary,A8EVM5,GAI,NA;PX4;SO4
6C1M,2.518,X-ray,primary,A8EVM5,MGX,1N7;NA;PX4;SO4
6C1P,2.9,X-ray,primary,A8EVM5,,1N7;PO4;PX4
6JUH,3.0,X-ray,primary,A8EVM5,C9X;CA;G3P,MC3;PX4
6KE5,2.803,X-ray,primary,A8EVM5,6UB;CA;D6C;G3P,LPC
6KEB,3.2,X-ray,primary,A8EVM5,CA;D6C,PX4
6MVV,2.9,X-ray,primary,A8EVM5,,PO4;PX4
6MVW,3.198,X-ray,primary,A8EVM5,,PO4;PX4
6MVX,3.455,X-ray,primary,A8EVM5,K4D,PO4
6MVY,3.002,X-ray,primary,A8EVM5,,PX4;SO4
6MWA,2.4,X-ray,primary,A8EVM5,,CPS;PX4;SO4
6MWB,2.6,X-ray,primary,A8EVM5,,CPS;PX4;SO4
6MWD,2.327,X-ray,primary,A8EVM5,,ACT;CPS;PX4;SO4
6MWG,2.501,X-ray,primary,A8EVM5,,ACT;CPS;PX4
6N4Q,3.6,EM,primary,A8EVM5;P83476;Q15858,,
6N4R,4.2,EM,primary,A8EVM5;P83476;Q15858,,
6P6W,4.0,EM,primary,A8EVM5;P0AEX9,,
6P6X,2.75,X-ray,primary,A8EVM5,,CPS;PX4
6P6Y,2.89,X-ray,primary,A8EVM5,,CPS;PX4
7K48,3.6,EM,primary,A8EVM5;P0AEX9;P83303;Q15858,,
8DIV,2.54,X-ray,primary,A8EVM5,,BGC;CPS;PX4
8DIW,3.11,X-ray,primary,A8EVM5,,CPS;PX4
8DIX,3.3,X-ray,primary,A8EVM5,,PX4
8DIY,2.85,X-ray,primary,A8EVM5,,CPS;PX4
8DIZ,2.75,X-ray,primary,A8EVM5,,PX4
8DJ0,2.7,X-ray,primary,A8EVM5,,CPS;PX4
8DJ1,3.1,X-ray,primary,A8EVM5,,CPS;PX4
8H9O,3.3,X-ray,primary,A8EVM5,,1N7;LMT;NA;PX4
8H9W,2.7,X-ray,primary,A8EVM5,CA,1N7;LMT;PX4
8H9X,3.4,X-ray,primary,A8EVM5,,1N7;LMT;NA;PX4
8H9Y,3.4,X-ray,primary,A8EVM5,CA,1N7;LMT;PX4
8HA1,3.5,X-ray,primary,A8EVM5,,1N7;LMT;NA;PX4
8HA2,3.3,X-ray,primary,A8EVM5,CA,1N7;LMT;PX4
8VGL,2.6,EM,primary,A8EVM5,,
8VGM,2.6,EM,primary,A8EVM5,,
9UC1,2.5,X-ray,primary,A8EVM5,CA,1N7;LMT;PX4
9UC2,2.8,X-ray,primary,A8EVM5,CA,1N7;LMT;PX4
9UC3,2.9,X-ray,primary,A8EVM5,CA,1N7;LMT;PX4
9UC4,3.4,X-ray,primary,A8EVM5,CA,1N7;LMT;PX4
9VDQ,3.1,X-ray,primary,A8EVM5,,1N7;NA;PX4
9VDR,3.7,X-ray,primary,A8EVM5,,1N7;LMT;NA;PX4
9VDS,3.7,X-ray,primary,A8EVM5,,1N7;LMT;NA
9VDT,3.5,X-ray,primary,A8EVM5,,1N7;LMT;NA;PX4
9VDU,3.4,X-ray,primary,A8EVM5,,1N7;NA;PX4
