pdb_id,resolution,method,mapping,uniprot_accessions,kept_ligands,excluded_ligands
3UON,3.0,X-ray,primary,P00720;P08172,QNB,BGC;CL
4MQS,3.5,X-ray,primary,P08172,IXO,
4MQT,3.7,X-ray,primary,P08172,2CU;IXO,
5YC8,2.5,X-ray,primary,P08172;P0ABE7,3C0;HG,
5ZK3,2.6,X-ray,primary,P08172;P0ABE7,QNB,
5ZK8,3.0,X-ray,primary,P08172;P0ABE7,3C0,
5ZKB,2.95,X-ray,primary,P08172;P0ABE7,82F,
5ZKC,2.3,X-ray,primary,P08172;P0ABE7,3C0,
6OIK,3.6,EM,primary,P08172;P09471;P59768;P62873,2CU;IXO,
6U1N,4.0,EM,primary,P08172;P29066;P30518;Q7Z3Y4;V9HW68,2CU,
7T8X,3.21,EM,primary,P08172;P09471;P59768;P62873,ACH,
7T90,3.32,EM,primary,P08172;P09471;P59768;P62873,ACH,
7T94,3.16,EM,primary,P08172;P09471;P59768;P62873,2CU;ACH,
7T96,3.22,EM,primary,P08172;P09471;P59768;P62873,2CU;ACH,
8J8R,2.9,EM,primary,P08172;P32120,,
8J97,3.2,EM,primary,P08172;P17870,,
8JAF,3.1,EM,primary,P08172;P17870,,
