pdb_id,het_code,chain,seqid,status,representative,centroid_distance,pocket_rmsd,n_pocket,aligned_mol2,message
7W9K,9Z9,A,2006,kept,True,3.08,0.86,42,7W9K_9Z9_A2006.mol2,
7W9L,9Z9,A,2006,kept,True,2.84,0.97,44,7W9L_9Z9_A2006.mol2,
7W9T,9Z9,A,2007,kept,True,2.86,0.96,44,7W9T_9Z9_A2007.mol2,
8G1A,9Z9,A,2009,kept,True,3.12,1.34,40,8G1A_9Z9_A2009.mol2,
8I5G,9Z9,A,2003,kept,True,2.92,0.99,43,8I5G_9Z9_A2003.mol2,
8I5X,9Z9,A,2006,kept,True,2.81,0.95,42,8I5X_9Z9_A2006.mol2,
8I5Y,9Z9,A,2005,kept,True,3.06,0.96,42,8I5Y_9Z9_A2005.mol2,
8J4F,9Z9,A,2006,kept,True,2.61,1.02,43,8J4F_9Z9_A2006.mol2,
9ITI,9Z9,A,2024,kept,True,2.99,0.95,44,9ITI_9Z9_A2024.mol2,
8THH,IYJ,A,2004,kept,True,1.98,0.55,43,8THH_IYJ_A2004.mol2,
8S9B,LQO,A,2003,kept,True,2.1,0.59,43,8S9B_LQO_A2003.mol2,
8S9C,N6W,A,2003,kept,True,0.61,0.58,43,8S9C_N6W_A2003.mol2,
8I5B,OJ0,A,2021,kept,True,0.0,0.0,45,8I5B_OJ0_A2021.mol2,
7W9K,1PW,A,2013,off_site,False,19.95,0.86,42,,
7W9P,1PW,A,2011,off_site,False,19.19,0.86,43,,
7XVE,1PW,A,2007,off_site,False,19.31,1.14,43,,
7XVF,1PW,A,2007,off_site,False,19.37,1.03,39,,
8I5Y,1PW,A,2012,off_site,False,20.42,0.96,42,,
8XMM,1PW,A,2005,off_site,False,19.49,0.96,39,,
9ITI,1PW,A,2007,off_site,False,17.78,0.95,44,,
5EK0,5P2,D,1806,off_site,False,47.9,1.77,16,,
5EK0,5P2,A,1808,off_site,False,46.91,1.95,14,,
5EK0,5P2,B,1806,off_site,False,46.95,2.08,13,,
5EK0,5P2,C,1805,off_site,False,48.77,1.72,16,,
8THG,657,A,2003,off_site,False,19.89,0.7,43,,
7XM9,6OU,A,2303,off_site,False,26.2,0.69,42,,
6NT3,76F,A,1618,off_site,False,36.26,1.55,38,,
6NT3,76F,A,1617,off_site,False,35.61,1.55,38,,
6NT3,76F,A,1616,off_site,False,25.11,1.55,38,,
6NT3,76F,A,1615,off_site,False,42.96,1.55,38,,
6NT4,76F,A,1606,off_site,False,42.48,1.5,40,,
6NT4,76F,A,1607,off_site,False,27.16,1.5,40,,
6NT4,76F,A,1608,off_site,False,24.34,1.5,40,,
6NT4,76F,A,1610,off_site,False,37.43,1.5,40,,
6NT4,76F,A,1609,off_site,False,36.2,1.5,40,,
6J8G,9SL,A,2007,off_site,False,31.53,0.63,42,,
