pdb_id,het_code,chain,seqid,status,centroid_distance,pocket_rmsd,n_pocket,aligned_mol2,message
5IKV,FLF,A,601,kept,2.77,0.27,56,5IKV_FLF_A601.mol2,
5IKV,FLF,B,601,kept,2.78,0.26,56,5IKV_FLF_B601.mol2,
5IKR,ID8,A,601,kept,3.06,0.28,56,5IKR_ID8_A601.mol2,
5IKR,ID8,B,602,kept,3.01,0.32,56,5IKR_ID8_B602.mol2,
5IKQ,JMS,A,602,kept,2.82,0.4,56,5IKQ_JMS_A602.mol2,
5IKQ,JMS,B,602,kept,2.81,0.28,56,5IKQ_JMS_B602.mol2,
5KIR,RCX,A,601,kept,0.0,0.0,56,5KIR_RCX_A601.mol2,
5KIR,RCX,B,601,kept,0.05,0.17,56,5KIR_RCX_B601.mol2,
5F1A,SAL,A,601,kept,4.2,0.26,56,5F1A_SAL_A601.mol2,
5F1A,SAL,B,601,kept,4.32,0.25,56,5F1A_SAL_B601.mol2,
5IKT,TLF,A,601,kept,3.1,0.3,56,5IKT_TLF_A601.mol2,
5IKT,TLF,B,601,kept,3.11,0.27,56,5IKT_TLF_B601.mol2,
5F19,AKR,A,607,off_site,35.85,0.24,56,,
5F19,AKR,A,608,off_site,27.83,0.24,56,,
5F19,AKR,B,608,off_site,35.88,0.25,56,,
5F19,AKR,B,609,off_site,41.03,0.25,56,,
5F1A,AKR,B,609,off_site,35.89,0.25,56,,
5F1A,AKR,B,610,off_site,30.04,0.25,56,,
5F1A,AKR,A,608,off_site,36.02,0.26,56,,
5IKQ,AKR,A,610,off_site,34.52,0.4,56,,
5IKQ,AKR,B,610,off_site,30.07,0.28,56,,
5IKQ,AKR,B,609,off_site,36.23,0.28,56,,
5F19,COH,A,601,off_site,19.39,0.24,56,,
5F19,COH,B,601,off_site,19.57,0.25,56,,
5F1A,COH,B,602,off_site,19.5,0.25,56,,
5F1A,COH,A,602,off_site,19.28,0.26,56,,
5IKQ,COH,A,609,off_site,19.63,0.4,56,,
5IKQ,COH,B,601,off_site,19.43,0.28,56,,
5IKR,COH,A,602,off_site,19.27,0.28,56,,
5IKR,COH,B,603,off_site,19.3,0.32,56,,
5IKT,COH,A,602,off_site,19.4,0.3,56,,
5IKT,COH,B,602,off_site,19.39,0.27,56,,
5IKV,COH,A,602,off_site,19.28,0.27,56,,
5IKV,COH,B,602,off_site,19.31,0.26,56,,
5KIR,COH,A,602,off_site,19.49,0.0,56,,
5KIR,COH,B,602,off_site,19.66,0.17,56,,
