pdb_id,resolution,method,mapping,uniprot_accessions,kept_ligands,excluded_ligands
1B41,2.76,X-ray,primary,P0C1Z0;P22303,,NAG
1F8U,2.9,X-ray,primary,P0C1Z0;P22303,,
1VZJ,2.35,X-ray,primary,P22303;Q9Y215,,
2X8B,2.95,X-ray,primary,P0C1Z0;P22303,,CL;NAG;SO4;UNX
3LII,3.2,X-ray,primary,P22303,,SO4
4BDT,3.104,X-ray,primary,P0C1Z0;P22303,HUW,CL;SO4
4EY4,2.156,X-ray,primary,P22303,,EDO;NAG;NO3;PE8
4EY5,2.3012,X-ray,primary,P22303,HUP,DMS;EDO;NAG;NO3
4EY6,2.3983,X-ray,primary,P22303,GNT,EDO;NAG;NO3;PE8
4EY7,2.3509,X-ray,primary,P22303,E20,EDO;NAG;NO3
4EY8,2.5958,X-ray,primary,P0C1Z0;P22303,,NAG;SO4
4M0E,2.0,X-ray,primary,P22303,1YL,EDO;NAG;NO3
4M0F,2.304,X-ray,primary,P22303,1YK,EDO;NAG;NO3
4PQE,2.9,X-ray,primary,P22303,,
5FPQ,2.4,X-ray,primary,P22303,,1PE
5HF5,2.152,X-ray,primary,P22303,DEP,EDO;NAG;NO3;PE8
5HF6,2.3,X-ray,primary,P22303,EFS,EDO;NAG
5HF8,2.8,X-ray,primary,P22303,DEP;EFS,EDO;NAG;NO3
5HF9,2.2,X-ray,primary,P22303,DEP;HI6,EDO;NAG;NO3;PE8
5HFA,2.201,X-ray,primary,P22303,DEP;FP1,EDO;NAG;NO3
5HQ3,2.6,X-ray,primary,P22303,VX,MES
6CQT,2.273,X-ray,primary,P22303,VX,7PE;NAG
6CQU,2.308,X-ray,primary,P22303,HI6,7PE;NAG
6CQV,2.601,X-ray,primary,P22303,HI6;VX,NAG
6CQW,2.278,X-ray,primary,P22303,HI6;VX,NAG
6CQX,2.4,X-ray,primary,P22303,VX,7PE;NAG
6CQY,2.449,X-ray,primary,P22303,HI6;VX,NAG
6CQZ,2.216,X-ray,primary,P22303,VX,NAG
6F25,3.05199647812,X-ray,primary,P22303,CVZ,CL;NAG;SO4
6NEA,2.419,X-ray,primary,P22303,HLO,FUC;NAG
6NTG,2.652,X-ray,primary,P22303,HI6;L1M,NAG
6NTH,2.421,X-ray,primary,P22303,L0S,NAG
6NTK,2.406,X-ray,primary,P22303,L0S,7PE;NAG
6NTL,2.25,X-ray,primary,P22303,L1M,7PE
6NTM,2.552,X-ray,primary,P22303,HI6;L0S,NAG
6NTN,2.697,X-ray,primary,P22303,HI6;L2Y,NAG
6NTO,2.052,X-ray,primary,P22303,L2Y,7PE;NAG;PEG
6O4W,2.35,X-ray,primary,P22303,E20,GOL;NO3
6O4X,2.3,X-ray,primary,P22303,AA,GOL;NO3
6O50,2.352,X-ray,primary,P22303,EBW,GOL;NO3
6O52,3.2,X-ray,primary,P22303,EBW,
6O5R,2.8,X-ray,primary,P22303,LND,CL
6O5S,2.801,X-ray,primary,P22303,LND;VX,
6O5V,2.152,X-ray,primary,P22303,LND,GOL;NO3
6O66,2.452,X-ray,primary,P22303,LND,GOL
6O69,2.081,X-ray,primary,P22303,,
6U34,2.4,X-ray,primary,P22303,PQV,GOL;NO3
6U37,2.25,X-ray,primary,P22303,PQV;VX,GOL;NO3
6U3P,3.0,X-ray,primary,P22303,PQY,DMS
6WUV,2.63,X-ray,primary,P22303,ELT,NAG
6WUY,2.46,X-ray,primary,P22303,ELT;HI6,NAG
6WUZ,2.253,X-ray,primary,P22303,UCJ,7PE;NAG
6WV1,2.372,X-ray,primary,P22303,HI6;UCJ,7PE;NAG
6WVC,2.599,X-ray,primary,P22303,UCY,7PE;NAG
6WVO,2.19,X-ray,primary,P22303,GD8;HI6,EDO;NAG;NO3;PE8
6WVP,2.308,X-ray,primary,P22303,WW2,7PE;NAG
6WVQ,2.289,X-ray,primary,P22303,UCY,7PE;NAG
6ZWE,3.0,X-ray,primary,P22303,QRH,BR;CL;NAG;SO4
7D9O,2.45,X-ray,primary,P22303,H0L,
7D9P,2.85,X-ray,primary,P22303,H0R,
7D9Q,2.66,X-ray,primary,P22303,H1R,
7E3D,2.5,X-ray,primary,P22303,,PE8
7E3H,2.45,X-ray,primary,P22303,E20,
7P1N,2.95,X-ray,primary,P22303,4J1;MG,CL;GOL;SO4
7P1P,3.03,X-ray,primary,P22303,4IX;MG,CL;SO4
7RB5,2.8,X-ray,primary,P22303,NWA,
7RB6,2.4,X-ray,primary,P22303,NWA,GOL;NO3
7RB7,2.6,X-ray,primary,P22303,3VI;NWA,
7XN1,2.85,X-ray,primary,P22303,THA,PE8
8AEN,3.01,X-ray,primary,P22303,LWL;MG;ZN,CL;SO4
8AEV,2.89,X-ray,primary,P22303,LWU;MG;ZN,CL;SO4
8DT2,2.803,X-ray,primary,P22303,DEP,DMS;GOL
8DT4,2.8,X-ray,primary,P22303,3VI;DEP,GOL
8DT5,2.6,X-ray,primary,P22303,DEP;LND,GOL
8DT7,2.207,X-ray,primary,P22303,3VI,GOL;NO3
9F6R,2.75,X-ray,primary,P22303,A1AAJ;A1IAS;MG,ACT;CL;EPE;GOL;NA;SO4
9OMS,2.4,X-ray,primary,P22303,A1CD5,GOL;NO3
9OMT,2.704,X-ray,primary,P22303,A1CDA;DEP,DMS;GOL;NO3
