pdb_id,resolution,method,mapping,uniprot_accessions,kept_ligands,excluded_ligands
4COF,2.97,X-ray,primary,P28472,BEN,CL;NAG
5O8F,3.2,X-ray,primary,P28472;P31644,P9N,NAG
5OJM,3.3,X-ray,primary,P28472;P31644,,NAG
6A96,3.51,EM,primary,P28472;P31644,ABU,
6CDU,3.45,X-ray,primary,E0SJQ4;P14867,EY4,
6D1S,3.2,X-ray,primary,E0SJQ4;P14867,,
6D6T,3.86,EM,primary,P14867;P18507;P47870,ABU;FYP,NAG;Y01
6D6U,3.92,EM,primary,P14867;P18507;P47870,ABU;FYP,NAG;Y01
6HUG,3.1,EM,primary,P08219;P18507;P28472,RI5,PIO
6HUJ,3.04,EM,primary,P08219;P14867;P18507;P28472,ABU;RI5,PIO
6HUK,3.69,EM,primary,P08219;P18507;P28472,H0Z,PIO
6HUO,3.26,EM,primary,P08219;P14867;P18507;P28472,08H;ABU,PIO
6HUP,3.58,EM,primary,P08219;P18507;P28472,ABU;DZP,PIO
6I53,3.2,EM,primary,P14867;P18507;P28472,,PIO;POV
6QFA,2.49,EM,primary,B5Z8H1;P28472,HSM,NAG
6X3S,3.12,EM,primary,P14867;P18507;P47870,J94,MAN;NAG
6X3T,2.55,EM,primary,P14867;P18507;P47870,ABU;PFL,NAG
6X3U,3.5,EM,primary,P14867;P18507;P47870,ABU;FYP,NAG
6X3V,3.5,EM,primary,P14867;P18507;P47870,ABU;V8D,NAG
6X3W,3.3,EM,primary,P14867;P18507;P47870,ABU;UQA,NAG
6X3X,2.92,EM,primary,P14867;P18507;P47870,ABU;DZP,NAG
6X3Z,3.23,EM,primary,P14867;P18507;P47870,ABU,NAG
6X40,2.86,EM,primary,P14867;P18507;P47870,ABU;RI5,NAG
7A5V,1.7,EM,primary,P28472,HSM;OCT;R16,CL;D10;NAG
7PBD,3.04,EM,primary,P14867;P28472,ABU;HSM,NAG
7PBZ,2.79,EM,primary,P14867;P28472,ABU;HSM;OCT;UND;ZN,D10;HEX;NAG
7PC0,3.0,EM,primary,P01391;P14867;P28472,HSM;ZN,HEX;NAG
7QN5,2.5,EM,primary,O14764;P28472;P48169,OCT,CL;D10;EPE;NAG;PX6
7QN6,2.9,EM,primary,O14764;P28472,,EPE;NAG
7QN7,3.0,EM,primary,O14764;P28472;P48169,ABU;HSM;R16,D10;NAG;PX6
7QN8,3.1,EM,primary,O14764;P28472,HSM,NAG
7QN9,2.9,EM,primary,O14764;P28472;P48169,HSM;R16,D10;NAG
7QNA,3.0,EM,primary,P18507;P28472;P48169,ABU,NAG
7QNB,3.1,EM,primary,P18507;P28472,ABU,NAG
7QNC,2.9,EM,primary,O14764;P28472;P48169,EI7;HSM,D10;NAG
7QND,3.4,EM,primary,O14764;P28472,EI7;HSM,NAG
7QNE,2.7,EM,primary,P14867;P18507;P28472,EIE;OCT,CL;D10;NAG;PIO
7T0W,3.0,EM,primary,P14867;P18507;P47870,,
7T0Z,3.0,EM,primary,P14867;P18507;P47870,ABU,MAN;NAG
8BHG,2.39,X-ray,primary,P18507;P31644,DMU;QMU,NAG;NO3
8DD2,2.9,EM,primary,P14867;P18507;P47870,ABU;R5R,NAG
8DD3,2.9,EM,primary,P14867;P18507;P47870,ABU;R63,NAG
8PET,2.6,EM,primary,P14867;P28472,R16;ZN,D10;PIO
8PVB,3.6,EM,primary,P28472,HSM;R16;V8D,CL;D10
8SGO,2.65,EM,primary,P14867;P18507;P47870,A8W;ABU;PTY;Q3G,NAG
8SI9,2.98,EM,primary,P14867;P18507;P47870,ABU;Y4B,NAG
8SID,2.71,EM,primary,P14867;P18507;P47870,ABU;PTY;Q3G;ZWY,NAG;POV
8VQY,2.82,EM,primary,P14867;P18507;P47870,A1ADG;ABU;PTY;Q3G,
8VRN,2.57,EM,primary,P14867;P18507;P47870,A1ADN;ABU;PTY;Q3G,POV
9CRS,2.9,EM,primary,P14867;P18507;P47870,ABU,NAG;PIO;POV
9CRV,3.18,EM,primary,P14867;P18507;P47869;P47870,ABU,NAG;PIO;POV
9CSB,3.34,EM,primary,P14867;P18507;P28472;P47869;P47870,,NAG;PIO;POV
9CT0,3.19,EM,primary,P14867;P18507;P47869;P47870,ABU,NAG;PIO;POV
