pdb_id,resolution,method,mapping,uniprot_accessions,kept_ligands,excluded_ligands
7CKW,3.22,EM,primary,P21728;P59768;P62873;P63092,G3C,CLR
7CKX,3.54,EM,primary,P21728;P59768;P62873;P63092,G3O,CLR
7CKY,3.2,EM,primary,P21728;P59768;P62873;P63092,G3U,CLR
7CKZ,3.1,EM,primary,P21728;P59768;P62873;P63092,G4C;LDP,CLR
7CRH,3.3,EM,primary,P21728;P59768;P62873;P63092,GBU,
7F0T,3.1,EM,primary,P21728;P59768;P62873;P63092,LDP,
7F1O,3.13,EM,primary,P21728;P59768;P62873;P63092,GDP;LDP;MG,
7F1Z,3.46,EM,primary,P21728;P59768;P62873;P63092,GDP;LDP,
7F23,3.58,EM,primary,P21728;P59768;P62873;P63092,GTP;LDP,
7F24,4.16,EM,primary,P21728;P59768;P62873;P63092,GTP;LDP,
7JOZ,3.8,X-ray,primary,D9IEF7;P21728;P59768;P62873;P63092,VFP,1PE
7JV5,3.0,EM,primary,P21728;P59768;P62873;P63092,SK0,CLR;PLM
7JVP,2.9,EM,primary,P21728;P59768;P62873;P63092,SK9,CLR;PLM
7JVQ,3.0,EM,primary,P21728;P59768;P62873;P63092,OR9,CLR;PLM
7LJC,3.0,EM,primary,P21728;P54311;P63092;P63212,G4C;SK0,CLR;PLM
7LJD,3.2,EM,primary,P21728;P54311;P63092;P63212,G4C;LDP,CLR;PLM
7X2C,3.2,EM,primary,P21728;P59768;P62873;P63092,G3C,CLR
7X2D,3.3,EM,primary,P21728;P59768;P62873;P63092,86W,CLR
7X2F,3.0,EM,primary,P21728;P59768;P62873;P63092,G4C;LDP,CLR
8IRR,3.2,EM,primary,P21728;P59768;P62873,R5F,CLR
8JXR,3.57,EM,primary,P06654;P0A015;P0AEX9;P21728;P38507,7LD,
8JXS,3.0,EM,primary,P06654;P0A015;P0AEX9;P21728,V6X,
9I52,2.8,EM,primary,P07550;P21728;P59768;P62873;P63092,A1IZU,
9I54,2.72,EM,primary,P07550;P21728;P59768;P62873;P63092,A1IZV,
9LLE,2.9,EM,primary,P21728;P59768;P62873;P63092,LDP,
9LLF,2.64,EM,primary,P21728;P59768;P62873;P63092,LDP,
9LLG,2.77,EM,primary,P21728,A1EKL,CLR;PLM
9LLH,2.73,EM,primary,P21728;P59768;P62873;P63092,LDP,
9LLI,3.0,EM,primary,P21728,A1EKL,
9LLJ,2.61,EM,primary,P21728;P59768;P62873;P63092,LDP,PLM
9LWC,2.9,EM,primary,A0A590UJY2;P21728;P59768;P62873,ALE,
