pdb_id,resolution,method,mapping,uniprot_accessions,kept_ligands,excluded_ligands
1DQ8,2.1,X-ray,primary,P04035,COA;MAH,DTT
1DQ9,2.8,X-ray,primary,P04035,HMG,
1DQA,2.0,X-ray,primary,P04035,COA;MAH;NAP,
1HW8,2.1,X-ray,primary,P04035,114;ADP,
1HW9,2.33,X-ray,primary,P04035,ADP;SIM,
1HWI,2.3,X-ray,primary,P04035,115;ADP,
1HWJ,2.26,X-ray,primary,P04035,116;ADP,
1HWK,2.22,X-ray,primary,P04035,117;ADP,
1HWL,2.1,X-ray,primary,P04035,ADP;FBI,
2Q1L,2.05,X-ray,primary,P04035,882,
2Q6B,2.0,X-ray,primary,P04035,HR2,SO4
2Q6C,2.0,X-ray,primary,P04035,HR1,SO4
2R4F,1.7,X-ray,primary,P04035,RIE,SO4
3BGL,2.225,X-ray,primary,P04035,RID,
3CCT,2.12,X-ray,primary,P04035,3HI,
3CCW,2.1,X-ray,primary,P04035,4HI,
3CCZ,1.7,X-ray,primary,P04035,5HI,SO4
3CD0,2.4,X-ray,primary,P04035,6HI,
3CD5,2.39,X-ray,primary,P04035,7HI,SO4
3CD7,2.05,X-ray,primary,P04035,882,
3CDA,2.07,X-ray,primary,P04035,8HI,
3CDB,2.3,X-ray,primary,P04035,9HI,
8PKN,2.26,EM,primary,P04035,117,
8S6B,2.06,EM,primary,P04035,,
